[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 4   6            utf8    \r+ń\r blocks=Basic Latin,Latin Extended-A
2    0x00000117 0x00000117 5   6            ascii   \rRich
3    0x00000230 0x00000230 5   6            ascii   .text
4    0x00000257 0x00000257 7   8            ascii   `.rdata
5    0x0000027f 0x0000027f 6   7            ascii   @.data
6    0x000002a8 0x000002a8 4   5            ascii   poly
7    0x000002d0 0x000002d0 5   6            ascii   .rsrc
8    0x000002f7 0x000002f7 7   8            ascii   @.reloc
361  0x0000602d 0x1000822d 5   6    poly    ascii   D$0PV
362  0x00006058 0x10008258 4   6    poly    utf8    +ى\$ blocks=Basic Latin,Arabic
363  0x000060be 0x100082be 5   7    poly    utf8    ӉD$0j blocks=Cyrillic,Basic Latin
364  0x000060c6 0x100082c6 5   6    poly    ascii   D$0PV
365  0x00006190 0x10008390 5   6    poly    ascii   PQSVW
366  0x00006238 0x10008438 4   5    poly    ascii   Y_^[
367  0x00006250 0x10008450 5   6    poly    ascii   PQSVW
368  0x000062d7 0x100084d7 4   5    poly    ascii   Y_^[
369  0x000063b0 0x100085b0 4   5    poly    ascii   PSVW
370  0x000063fe 0x100085fe 4   6    poly    utf8    Qǆ,  blocks=Basic Latin,Latin Extended-B
371  0x00006430 0x10008630 4   5    poly    ascii   Y_^[
372  0x0000647a 0x1000867a 4   6    poly    utf8    Pǆ,  blocks=Basic Latin,Latin Extended-B
373  0x000065aa 0x100087aa 5   7    poly    utf8    WP2ۉE blocks=Basic Latin,Arabic
374  0x000065b8 0x100087b8 7   8    poly    ascii   ~$;~ w;
375  0x000065eb 0x100087eb 4   7    poly    utf8    RQP觓 blocks=Basic Latin,CJK Unified Ideographs
376  0x00006649 0x10008849 4   6    poly    utf8    W2ۉ} blocks=Basic Latin,Arabic
377  0x0000666f 0x1000886f 4   6    poly    utf8    N$+σ blocks=Basic Latin,Greek and Coptic
378  0x00006713 0x10008913 5   6    poly    ascii   SVh0\f
379  0x00006818 0x10008a18 6   7    poly    ascii   +G\b\eW\f
380  0x00006827 0x10008a27 4   5    poly    ascii   <vXj
381  0x00006988 0x10008b88 5   6    poly    ascii   E\bSPV
382  0x000069b1 0x10008bb1 4   6    poly    utf8    ȋA\b; blocks=Latin Extended-B,Basic Latin
383  0x00006a1d 0x10008c1d 4   5    poly    ascii   u\b^3
384  0x00006b56 0x10008d56 4   5    poly    ascii   @ANu
385  0x00006bba 0x10008dba 4   5    poly    ascii   @ANu
386  0x00006bc5 0x10008dc5 4   5    poly    ascii   @ANu
387  0x00006c69 0x10008e69 4   5    poly    ascii   @GNu
388  0x00006d34 0x10008f34 4   5    poly    ascii   @GNu
389  0x00006d6b 0x10008f6b 5   6    poly    ascii   u\a_^3
390  0x00006ebd 0x100090bd 4   5    poly    ascii   \aBRj
391  0x00006ef4 0x100090f4 4   5    poly    ascii   FBHu
392  0x00006f18 0x10009118 4   5    poly    ascii   \aG8C
393  0x00006f30 0x10009130 5   6    poly    ascii   \aG8C\a
394  0x00006f3d 0x1000913d 4   5    poly    ascii   G8K\b
395  0x00006fd0 0x100091d0 4   5    poly    ascii   \aBRj
396  0x00007105 0x10009305 5   6    poly    ascii   M\fSVW
397  0x0000711d 0x1000931d 4   5    poly    ascii   RVQW
398  0x0000718e 0x1000938e 4   5    poly    ascii   \aGWj
399  0x000071ba 0x100093ba 4   5    poly    ascii   FGKu
400  0x00007534 0x10009734 5   6    poly    ascii   E\bSVW
401  0x00007732 0x10009932 4   6    poly    utf8    _^3Ͱ blocks=Basic Latin,Greek and Coptic
402  0x00007781 0x10009981 4   5    poly    ascii   u$hX
403  0x0000784e 0x10009a4e 4   5    poly    ascii   RVh\f
404  0x00007938 0x10009b38 4   5    poly    ascii   Rj\aj
405  0x00007af7 0x10009cf7 6   7    poly    ascii   PPPPhx
406  0x00007d7d 0x10009f7d 8   9    poly    ascii   QRRRRRRf
407  0x00007e40 0x1000a040 4   5    poly    ascii   D$$j
408  0x00007e4d 0x1000a04d 5   7    poly    utf8    \f3\rL$
409  0x00007e56 0x1000a056 12  13   poly    ascii   T$$RPPPPPPh<
410  0x00007e67 0x1000a067 4   5    poly    ascii   D$HD
411  0x00007fa9 0x1000a1a9 4   5    poly    ascii   D$\fP
412  0x00007fae 0x1000a1ae 4   5    poly    ascii   L$lQ
413  0x00007fd0 0x1000a1d0 6   7    poly    ascii   T$lRh|
414  0x0000807e 0x1000a27e 4   5    poly    ascii   _^[3
415  0x00008119 0x1000a319 6   8    poly    utf8    \f3\r\f$Q
416  0x00008124 0x1000a324 9   10   poly    ascii   RPPPPPPh<
417  0x00008132 0x1000a332 4   5    poly    ascii   D$8D
418  0x000082d0 0x1000a4d0 5   6    poly    ascii   @j,PC
419  0x00008383 0x1000a583 5   6    poly    ascii   t<j:V
420  0x0000839a 0x1000a59a 4   5    poly    ascii   \nj:V
421  0x00008418 0x1000a618 4   5    poly    ascii   $SVW
422  0x0000842f 0x1000a62f 4   5    poly    ascii   D$ P
423  0x00008440 0x1000a640 4   5    poly    ascii   L$(Q
424  0x00008458 0x1000a658 4   5    poly    ascii   T$(P
425  0x0000845d 0x1000a65d 4   5    poly    ascii   D$ \f
426  0x0000847a 0x1000a67a 4   5    poly    ascii   u\f_^
427  0x000084be 0x1000a6be 4   6    poly    utf8    tȻl[ blocks=Basic Latin,Latin Extended-B
428  0x00008583 0x1000a783 4   5    poly    ascii   D$lP
429  0x00008590 0x1000a790 4   5    poly    ascii   L$tQ
430  0x000085a2 0x1000a7a2 4   5    poly    ascii   T$pP
431  0x000085a7 0x1000a7a7 4   5    poly    ascii   D$d\f
432  0x00008604 0x1000a804 5   7    poly    utf8    3ۉ\$@ blocks=Basic Latin,Arabic
433  0x00008660 0x1000a860 4   5    poly    ascii   \fj:h
434  0x0000866f 0x1000a86f 5   6    poly    ascii   t=j:h
435  0x000086ab 0x1000a8ab 8   9    poly    ascii   D$89\$4u
436  0x000086c3 0x1000a8c3 4   5    poly    ascii   \$@;
437  0x0000870e 0x1000a90e 4   5    poly    ascii   L$TQ
438  0x00008730 0x1000a930 5   7    poly    utf8    3\tD$L
439  0x0000875f 0x1000a95f 4   5    poly    ascii   T$XR
440  0x00008785 0x1000a985 9   11   poly    utf8    3\tD$P9D$ 
441  0x000087a4 0x1000a9a4 6   8    poly    utf8    D$ Ǆ$` blocks=Basic Latin,Latin Extended-B
442  0x000087d9 0x1000a9d9 4   5    poly    ascii   L$8h
443  0x000087f3 0x1000a9f3 4   5    poly    ascii   T$LQ
444  0x0000880c 0x1000aa0c 5   7    poly    utf8    +ÉD$0 blocks=Basic Latin,Latin-1 Supplement
445  0x0000881f 0x1000aa1f 4   6    poly    utf8    Ћt$@ blocks=Cyrillic,Basic Latin
446  0x000088e0 0x1000aae0 4   5    poly    ascii   D$ ?
447  0x00008982 0x1000ab82 4   5    poly    ascii   P Qj
448  0x000089b9 0x1000abb9 4   5    poly    ascii   L$0Q
449  0x00008a46 0x1000ac46 6   8    poly    utf8    D$ Ǆ$` blocks=Basic Latin,Latin Extended-B
450  0x00008a81 0x1000ac81 6   8    poly    utf8    |$ Ǆ$` blocks=Basic Latin,Latin Extended-B
451  0x00008ad8 0x1000acd8 6   8    poly    utf8    |$ Ǆ$` blocks=Basic Latin,Latin Extended-B
452  0x00008b2e 0x1000ad2e 6   8    poly    utf8    D$ Ǆ$` blocks=Basic Latin,Latin Extended-B
453  0x00008b66 0x1000ad66 6   8    poly    utf8    D$ Ǆ$` blocks=Basic Latin,Latin Extended-B
454  0x00008b9e 0x1000ad9e 6   8    poly    utf8    D$dǄ$` blocks=Basic Latin,Latin Extended-B
455  0x00008bdb 0x1000addb 4   5    poly    ascii   B\fj\n
456  0x00008bfb 0x1000adfb 4   5    poly    ascii   D$0P
457  0x00008c2d 0x1000ae2d 4   5    poly    ascii   |$DP
458  0x00008cf3 0x1000aef3 4   5    poly    ascii   R Qj
459  0x00008d84 0x1000af84 4   7    poly    utf8    L$ 贳 blocks=Basic Latin,CJK Unified Ideographs
460  0x00008dae 0x1000afae 4   5    poly    ascii   R Qj
461  0x00008dfa 0x1000affa 4   5    poly    ascii   D$,\b
462  0x00008e04 0x1000b004 5   6    poly    ascii   R Qj\b
463  0x00008e5a 0x1000b05a 4   5    poly    ascii   D$,\a
464  0x00008e64 0x1000b064 5   6    poly    ascii   R Qj\a
465  0x00008eb1 0x1000b0b1 4   5    poly    ascii   D$,\t
466  0x00008ebb 0x1000b0bb 5   6    poly    ascii   @ Rj\t
467  0x00008eda 0x1000b0da 4   5    poly    ascii   T$ R
468  0x00008efe 0x1000b0fe 4   5    poly    ascii   L$,R
469  0x00008f11 0x1000b111 4   5    poly    ascii   @ Rj
470  0x00008f48 0x1000b148 4   6    poly    utf8    ЋL$H blocks=Cyrillic,Basic Latin
471  0x00008f58 0x1000b158 4   6    poly    utf8    ЋL$< blocks=Cyrillic,Basic Latin
472  0x00008f68 0x1000b168 4   6    poly    utf8    ЋL$0 blocks=Cyrillic,Basic Latin
473  0x00008f78 0x1000b178 4   6    poly    utf8    ЋL$8 blocks=Cyrillic,Basic Latin
474  0x00008f88 0x1000b188 4   6    poly    utf8    ЋL$  blocks=Cyrillic,Basic Latin
475  0x00008fb2 0x1000b1b2 4   6    poly    utf8    Ҁ|$' blocks=Cyrillic,Basic Latin
476  0x0000903a 0x1000b23a 4   5    poly    ascii   D$\fP
477  0x000090d7 0x1000b2d7 5   6    poly    ascii   L$\bQj
478  0x00009104 0x1000b304 5   6    poly    ascii   D$\b^3
479  0x00009244 0x1000b444 5   6    poly    ascii   E\bSVW
480  0x0000988c 0x1000ba8c 4   5    poly    ascii   u$f9
481  0x00009c8a 0x1000be8a 6   7    poly    ascii   <Ct\b<B
482  0x00009cce 0x1000bece 4   5    poly    ascii   \nuLf
483  0x00009cf4 0x1000bef4 4   5    poly    ascii   <Buk
484  0x00009daa 0x1000bfaa 4   5    poly    ascii   E\bPV
485  0x00009dd4 0x1000bfd4 6   7    poly    ascii   E\bSVW3
486  0x00009f2a 0x1000c12a 4   6    poly    utf8    3\rd$
487  0x0000a234 0x1000c434 6   7    poly    ascii   E\bSVW3
488  0x0000a2a2 0x1000c4a2 5   7    poly    utf8    ]Ë=8" blocks=Basic Latin,Latin-1 Supplement
489  0x0000a2dc 0x1000c4dc 4   5    poly    ascii   QSSj
490  0x0000a318 0x1000c518 4   5    poly    ascii   QSVj
491  0x0000a484 0x1000c684 7   8    poly    ascii   E\bSVWhP
492  0x0000a544 0x1000c744 4   5    poly    ascii   PWVj
493  0x0000a742 0x1000c942 5   6    poly    ascii   t#j.V
494  0x0000a7e9 0x1000c9e9 4   5    poly    ascii   QSSh
495  0x0000a914 0x1000cb14 4   5    poly    ascii   E\bSV
496  0x0000a96a 0x1000cb6a 4   5    poly    ascii   PPPP
497  0x0000a97b 0x1000cb7b 4   6    poly    utf8    QVRǅ blocks=Basic Latin,Latin Extended-B
498  0x0000a9df 0x1000cbdf 4   9    poly    utf16le jjjj
499  0x0000a9f4 0x1000cbf4 5   7    poly    utf8    QFVRǅ blocks=Basic Latin,Latin Extended-B
500  0x0000aa2d 0x1000cc2d 5   7    poly    utf8    ]Ë5H  blocks=Basic Latin,Latin-1 Supplement
501  0x0000ab40 0x1000cd40 4   5    poly    ascii   j@PQ
502  0x0000abe3 0x1000cde3 4   5    poly    ascii   Ph`$
503  0x0000abeb 0x1000cdeb 4   5    poly    ascii   Sh0$
504  0x0000ac43 0x1000ce43 5   6    poly    ascii   tdj?P
505  0x0000b01e 0x1000d21e 4   5    poly    ascii   SVWP
506  0x0000b0a8 0x1000d2a8 4   7    poly    utf8    ҋEȉ] blocks=Cyrillic,Basic Latin,Latin Extended-B
507  0x0000b0cf 0x1000d2cf 4   5    poly    ascii   }Sh@
508  0x0000b112 0x1000d312 4   5    poly    ascii   Y_^[
509  0x0000b157 0x1000d357 4   7    poly    utf8    ҋEȉ] blocks=Cyrillic,Basic Latin,Latin Extended-B
510  0x0000b1cb 0x1000d3cb 4   7    poly    utf8    ҋEȉ] blocks=Cyrillic,Basic Latin,Latin Extended-B
511  0x0000b1f4 0x1000d3f4 4   5    poly    ascii   }$h@
512  0x0000b343 0x1000d543 4   5    poly    ascii   SVW3
513  0x0000b493 0x1000d693 4   5    poly    ascii   SVW3
514  0x0000b579 0x1000d779 6   7    poly    ascii   \\r"tx=
515  0x0000b669 0x1000d869 4   5    poly    ascii   SSSS
516  0x0000b67a 0x1000d87a 4   6    poly    utf8    PSQǅ blocks=Basic Latin,Latin Extended-B
517  0x0000b877 0x1000da77 4   9    poly    utf16le jjjj
518  0x0000b88c 0x1000da8c 5   7    poly    utf8    PCSQǅ blocks=Basic Latin,Latin Extended-B
519  0x0000b976 0x1000db76 4   5    poly    ascii   =Z%a
520  0x0000bc3f 0x1000de3f 4   5    poly    ascii   t\eWS
521  0x0000be2b 0x1000e02b 5   7    poly    utf8    KV<PR
522  0x0000bed5 0x1000e0d5 4   7    poly    utf8    ]ËKM blocks=Basic Latin,Latin-1 Supplement
523  0x0000bf01 0x1000e101 4   5    poly    ascii   E\bSV
524  0x0000c17f 0x1000e37f 5   8    poly    utf8    }ЋuԋM blocks=Basic Latin,Cyrillic,Cyrillic Supplement
525  0x0000c1f9 0x1000e3f9 5   6    poly    ascii   tBj\V
526  0x0000c208 0x1000e408 4   5    poly    ascii   t5h\b
527  0x0000c3ec 0x1000e5ec 4   9    poly    utf16le jjjj
528  0x0000c478 0x1000e678 4   5    poly    ascii   t\rC;
529  0x0000c4db 0x1000e6db 4   5    poly    ascii   RVSP
530  0x0000c5ae 0x1000e7ae 4   5    poly    ascii   t\rC;
531  0x0000c63f 0x1000e83f 4   5    poly    ascii   RPh?
532  0x0000c922 0x1000eb22 4   5    poly    ascii   QVVj
533  0x0000c972 0x1000eb72 4   5    poly    ascii   PVWj
534  0x0000cd74 0x1000ef74 4   5    poly    ascii   D$L 
535  0x0000cde1 0x1000efe1 8   10   poly    utf8    3\rT$<RPP
536  0x0000cf53 0x1000f153 5   6    poly    ascii   L$,Q2
537  0x0000cf7c 0x1000f17c 5   7    poly    utf8    +ƉT$  blocks=Basic Latin,Latin Extended-B
538  0x0000cfd0 0x1000f1d0 4   5    poly    ascii   L$,Q
539  0x0000d033 0x1000f233 4   5    poly    ascii   W\bSR
540  0x0000d0bf 0x1000f2bf 6   8    poly    utf8    L$ 3\tF
541  0x0000d100 0x1000f300 4   6    poly    utf8    3\rO\b
542  0x0000d16f 0x1000f36f 7   9    poly    utf8    S\f3\rO\b9
543  0x0000d1b9 0x1000f3b9 7   9    poly    utf8    S\f3\rO\b9
544  0x0000d1e1 0x1000f3e1 4   5    poly    ascii   D$LP
545  0x0000d2ec 0x1000f4ec 6   7    poly    ascii   L$DQVV
546  0x0000d300 0x1000f500 6   8    poly    utf8    R@PǄ$x blocks=Basic Latin,Latin Extended-B
547  0x0000d4b0 0x1000f6b0 6   8    poly    utf8    t33ɉH\f blocks=Basic Latin,Latin Extended-B
548  0x0000d4ea 0x1000f6ea 9   10   poly    ascii   M}[9s\b~Bj
549  0x0000d4ff 0x1000f6ff 6   8    poly    utf8    t33ɉH\f blocks=Basic Latin,Latin Extended-B
550  0x0000d556 0x1000f756 4   5    poly    ascii   D$03
551  0x0000d5e1 0x1000f7e1 4   5    poly    ascii   L$0Q
552  0x0000d64d 0x1000f84d 4   5    poly    ascii   *j\nV
553  0x0000d685 0x1000f885 6   8    poly    utf8    tH3ɉH\f blocks=Basic Latin,Latin Extended-B
554  0x0000d6d0 0x1000f8d0 4   5    poly    ascii   |$$j
555  0x0000d704 0x1000f904 4   5    poly    ascii   D$L 
556  0x0000d748 0x1000f948 4   5    poly    ascii   Y_^[
557  0x0000d837 0x1000fa37 5   6    poly    ascii   T$<j\b
558  0x0000d877 0x1000fa77 6   8    poly    utf8    t83ɉH\f blocks=Basic Latin,Latin Extended-B
559  0x0000d995 0x1000fb95 6   8    poly    utf8    t83ɉH\f blocks=Basic Latin,Latin Extended-B
560  0x0000d9f5 0x1000fbf5 6   8    poly    utf8    t83ɉH\f blocks=Basic Latin,Latin Extended-B
561  0x0000da71 0x1000fc71 4   6    poly    utf8    3\tF\f
562  0x0000db8c 0x1000fd8c 4   5    poly    ascii   t>Wj
563  0x0000dbf3 0x1000fdf3 4   5    poly    ascii   \bSVW
564  0x0000dc85 0x1000fe85 4   7    poly    utf8    \bKu獾 blocks=Basic Latin,CJK Unified Ideographs
565  0x0000dca9 0x1000fea9 6   9    poly    utf8    \fKu獾4  blocks=Basic Latin,CJK Unified Ideographs
566  0x0000dff8 0x100101f8 4   5    poly    ascii   Y_^[
567  0x0000e010 0x10010210 5   6    poly    ascii   PQSVW
568  0x0000e101 0x10010301 6   7    poly    ascii   \fVSWhP
569  0x0000e131 0x10010331 4   5    poly    ascii   Y_^[
570  0x0000e204 0x10010404 4   6    poly    utf8    E\b3ɍ blocks=Basic Latin,Latin Extended-B
571  0x0000e229 0x10010429 4   6    poly    utf8    Q@Pǅ blocks=Basic Latin,Latin Extended-B
572  0x0000e7e4 0x100109e4 5   6    poly    ascii   E\bSVW
573  0x0000eb7b 0x10010d7b 8   9    poly    ascii   E\bSWj(hl
574  0x0000ebc5 0x10010dc5 4   5    poly    ascii   T$Dh
575  0x0000ec41 0x10010e41 4   5    poly    ascii   u\rj2
576  0x0000ec62 0x10010e62 5   6    poly    ascii   L$$QR
577  0x0000ec8a 0x10010e8a 5   6    poly    ascii   T$4RP
578  0x0000ec97 0x10010e97 5   6    poly    ascii   K#\$0
579  0x0000eca8 0x10010ea8 5   6    poly    ascii   #D$4;
580  0x0000ecd2 0x10010ed2 4   5    poly    ascii   D$\f@
581  0x0000ed37 0x10010f37 4   5    poly    ascii   D$\f3
582  0x0000ed54 0x10010f54 4   5    poly    ascii   E\bVW
583  0x0000edd4 0x10010fd4 4   5    poly    ascii   E\bVh
584  0x0000ee84 0x10011084 6   7    poly    ascii   \a9H\bu\a
585  0x0000ef82 0x10011182 4   5    poly    ascii   <1)}
586  0x0000f049 0x10011249 4   6    poly    utf8    _^3̓ blocks=Basic Latin,Combining Diacritical Marks
587  0x0000f071 0x10011271 5   6    poly    ascii   E\fSVW
588  0x0000f081 0x10011281 4   5    poly    ascii   T9_R
589  0x0000f147 0x10011347 4   6    poly    utf8    \vǉF\f blocks=Basic Latin,Latin Extended-B
590  0x0000f177 0x10011377 4   6    poly    utf8    ËV\f1 blocks=Latin-1 Supplement,Basic Latin
591  0x0000f261 0x10011461 4   5    poly    ascii   @(^]
592  0x0000f27e 0x1001147e 5   7    poly    utf8    3ĉD$  blocks=Basic Latin,Latin Extended-A
593  0x0000f285 0x10011485 4   5    poly    ascii   E\fSV
594  0x0000f2a1 0x100114a1 4   5    poly    ascii   09^\b
595  0x0000f2b3 0x100114b3 6   8    poly    utf8    sw3\tD$
596  0x0000f318 0x10011518 4   5    poly    ascii   L$ 3
597  0x0000f338 0x10011538 4   5    poly    ascii   R$WP
598  0x0000f35d 0x1001155d 6   8    poly    utf8    sh3\tD$
599  0x0000f3d3 0x100115d3 4   5    poly    ascii   R$WP
600  0x0000f3f5 0x100115f5 4   5    poly    ascii   R$QP
601  0x0000f40b 0x1001160b 7   8    poly    ascii   L$,_^[3
602  0x0000f488 0x10011688 4   5    poly    ascii   ~\t_^
603  0x0000f740 0x10011940 4   5    poly    ascii   PQSW
604  0x0000f75d 0x1001195d 4   5    poly    ascii   F\bSP
605  0x0000f894 0x10011a94 4   5    poly    ascii   E\bSV
606  0x0000f8c3 0x10011ac3 4   5    poly    ascii   _^[]
607  0x0000f8ef 0x10011aef 4   5    poly    ascii   _^[]
608  0x0000f90b 0x10011b0b 4   5    poly    ascii   _^[]
609  0x0000f937 0x10011b37 4   5    poly    ascii   _^[]
610  0x0000f963 0x10011b63 4   5    poly    ascii   _^[]
611  0x0000f977 0x10011b77 4   5    poly    ascii   _^[]
612  0x0000f990 0x10011b90 5   6    poly    ascii   R\bWSP
613  0x0000f9d4 0x10011bd4 4   5    poly    ascii   _^[]
614  0x0000fab9 0x10011cb9 5   6    poly    ascii   xp~6j
615  0x0000fb7f 0x10011d7f 6   7    poly    ascii   tLSVhH
616  0x0000fc50 0x10011e50 4   5    poly    ascii   t\ej\f
617  0x0000fd9f 0x10011f9f 5   7    poly    utf8    +Ƌ58# blocks=Basic Latin,Latin Extended-B
618  0x0000ff4b 0x1001214b 4   5    poly    ascii   F\bSP
619  0x0000ff83 0x10012183 4   6    poly    utf8    RPhа blocks=Basic Latin,Cyrillic
620  0x0000ffd1 0x100121d1 7   9    poly    utf8    QVSVShذ blocks=Basic Latin,Arabic
621  0x0000fff2 0x100121f2 5   6    poly    ascii   VSVSh
622  0x000100ff 0x100122ff 4   5    poly    ascii   t\ej\f
623  0x00010240 0x10012440 5   6    poly    ascii   tLVSh
624  0x00010311 0x10012511 4   5    poly    ascii   t\ej\f
625  0x00010433 0x10012633 4   5    poly    ascii   }\fVW
626  0x00010451 0x10012651 5   6    poly    ascii   tLVSh
627  0x00010522 0x10012722 4   5    poly    ascii   t\ej\f
628  0x000105c4 0x100127c4 6   7    poly    ascii   E\bVWP3
629  0x000105f3 0x100127f3 4   5    poly    ascii   Rj\bW
630  0x00010617 0x10012817 4   5    poly    ascii   PVVj
631  0x00010667 0x10012867 4   5    poly    ascii   RSVj
632  0x000107b4 0x100129b4 4   5    poly    ascii   E\bW3
633  0x000107bb 0x100129bb 4   5    poly    ascii   ~vSV
634  0x0001082f 0x10012a2f 4   5    poly    ascii   E\b^[
635  0x00010851 0x10012a51 4   5    poly    ascii   ==_]
636  0x000108f3 0x10012af3 4   5    poly    ascii   C<PV
637  0x0001091c 0x10012b1c 6   8    poly    utf8    []ËsDW blocks=Basic Latin,Latin-1 Supplement
638  0x000109d3 0x10012bd3 4   5    poly    ascii   G<PV
639  0x000109fc 0x10012bfc 5   7    poly    utf8    []ËE\f blocks=Basic Latin,Latin-1 Supplement
640  0x00010bbe 0x10012dbe 4   6    poly    utf8    ;uҋM blocks=Basic Latin,Cyrillic
641  0x00010d79 0x10012f79 4   5    poly    ascii   C\bVP
642  0x00010dd3 0x10012fd3 4   6    poly    utf8    uˋ]\b blocks=Basic Latin,Spacing Modifier Letters
643  0x00010de9 0x10012fe9 4   6    poly    utf8    ȋA\b; blocks=Latin Extended-B,Basic Latin
644  0x00010ea4 0x100130a4 4   5    poly    ascii   f9|F
645  0x00010eba 0x100130ba 4   6    poly    utf8    +Ѝd$ blocks=Basic Latin,Cyrillic
646  0x000118a3 0x10013aa3 4   5    poly    ascii   \fSVQ
647  0x00011c23 0x10013e23 4   6    poly    utf8    RVǅt blocks=Basic Latin,Latin Extended-B
648  0x00011dea 0x10013fea 7   11   poly    utf8    3\tE؉E܉E blocks=Basic Latin,Arabic,Syriac
649  0x00011e35 0x10014035 4   5    poly    ascii   t!WW
650  0x00011e82 0x10014082 7   11   poly    utf8    3\tE؉E܉E blocks=Basic Latin,Arabic,Syriac
651  0x00011ec6 0x100140c6 7   11   poly    utf8    EԉE؉E܉E blocks=Basic Latin,Cyrillic Supplement,Arabic,Syriac
652  0x00011f08 0x10014108 4   5    poly    ascii   t!WW
653  0x00011f39 0x10014139 9   14   poly    utf8    3\tEԉE؉E܉E blocks=Basic Latin,Cyrillic Supplement,Arabic,Syriac
654  0x00011f86 0x10014186 4   5    poly    ascii   t!WW
655  0x00011fb7 0x100141b7 6   7    poly    ascii   9w,~Pj
656  0x000120c4 0x100142c4 5   6    poly    ascii   w"r\b;
657  0x000122c7 0x100144c7 4   5    poly    ascii   t/hX
658  0x0001235c 0x1001455c 4   5    poly    ascii   w/r\b
659  0x00012467 0x10014667 4   5    poly    ascii   APhD
660  0x0001286d 0x10014a6d 8   9    poly    ascii   PQQQQQQf
661  0x00012937 0x10014b37 4   5    poly    ascii   ;O(|
662  0x00012945 0x10014b45 4   5    poly    ascii   \bt\nS
663  0x000129eb 0x10014beb 5   6    poly    ascii   0PQhd
664  0x00012a4e 0x10014c4e 5   11   poly    utf16le jjjjj
665  0x00012ad4 0x10014cd4 4   5    poly    ascii   E\bVh
666  0x00012be7 0x10014de7 4   6    poly    utf8    }\b3ۋ blocks=Basic Latin,Arabic
667  0x00012c17 0x10014e17 5   6    poly    ascii   ?\Pu*
668  0x00012d5d 0x10014f5d 4   5    poly    ascii   t[_^
669  0x00012d87 0x10014f87 7   8    poly    ascii   T20RPhd
670  0x00012e18 0x10015018 4   5    poly    ascii   \fSVW
671  0x00012ebe 0x100150be 4   5    poly    ascii   Y_^[
672  0x00012fa0 0x100151a0 4   5    poly    ascii   PSVW
673  0x00012fe3 0x100151e3 4   5    poly    ascii   N0WQ
674  0x0001303e 0x1001523e 4   5    poly    ascii   Y_^[
675  0x00013304 0x10015504 4   5    poly    ascii   E\bSV
676  0x00013676 0x10015876 5   6    poly    ascii   0RPhd
677  0x0001372e 0x1001592e 7   8    poly    ascii   L80QRhd
678  0x0001380a 0x10015a0a 4   5    poly    ascii   PVhd
679  0x00013ad8 0x10015cd8 4   5    poly    ascii   \f_^3
680  0x00013b8a 0x10015d8a 4   5    poly    ascii   \fVSQ
681  0x00013bb6 0x10015db6 4   5    poly    ascii   f9\F
682  0x00013bd1 0x10015dd1 4   5    poly    ascii   f9|F
683  0x00013c79 0x10015e79 4   6    poly    utf8    3ҋ\$ blocks=Basic Latin,Cyrillic
684  0x00013d2b 0x10015f2b 4   5    poly    ascii   L$$Q
685  0x00013d82 0x10015f82 4   5    poly    ascii   L$$Q
686  0x00013e54 0x10016054 4   5    poly    ascii   L$$Q
687  0x00013f54 0x10016154 4   5    poly    ascii   C;\$
688  0x00013f8a 0x1001618a 4   5    poly    ascii   :ujf
689  0x0001400d 0x1001620d 5   6    poly    ascii   0RPhd
690  0x00014016 0x10016216 4   5    poly    ascii   D$0h
691  0x0001404e 0x1001624e 4   5    poly    ascii   T$$R
692  0x0001405b 0x1001625b 4   6    poly    utf8    Ǆ$@\n blocks=Latin Extended-B,Basic Latin
693  0x00014088 0x10016288 4   7    poly    utf8    ҋΉ{, blocks=Cyrillic,Greek and Coptic,Basic Latin
694  0x000140c4 0x100162c4 4   5    poly    ascii   L$ Q
695  0x000140e3 0x100162e3 5   6    poly    ascii   0QPhp
696  0x0001411d 0x1001631d 4   5    poly    ascii   Y_^[
697  0x000141c7 0x100163c7 6   7    poly    ascii   W~^h\b\b
698  0x000142f0 0x100164f0 4   5    poly    ascii   SVWj
699  0x00014300 0x10016500 5   6    poly    ascii   E\fVPj
700  0x00014326 0x10016526 4   5    poly    ascii   SVRj
701  0x0001437d 0x1001657d 6   7    poly    ascii   U\fRWSP
702  0x00014520 0x10016720 5   6    poly    ascii   PQSVW
703  0x00014618 0x10016818 4   5    poly    ascii   Y_^[
704  0x00014693 0x10016893 4   5    poly    ascii   E\bPh
705  0x000146e3 0x100168e3 4   5    poly    ascii   Y_^[
706  0x00014710 0x10016910 5   6    poly    ascii   PQSVW
707  0x000147e2 0x100169e2 4   5    poly    ascii   Y_^[
708  0x00014812 0x10016a12 4   5    poly    ascii   t&Wj
709  0x0001481e 0x10016a1e 5   6    poly    ascii   E\fWPV
710  0x00014863 0x10016a63 4   5    poly    ascii   \bSVW
711  0x000148e7 0x10016ae7 4   6    poly    utf8    ҋO ; blocks=Cyrillic,Basic Latin
712  0x00014984 0x10016b84 4   5    poly    ascii   Y_^[
713  0x000149a0 0x10016ba0 5   6    poly    ascii   PQSVW
714  0x000149f3 0x10016bf3 4   5    poly    ascii   ~\bSW
