[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000091 0x00000091 4   5            ascii   L_ns
2     0x00000099 0x00000099 4   5            ascii   )Unf
3     0x000000b9 0x000000b9 4   5            ascii   )Wn]
4     0x000000bf 0x000000bf 6   7            ascii   nV*Kns
5     0x000000c7 0x000000c7 6   7            ascii   nV*Qnp
6     0x000000d7 0x000000d7 6   7            ascii   nV*Tnp
7     0x000000df 0x000000df 6   7            ascii   nRichq
8     0x000001e8 0x000001e8 5   6            ascii   .text
9     0x0000020f 0x0000020f 7   8            ascii   `.rdata
10    0x00000237 0x00000237 6   7            ascii   @.data
11    0x00000260 0x00000260 5   6            ascii   .vmp0
12    0x00000288 0x00000288 5   6            ascii   .vmp1
13    0x000002b0 0x000002b0 6   7            ascii   .reloc
14    0x000002d7 0x000002d7 6   7            ascii   @.rsrc
2082  0x0001405e 0x004eec5e 5   7    .vmp1   utf8    D?ٖZ1 blocks=Basic Latin,Arabic
2083  0x000140a4 0x004eeca4 7   8    .vmp1   ascii   *_;:!Hq
2084  0x000140b0 0x004eecb0 4   5    .vmp1   ascii   \n\z@
2085  0x000140c5 0x004eecc5 5   6    .vmp1   ascii   S<|f#
2086  0x000140dd 0x004eecdd 6   8    .vmp1   utf8    Ĵl&,xQ blocks=Latin Extended-A,Basic Latin
2087  0x000140f0 0x004eecf0 4   5    .vmp1   ascii   KcGD
2088  0x00014168 0x004eed68 5   6    .vmp1   ascii   \eL!([
2089  0x000141b7 0x004eedb7 5   7    .vmp1   utf8    :_v"͒ blocks=Basic Latin,Combining Diacritical Marks
2090  0x000141e8 0x004eede8 4   6    .vmp1   utf8    !̏Af blocks=Basic Latin,Combining Diacritical Marks
2091  0x00014211 0x004eee11 6   8    .vmp1   utf8    m̴%od@ blocks=Basic Latin,Combining Diacritical Marks
2092  0x0001421b 0x004eee1b 5   6    .vmp1   ascii   9fof3
2093  0x00014270 0x004eee70 4   5    .vmp1   ascii   N@I:
2094  0x000142b7 0x004eeeb7 5   6    .vmp1   ascii   ";T\e3
2095  0x000142c6 0x004eeec6 5   6    .vmp1   ascii   \a[K,O
2096  0x000142e9 0x004eeee9 4   6    .vmp1   utf8    Ѥ)o& blocks=Cyrillic,Basic Latin
2097  0x00014305 0x004eef05 4   5    .vmp1   ascii   J[?L
2098  0x0001431b 0x004eef1b 7   9    .vmp1   utf8    4et\vܑ<M blocks=Basic Latin,Syriac
2099  0x00014343 0x004eef43 5   7    .vmp1   utf8    A^ڍGD blocks=Basic Latin,Arabic
2100  0x0001434e 0x004eef4e 4   6    .vmp1   utf8    Yc Գ blocks=Basic Latin,Armenian
2101  0x0001435a 0x004eef5a 4   6    .vmp1   utf8    #L/b
2102  0x00014375 0x004eef75 4   5    .vmp1   ascii   AS!\f
2103  0x0001437a 0x004eef7a 4   5    .vmp1   ascii   5T<S
2104  0x00014387 0x004eef87 7   8    .vmp1   ascii   _G\elL\tC
2105  0x000143bd 0x004eefbd 6   7    .vmp1   ascii   MhShqO
2106  0x000143cc 0x004eefcc 4   5    .vmp1   ascii   M&\vR
2107  0x000143da 0x004eefda 4   5    .vmp1   ascii   -p](
2108  0x00014408 0x004ef008 8   10   .vmp1   utf8    MFڱw\b\bSi blocks=Basic Latin,Arabic
2109  0x00014418 0x004ef018 5   7    .vmp1   utf8    DKؔ<G blocks=Basic Latin,Arabic
2110  0x00014485 0x004ef085 4   5    .vmp1   ascii   #co(
2111  0x0001448c 0x004ef08c 5   6    .vmp1   ascii   OFsZ3
2112  0x000144d4 0x004ef0d4 6   9    .vmp1   utf8    0oɶZ\rӌ blocks=Basic Latin,IPA Extensions,Cyrillic
2113  0x000144dd 0x004ef0dd 4   6    .vmp1   utf8    `\+Ѫ blocks=Basic Latin,Cyrillic
2114  0x000144ec 0x004ef0ec 5   6    .vmp1   ascii   -N[~8
2115  0x00014521 0x004ef121 4   5    .vmp1   ascii   9=ca
2116  0x00014526 0x004ef126 6   7    .vmp1   ascii   2>5a`<
2117  0x00014540 0x004ef140 5   6    .vmp1   ascii   :.Yak
2118  0x0001458f 0x004ef18f 5   7    .vmp1   utf8    Z=߈4K blocks=Basic Latin,NKo
2119  0x000145a6 0x004ef1a6 4   5    .vmp1   ascii   J.,\e
2120  0x000145ad 0x004ef1ad 4   5    .vmp1   ascii   #l's
2121  0x000145f2 0x004ef1f2 5   6    .vmp1   ascii   lAH?$
2122  0x000145ff 0x004ef1ff 4   5    .vmp1   ascii   \tpI 
2123  0x00014626 0x004ef226 5   6    .vmp1   ascii   vkn2^
2124  0x00014638 0x004ef238 4   6    .vmp1   utf8    RBލN blocks=Basic Latin,Thaana
2125  0x00014661 0x004ef261 8   11   .vmp1   utf8    خ\e0Z-֝O0 blocks=Arabic,Basic Latin,Hebrew
2126  0x00014695 0x004ef295 5   7    .vmp1   utf8    ʺsdk8 blocks=Spacing Modifier Letters,Basic Latin
2127  0x000146fe 0x004ef2fe 5   8    .vmp1   utf8    ݳY*ֽ{ blocks=Arabic Supplement,Basic Latin,Hebrew
2128  0x00014708 0x004ef308 6   7    .vmp1   ascii   Sz=e?\
2129  0x0001470f 0x004ef30f 8   10   .vmp1   utf8    E^֑7XyLB blocks=Basic Latin,Hebrew
2130  0x0001472a 0x004ef32a 8   9    .vmp1   ascii   \2Bk\rrL<
2131  0x00014737 0x004ef337 6   7    .vmp1   ascii   +5fI>O
2132  0x00014778 0x004ef378 7   8    .vmp1   ascii   eQLyhIx
2133  0x0001478d 0x004ef38d 4   5    .vmp1   ascii   qpIx
2134  0x000147b8 0x004ef3b8 10  13   .vmp1   utf8    @;f"mä/MDy blocks=Basic Latin,Latin-1 Supplement
2135  0x000147d5 0x004ef3d5 6   8    .vmp1   utf8    LǝFQR\b blocks=Basic Latin,Latin Extended-B
2136  0x000147ee 0x004ef3ee 5   6    .vmp1   ascii   \t*F-*
2137  0x000147fc 0x004ef3fc 5   6    .vmp1   ascii   @L#{0
2138  0x00014848 0x004ef448 4   6    .vmp1   utf8    .6\a5
2139  0x00014872 0x004ef472 4   5    .vmp1   ascii   +Hp?
2140  0x000148f6 0x004ef4f6 5   7    .vmp1   utf8    ,؍d$< blocks=Basic Latin,Arabic
2141  0x00014947 0x004ef547 7   10   .vmp1   utf8    4cݎHUӈE blocks=Basic Latin,Syriac,Cyrillic
2142  0x00014951 0x004ef551 4   5    .vmp1   ascii   HEzP
2143  0x0001495f 0x004ef55f 4   5    .vmp1   ascii   F=`w
2144  0x000149aa 0x004ef5aa 5   6    .vmp1   ascii   qc4*]
2145  0x000149c6 0x004ef5c6 5   7    .vmp1   utf8    Á*1W\r blocks=Latin-1 Supplement,Basic Latin
2146  0x000149db 0x004ef5db 4   6    .vmp1   utf8    /Ѐn3 blocks=Basic Latin,Cyrillic
2147  0x00014a07 0x004ef607 6   7    .vmp1   ascii   7"`a>f
2148  0x00014a1b 0x004ef61b 4   5    .vmp1   ascii   n~G`
2149  0x00014a37 0x004ef637 4   5    .vmp1   ascii   m\no\f
2150  0x00014a76 0x004ef676 6   8    .vmp1   utf8    ݀ex*2M blocks=Syriac,Basic Latin
2151  0x00014ab3 0x004ef6b3 4   6    .vmp1   utf8    w^&e
2152  0x00014aba 0x004ef6ba 7   10   .vmp1   utf8    0Wɒ6MˬT blocks=Basic Latin,IPA Extensions,Spacing Modifier Letters
2153  0x00014af6 0x004ef6f6 4   7    .vmp1   utf8    #40萶 blocks=Basic Latin,CJK Unified Ideographs
2154  0x00014b06 0x004ef706 6   7    .vmp1   ascii   'LQW)*
2155  0x00014b56 0x004ef756 5   6    .vmp1   ascii   &UIF#
2156  0x00014b79 0x004ef779 5   8    .vmp1   utf8    /_KTᜋ blocks=Basic Latin,Tagalog
2157  0x00014baf 0x004ef7af 10  11   .vmp1   ascii   S"\r9@HI\ffY
2158  0x00014bc7 0x004ef7c7 7   8    .vmp1   ascii   93^Snof
2159  0x00014bd3 0x004ef7d3 10  11   .vmp1   ascii   wSlyQO8`<*
2160  0x00014bfc 0x004ef7fc 4   5    .vmp1   ascii    P~D
2161  0x00014c45 0x004ef845 5   6    .vmp1   ascii   7H^k,
2162  0x00014c7e 0x004ef87e 8   10   .vmp1   utf8    e܂~feu\2 blocks=Basic Latin,Syriac
2163  0x00014c9d 0x004ef89d 4   6    .vmp1   utf8    l̛\vd blocks=Basic Latin,Combining Diacritical Marks
2164  0x00014cb8 0x004ef8b8 6   7    .vmp1   ascii   1\C#+\t
2165  0x00014cd1 0x004ef8d1 4   5    .vmp1   ascii   ^@$k
2166  0x00014d23 0x004ef923 11  12   .vmp1   ascii   ExitProcess
2167  0x00014d55 0x004ef955 4   5    .vmp1   ascii   sgm%
2168  0x00014d85 0x004ef985 5   6    .vmp1   ascii   5VsN'
2169  0x00014dcd 0x004ef9cd 4   7    .vmp1   utf8    hc%㨀 blocks=Basic Latin,CJK Unified Ideographs Extension A
2170  0x00014ddc 0x004ef9dc 4   5    .vmp1   ascii   \v`{%
2171  0x00014de3 0x004ef9e3 6   7    .vmp1   ascii   $it< Z
2172  0x00014e2f 0x004efa2f 4   5    .vmp1   ascii   tCa}
2173  0x00014e48 0x004efa48 4   5    .vmp1   ascii   ` _q
2174  0x00014e59 0x004efa59 6   8    .vmp1   utf8    ٦^!ta4 blocks=Arabic,Basic Latin
2175  0x00014e64 0x004efa64 5   7    .vmp1   utf8    ќY|Q8 blocks=Cyrillic,Basic Latin
2176  0x00014eae 0x004efaae 8   13   .vmp1   utf8    h-ȧԍd$4貉 blocks=Basic Latin,Latin Extended-B,Cyrillic Supplement,CJK Unified Ideographs
2177  0x00014ecc 0x004efacc 4   5    .vmp1   ascii   \t)Fk
2178  0x00014f29 0x004efb29 4   5    .vmp1   ascii   "5&|
2179  0x00014f36 0x004efb36 5   7    .vmp1   utf8    ܩ0m\! blocks=Syriac,Basic Latin
2180  0x00014f7c 0x004efb7c 4   5    .vmp1   ascii   *!y\r
2181  0x00014fa3 0x004efba3 5   6    .vmp1   ascii   3~_Vi
2182  0x00015017 0x004efc17 5   7    .vmp1   utf8    AKŶRE blocks=Basic Latin,Latin Extended-A
2183  0x0001503c 0x004efc3c 7   8    .vmp1   ascii   v\r\v\r+6
2184  0x00015073 0x004efc73 4   5    .vmp1   ascii   qE,a
2185  0x0001507d 0x004efc7d 5   6    .vmp1   ascii   */a,o
2186  0x000150bd 0x004efcbd 6   7    .vmp1   ascii   p\fd4)R
2187  0x000150c4 0x004efcc4 4   5    .vmp1   ascii   wMFi
2188  0x000150ce 0x004efcce 8   9    .vmp1   ascii   6fBC2T&9
2189  0x000150e3 0x004efce3 4   5    .vmp1   ascii   &eWY
2190  0x00015123 0x004efd23 10  11   .vmp1   ascii   LocalAlloc
2191  0x00015158 0x004efd58 4   6    .vmp1   utf8    N%Ӹ\r blocks=Basic Latin,Cyrillic
2192  0x00015166 0x004efd66 4   5    .vmp1   ascii   N,\al
2193  0x000151bc 0x004efdbc 4   5    .vmp1   ascii   BT8;
2194  0x000151cf 0x004efdcf 6   7    .vmp1   ascii   7WV"dp
2195  0x000151d9 0x004efdd9 4   6    .vmp1   utf8    ʧFrt blocks=IPA Extensions,Basic Latin
2196  0x000151e7 0x004efde7 4   7    .vmp1   utf8    Ȑr-¿ blocks=Latin Extended-B,Basic Latin,Latin-1 Supplement
2197  0x00015209 0x004efe09 6   8    .vmp1   utf8    T'զ>]. blocks=Basic Latin,Armenian
2198  0x00015211 0x004efe11 4   5    .vmp1   ascii   \ad`7
2199  0x00015268 0x004efe68 4   5    .vmp1   ascii   Ud+T
2200  0x00015286 0x004efe86 4   5    .vmp1   ascii   \vtAT
2201  0x0001537e 0x004eff7e 5   6    .vmp1   ascii   \eD3u+
2202  0x000153a8 0x004effa8 6   7    .vmp1   ascii   "5Nou\e
2203  0x00015412 0x004f0012 5   6    .vmp1   ascii   WnCO,
2204  0x00015443 0x004f0043 5   6    .vmp1   ascii   INaIO
2205  0x0001544a 0x004f004a 4   5    .vmp1   ascii   )Xx\e
2206  0x00015477 0x004f0077 6   7    .vmp1   ascii   -xeAM"
2207  0x00015490 0x004f0090 5   7    .vmp1   utf8    DL̫I" blocks=Basic Latin,Combining Diacritical Marks
2208  0x0001549f 0x004f009f 6   7    .vmp1   ascii   *_\byl*
2209  0x000154c1 0x004f00c1 4   6    .vmp1   utf8    \v8Sö blocks=Basic Latin,Latin-1 Supplement
2210  0x000154d5 0x004f00d5 4   5    .vmp1   ascii   ?^\a`
2211  0x00015503 0x004f0103 7   9    .vmp1   utf8    !!bCV!ߨ blocks=Basic Latin,NKo
2212  0x0001554c 0x004f014c 6   8    .vmp1   utf8    \fAJ9Ҽo blocks=Basic Latin,Cyrillic
2213  0x00015562 0x004f0162 5   6    .vmp1   ascii   DF5pe
2214  0x0001556e 0x004f016e 4   5    .vmp1   ascii   \!FO
2215  0x000155f6 0x004f01f6 4   5    .vmp1   ascii   BA[z
2216  0x00015642 0x004f0242 4   5    .vmp1   ascii   \v#N}
2217  0x0001565c 0x004f025c 6   7    .vmp1   ascii   %8CmpE
2218  0x00015666 0x004f0266 4   5    .vmp1   ascii   ~Wz{
2219  0x00015679 0x004f0279 4   5    .vmp1   ascii   +Nw\n
2220  0x0001567f 0x004f027f 4   5    .vmp1   ascii   ]tE 
2221  0x00015688 0x004f0288 4   5    .vmp1   ascii   tyPy
2222  0x00015693 0x004f0293 4   5    .vmp1   ascii   v6ag
2223  0x000156ae 0x004f02ae 6   9    .vmp1   utf8    oɶNI߸| blocks=Basic Latin,IPA Extensions,NKo
2224  0x000156eb 0x004f02eb 5   8    .vmp1   utf8    w4嫢3J blocks=Basic Latin,CJK Unified Ideographs
2225  0x0001571b 0x004f031b 8   9    .vmp1   ascii    i`-@#]+
2226  0x00015770 0x004f0370 4   6    .vmp1   utf8    ^JMס blocks=Basic Latin,Hebrew
2227  0x00015792 0x004f0392 4   5    .vmp1   ascii   G_1h
2228  0x000157ba 0x004f03ba 4   5    .vmp1   ascii   e90W
2229  0x000157ec 0x004f03ec 7   9    .vmp1   utf8    פ$FMpY/ blocks=Hebrew,Basic Latin
2230  0x000157f8 0x004f03f8 4   5    .vmp1   ascii   YZ+r
2231  0x0001581e 0x004f041e 5   6    .vmp1   ascii   Y&sb;
2232  0x0001584a 0x004f044a 14  19   .vmp1   utf8    DWͲFM߰[!ϔ8kՒBI blocks=Basic Latin,Greek and Coptic,NKo,Armenian
2233  0x0001587f 0x004f047f 6   8    .vmp1   utf8    >Mۘ So blocks=Basic Latin,Arabic
2234  0x0001589d 0x004f049d 4   5    .vmp1   ascii   6m{6
2235  0x000158ac 0x004f04ac 5   6    .vmp1   ascii   BkbOQ
2236  0x000158db 0x004f04db 4   5    .vmp1   ascii   3~G6
2237  0x000158ee 0x004f04ee 5   6    .vmp1   ascii   4_vc:
2238  0x00015961 0x004f0561 4   5    .vmp1   ascii   \fOf)
2239  0x000159a7 0x004f05a7 5   7    .vmp1   utf8    3\ԋ3b blocks=Basic Latin,Cyrillic Supplement
2240  0x000159c0 0x004f05c0 4   5    .vmp1   ascii   WjwI
2241  0x000159ce 0x004f05ce 5   6    .vmp1   ascii   c^k',
2242  0x00015a0f 0x004f060f 4   5    .vmp1   ascii   M 3P
2243  0x00015a17 0x004f0617 4   5    .vmp1   ascii   ~wbo
2244  0x00015a2b 0x004f062b 4   5    .vmp1   ascii   e`*f
2245  0x00015a3c 0x004f063c 4   5    .vmp1   ascii   `uX-
2246  0x00015aca 0x004f06ca 7   10   .vmp1   utf8    9^еCPܛM blocks=Basic Latin,Cyrillic,Syriac
2247  0x00015ae1 0x004f06e1 4   5    .vmp1   ascii   P]tw
2248  0x00015af6 0x004f06f6 6   8    .vmp1   utf8    ۬;c1u2 blocks=Arabic,Basic Latin
2249  0x00015b05 0x004f0705 4   5    .vmp1   ascii   eYSV
2250  0x00015b0c 0x004f070c 5   6    .vmp1   ascii   EX\eem
2251  0x00015b22 0x004f0722 5   6    .vmp1   ascii   sfOFp
2252  0x00015b35 0x004f0735 4   5    .vmp1   ascii   \fSf\r
2253  0x00015b76 0x004f0776 5   6    .vmp1   ascii   23bTT
2254  0x00015b9e 0x004f079e 5   7    .vmp1   utf8    oz6ĸ` blocks=Basic Latin,Latin Extended-A
2255  0x00015c09 0x004f0809 5   6    .vmp1   ascii   '6`Hy
2256  0x00015c62 0x004f0862 4   6    .vmp1   utf8    ,0ٲi blocks=Basic Latin,Arabic
2257  0x00015ca6 0x004f08a6 4   5    .vmp1   ascii   @Wr_
2258  0x00015cb3 0x004f08b3 4   5    .vmp1   ascii   #no>
2259  0x00015ce5 0x004f08e5 6   7    .vmp1   ascii   xO9li,
2260  0x00015cfc 0x004f08fc 10  12   .vmp1   utf8    yj\nĭ#t'\b C blocks=Basic Latin,Latin Extended-A
2261  0x00015d09 0x004f0909 11  13   .vmp1   utf8    &m˸S=|UK<l+ blocks=Basic Latin,Spacing Modifier Letters
2262  0x00015d85 0x004f0985 4   5    .vmp1   ascii   `xMZ
2263  0x00015d9c 0x004f099c 5   6    .vmp1   ascii   Lv"aq
2264  0x00015dbb 0x004f09bb 4   9    .vmp1   utf8    펛鯚\b$ blocks=Hangul Syllables,CJK Unified Ideographs,Basic Latin
2265  0x00015dc4 0x004f09c4 6   7    .vmp1   ascii   #Oa:c8
2266  0x00015dec 0x004f09ec 5   6    .vmp1   ascii   >1=69
2267  0x00015e02 0x004f0a02 4   5    .vmp1   ascii   3rc2
2268  0x00015e0e 0x004f0a0e 4   5    .vmp1   ascii   \ebw&
2269  0x00015e4c 0x004f0a4c 4   5    .vmp1   ascii   z$hi
2270  0x00015e68 0x004f0a68 4   6    .vmp1   utf8    ǵ{f1 blocks=Latin Extended-B,Basic Latin
2271  0x00015ea4 0x004f0aa4 5   7    .vmp1   utf8    QX܋0D blocks=Basic Latin,Syriac
2272  0x00015eed 0x004f0aed 6   7    .vmp1   ascii   j7>)M!
2273  0x00015f0e 0x004f0b0e 4   5    .vmp1   ascii   `k>:
2274  0x00015f3e 0x004f0b3e 4   5    .vmp1   ascii   T}TE
2275  0x00015f74 0x004f0b74 6   9    .vmp1   utf8    @3Ū:UØ blocks=Basic Latin,Latin Extended-A,Latin-1 Supplement
2276  0x00015fb4 0x004f0bb4 4   5    .vmp1   ascii   9bw@
2277  0x00015fb9 0x004f0bb9 4   5    .vmp1   ascii   ~X\eM
2278  0x00015fed 0x004f0bed 6   7    .vmp1   ascii   :F9km*
2279  0x00015ff8 0x004f0bf8 4   6    .vmp1   utf8    ɗ[Js blocks=IPA Extensions,Basic Latin
2280  0x00015ffe 0x004f0bfe 5   7    .vmp1   utf8    ߮'no6 blocks=NKo,Basic Latin
2281  0x00016034 0x004f0c34 5   6    .vmp1   ascii   ISu&(
2282  0x00016057 0x004f0c57 4   5    .vmp1   ascii   kh\bG
2283  0x000160de 0x004f0cde 6   7    .vmp1   ascii   .5Z\h\a
2284  0x0001611a 0x004f0d1a 4   5    .vmp1   ascii   \$\bf
2285  0x00016122 0x004f0d22 4   5    .vmp1   ascii   |$\f`
2286  0x00016127 0x004f0d27 5   6    .vmp1   ascii   t$0]f
2287  0x00016137 0x004f0d37 4   5    .vmp1   ascii   l$4f
2288  0x0001616f 0x004f0d6f 4   6    .vmp1   utf8    ]Q~١ blocks=Basic Latin,Arabic
2289  0x00016175 0x004f0d75 7   9    .vmp1   utf8    x\\aŲ)G2 blocks=Basic Latin,Latin Extended-A
2290  0x00016184 0x004f0d84 4   5    .vmp1   ascii   [0x?
2291  0x00016192 0x004f0d92 6   7    .vmp1   ascii   <H+ac(
2292  0x000161e0 0x004f0de0 4   5    .vmp1   ascii   i`y,
2293  0x00016211 0x004f0e11 4   7    .vmp1   utf8    $肋t$ blocks=Basic Latin,CJK Unified Ideographs
2294  0x00016244 0x004f0e44 4   6    .vmp1   utf8    sY*ֹ blocks=Basic Latin,Hebrew
2295  0x000162a2 0x004f0ea2 7   8    .vmp1   ascii   H#m/$H6
2296  0x000162ae 0x004f0eae 4   5    .vmp1   ascii   IDK@
2297  0x00016301 0x004f0f01 5   6    .vmp1   ascii   b1\aTt
2298  0x00016319 0x004f0f19 5   6    .vmp1   ascii   DUx?t
2299  0x0001632f 0x004f0f2f 5   6    .vmp1   ascii   cV9n!
2300  0x00016374 0x004f0f74 5   6    .vmp1   ascii   rGz6L
2301  0x00016397 0x004f0f97 4   5    .vmp1   ascii    {u@
2302  0x000163e3 0x004f0fe3 4   5    .vmp1   ascii   \a`;\e
2303  0x000163e9 0x004f0fe9 5   7    .vmp1   utf8    \tvHН\n blocks=Basic Latin,Cyrillic
2304  0x000163f3 0x004f0ff3 5   6    .vmp1   ascii   !R3:Q
2305  0x000163fa 0x004f0ffa 5   7    .vmp1   utf8    H;Ŷ@e blocks=Basic Latin,Latin Extended-A
2306  0x0001643e 0x004f103e 5   6    .vmp1   ascii   %|]L}
2307  0x0001644a 0x004f104a 4   6    .vmp1   utf8    ٔUse blocks=Arabic,Basic Latin
2308  0x0001645b 0x004f105b 13  14   .vmp1   ascii   aKERNEL32.dll
2309  0x0001646a 0x004f106a 4   6    .vmp1   utf8    `^kġ blocks=Basic Latin,Latin Extended-A
2310  0x00016472 0x004f1072 4   7    .vmp1   utf8    ~f!簐 blocks=Basic Latin,CJK Unified Ideographs
2311  0x0001647d 0x004f107d 7   8    .vmp1   ascii   2b>?B\B
2312  0x0001649f 0x004f109f 5   6    .vmp1   ascii   \nao k
2313  0x000164c5 0x004f10c5 5   6    .vmp1   ascii   @\a6G|
2314  0x000164fb 0x004f10fb 4   5    .vmp1   ascii   {P /
2315  0x00016510 0x004f1110 6   8    .vmp1   utf8    Fn2Ɯ1F blocks=Basic Latin,Latin Extended-B
2316  0x0001655e 0x004f115e 4   5    .vmp1   ascii   qtVz
2317  0x00016564 0x004f1164 4   5    .vmp1   ascii   sC%2
2318  0x0001656f 0x004f116f 4   6    .vmp1   utf8    Tv!Ǔ blocks=Basic Latin,Latin Extended-B
2319  0x00016623 0x004f1223 4   5    .vmp1   ascii   \r'\R
2320  0x00016678 0x004f1278 5   6    .vmp1   ascii   0Tl*d
2321  0x000166dd 0x004f12dd 7   12   .vmp1   utf8    :eӜG-Tq blocks=Basic Latin,Cyrillic
2322  0x000166ff 0x004f12ff 8   11   .vmp1   utf8    HHГ9ZƵS  blocks=Basic Latin,Cyrillic,Latin Extended-B
2323  0x00016711 0x004f1311 6   7    .vmp1   ascii   `$}xiX
2324  0x00016732 0x004f1332 5   6    .vmp1   ascii   \r5gO\f
2325  0x0001673d 0x004f133d 6   7    .vmp1   ascii   Uxy\c4
2326  0x00016746 0x004f1346 4   5    .vmp1   ascii   HH#5
2327  0x00016757 0x004f1357 4   6    .vmp1   utf8    ߤh\em blocks=NKo,Basic Latin
2328  0x0001675d 0x004f135d 4   5    .vmp1   ascii   D1e*
2329  0x00016768 0x004f1368 4   5    .vmp1   ascii   sFI~
2330  0x0001679c 0x004f139c 4   5    .vmp1   ascii   SwFN
2331  0x000167de 0x004f13de 5   7    .vmp1   utf8    qM`\vݖ blocks=Basic Latin,Arabic Supplement
2332  0x000167fa 0x004f13fa 5   6    .vmp1   ascii   ``V)\v
2333  0x00016837 0x004f1437 5   6    .vmp1   ascii   (v&9N
2334  0x00016844 0x004f1444 4   5    .vmp1   ascii   Ula0
2335  0x0001685a 0x004f145a 4   6    .vmp1   utf8    d*%߲ blocks=Basic Latin,NKo
2336  0x0001686d 0x004f146d 6   8    .vmp1   utf8    \eP#Պ:- blocks=Basic Latin,Armenian
2337  0x000168b5 0x004f14b5 4   5    .vmp1   ascii   \n+E5
2338  0x000168ce 0x004f14ce 6   7    .vmp1   ascii   &gj$0g
2339  0x00016907 0x004f1507 5   7    .vmp1   utf8    ´qMT? blocks=Latin-1 Supplement,Basic Latin
2340  0x00016912 0x004f1512 4   5    .vmp1   ascii   "5Nx
2341  0x0001692d 0x004f152d 5   7    .vmp1   utf8    ݘ=\y( blocks=Arabic Supplement,Basic Latin
2342  0x0001694b 0x004f154b 4   5    .vmp1   ascii   t$\bf
2343  0x00016960 0x004f1560 4   6    .vmp1   utf8    ҍd$. blocks=Cyrillic,Basic Latin
2344  0x00016979 0x004f1579 4   5    .vmp1   ascii   q[$/
2345  0x00016991 0x004f1591 6   7    .vmp1   ascii   :lfN.Q
2346  0x000169ae 0x004f15ae 6   7    .vmp1   ascii   a\nqW3#
2347  0x000169fe 0x004f15fe 5   6    .vmp1   ascii   4KLY.
2348  0x00016a07 0x004f1607 4   6    .vmp1   utf8    b%4ڡ blocks=Basic Latin,Arabic
2349  0x00016a0d 0x004f160d 4   5    .vmp1   ascii   i\beg
2350  0x00016a19 0x004f1619 4   5    .vmp1   ascii   JDdw
2351  0x00016a56 0x004f1656 4   6    .vmp1   utf8    @Kݞj blocks=Basic Latin,Arabic Supplement
2352  0x00016a5d 0x004f165d 5   7    .vmp1   utf8    Xd\eݦf blocks=Basic Latin,Arabic Supplement
2353  0x00016a6b 0x004f166b 4   5    .vmp1   ascii   ?46d
2354  0x00016a84 0x004f1684 4   5    .vmp1   ascii   qfZ/
2355  0x00016ab4 0x004f16b4 4   5    .vmp1   ascii    U>(
2356  0x00016aef 0x004f16ef 5   6    .vmp1   ascii   <Wiu\f
2357  0x00016b2c 0x004f172c 5   7    .vmp1   utf8    <S݆R9 blocks=Basic Latin,Syriac
2358  0x00016b3b 0x004f173b 4   6    .vmp1   utf8    ߨl\a4 blocks=NKo,Basic Latin
2359  0x00016b68 0x004f1768 5   6    .vmp1   ascii   -\y/G
2360  0x00016bb8 0x004f17b8 4   5    .vmp1   ascii   Ojo:
2361  0x00016bf9 0x004f17f9 4   5    .vmp1   ascii   ?zSK
2362  0x00016c12 0x004f1812 5   6    .vmp1   ascii   6_Q+a
2363  0x00016c39 0x004f1839 4   5    .vmp1   ascii   t4/C
2364  0x00016c43 0x004f1843 13  16   .vmp1   utf8    \vgiZ7!t϶N"gRȈ blocks=Basic Latin,Greek and Coptic,Latin Extended-B
2365  0x00016c57 0x004f1857 5   7    .vmp1   utf8    ƣ(Zj) blocks=Latin Extended-B,Basic Latin
2366  0x00016c7c 0x004f187c 4   5    .vmp1   ascii   #/DQ
2367  0x00016ca7 0x004f18a7 4   6    .vmp1   utf8    $ק^r blocks=Basic Latin,Hebrew
2368  0x00016cc6 0x004f18c6 4   7    .vmp1   utf8    Ǭ4_ق blocks=Latin Extended-B,Basic Latin,Arabic
2369  0x00016cd8 0x004f18d8 5   6    .vmp1   ascii   A.c^(
2370  0x00016d31 0x004f1931 4   6    .vmp1   utf8    ˲#v[ blocks=Spacing Modifier Letters,Basic Latin
2371  0x00016d47 0x004f1947 4   5    .vmp1   ascii   Z':5
2372  0x00016d72 0x004f1972 4   5    .vmp1   ascii   }H:V
2373  0x00016d9c 0x004f199c 5   6    .vmp1   ascii   !=!>R
2374  0x00016da2 0x004f19a2 6   10   .vmp1   utf8    硲*Ȗ6>? blocks=CJK Unified Ideographs,Basic Latin,Latin Extended-B
2375  0x00016db5 0x004f19b5 7   8    .vmp1   ascii   K8K(qT4
2376  0x00016e16 0x004f1a16 4   5    .vmp1   ascii   12>I
2377  0x00016e23 0x004f1a23 4   5    .vmp1   ascii   Y$+l
2378  0x00016e38 0x004f1a38 5   6    .vmp1   ascii   Nd$En
2379  0x00016ec0 0x004f1ac0 4   5    .vmp1   ascii   c^w*
2380  0x00016ed9 0x004f1ad9 4   6    .vmp1   utf8    ɛO / blocks=IPA Extensions,Basic Latin
2381  0x00016f09 0x004f1b09 4   6    .vmp1   utf8    ۘmm& blocks=Arabic,Basic Latin
