Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000400  0xb000 0x00401000  0xb000 -r-x .text
1   0x0000b400  0x2c00 0x0040c000  0x3000 -r-- .rdata
2   0x0000e000  0x1e00 0x0040f000  0x2000 -rw- .data
3   0x0000fe00  0xc800 0x00411000  0xd000 -rw- .0lgfxz
4   0x0001c600   0x800 0x0041e000  0x1000 -r-- .reloc
5   0x0001ce00  0x9a00 0x0041f000  0xa000 -rw- .data1

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x00403e9c paddr=0x0000329c haddr=0x00000120 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040c000 NONE FUNC KERNEL32.dll lstrlenW
2   0x0040c004 NONE FUNC KERNEL32.dll SetErrorMode
3   0x0040c008 NONE FUNC KERNEL32.dll CloseHandle
4   0x0040c00c NONE FUNC KERNEL32.dll GetExitCodeProcess

[Symbols]

nth paddr      vaddr      bind type size lib          name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x0000b400 0x0040c000 NONE FUNC 0    KERNEL32.dll imp.lstrlenW
2   0x0000b404 0x0040c004 NONE FUNC 0    KERNEL32.dll imp.SetErrorMode
3   0x0000b408 0x0040c008 NONE FUNC 0    KERNEL32.dll imp.CloseHandle
4   0x0000b40c 0x0040c00c NONE FUNC 0    KERNEL32.dll imp.GetExitCodeProcess
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000b434 0x0040c034 14  30   .rdata  utf16le ServicesActive
274 0x0000cd71 0x0040d971 4   6    .rdata  utf8    aךz\f blocks=Basic Latin,Hebrew
275 0x0000cdb8 0x0040d9b8 6   7    .rdata  ascii   ,4$8_@
276 0x0000cdc4 0x0040d9c4 7   10   .rdata  utf8    \f%⼋I<(A blocks=Basic Latin,Kangxi Radicals
277 0x0000cde8 0x0040d9e8 6   7    .rdata  ascii   t\lHBW
278 0x0000cdf2 0x0040d9f2 6   7    .rdata  ascii   QPeA~S
279 0x0000ce11 0x0040da11 5   6    .rdata  ascii   0 Umv
280 0x0000ce63 0x0040da63 4   5    .rdata  ascii   -!tX
281 0x0000ce9d 0x0040da9d 5   6    .rdata  ascii   SbEwd
282 0x0000ceb0 0x0040dab0 4   5    .rdata  ascii   hHpX
283 0x0000cecd 0x0040dacd 4   5    .rdata  ascii   Uf*(
284 0x0000cf0e 0x0040db0e 4   6    .rdata  utf8    ĊS.4 blocks=Latin Extended-A,Basic Latin
285 0x0000cf5e 0x0040db5e 4   7    .rdata  utf8    gwB谽 blocks=Basic Latin,CJK Unified Ideographs
286 0x0000cf85 0x0040db85 4   5    .rdata  ascii   +2Hp
287 0x0000cf8c 0x0040db8c 4   5    .rdata  ascii   rZlN
288 0x0000cf9c 0x0040db9c 4   5    .rdata  ascii   9-6'
289 0x0000cfa5 0x0040dba5 5   6    .rdata  ascii   \h!T[
290 0x0000cfac 0x0040dbac 7   8    .rdata  ascii   .6$:g\n\f
291 0x0000cfc8 0x0040dbc8 4   5    .rdata  ascii   KwZi
292 0x0000d00e 0x0040dc0e 4   5    .rdata  ascii   [4)C
293 0x0000d02d 0x0040dc2d 4   6    .rdata  utf8    Ƅ $J blocks=Latin Extended-B,Basic Latin
294 0x0000d068 0x0040dc68 6   8    .rdata  utf8    ,}Vؐ3" blocks=Basic Latin,Arabic
295 0x0000d09c 0x0040dc9c 4   5    .rdata  ascii   F~Tb
296 0x0000d0e7 0x0040dce7 4   6    .rdata  utf8    ~ϼ!\b blocks=Basic Latin,Greek and Coptic
297 0x0000d104 0x0040dd04 4   5    .rdata  ascii   #?*1
298 0x0000d10e 0x0040dd0e 6   9    .rdata  utf8    5<Nt7ʂ blocks=Basic Latin,IPA Extensions
299 0x0000d149 0x0040dd49 5   7    .rdata  utf8    ,xQeF
300 0x0000d1a6 0x0040dda6 4   5    .rdata  ascii   _[o=
301 0x0000d1b7 0x0040ddb7 6   7    .rdata  ascii   >4$8,@
302 0x0000d1c7 0x0040ddc7 4   5    .rdata  ascii   \fI<(
303 0x0000d1e7 0x0040dde7 6   7    .rdata  ascii   p\lHtW
304 0x0000d1f4 0x0040ddf4 4   5    .rdata  ascii   A~Se
305 0x0000d269 0x0040de69 5   7    .rdata  utf8    I)iɎD blocks=Basic Latin,Latin Extended-B
306 0x0000d29a 0x0040de9a 5   6    .rdata  ascii   `3SbE
307 0x0000d2af 0x0040deaf 6   7    .rdata  ascii   +HpXhE
308 0x0000d2db 0x0040dedb 6   8    .rdata  utf8    {7ӥ\b(0 blocks=Basic Latin,Cyrillic
309 0x0000d372 0x0040df72 4   5    .rdata  ascii   G\nB|
310 0x0000d38b 0x0040df8b 5   6    .rdata  ascii   pZlNr
311 0x0000d39c 0x0040df9c 4   5    .rdata  ascii   -6'9
312 0x0000d3ab 0x0040dfab 7   8    .rdata  ascii   T6$:.\n\f
313 0x0000d3c7 0x0040dfc7 5   6    .rdata  ascii    wZiK
314 0x0000d3d7 0x0040dfd7 4   5    .rdata  ascii   *"<C
315 0x0000d40d 0x0040e00d 4   5    .rdata  ascii   [4~C
316 0x0000d42a 0x0040e02a 4   6    .rdata  utf8    @"Ƅ  blocks=Basic Latin,Latin Extended-B
317 0x0000d49c 0x0040e09c 4   5    .rdata  ascii   ~TbF
318 0x0000d4d2 0x0040e0d2 4   5    .rdata  ascii   \txYn
319 0x0000d504 0x0040e104 4   5    .rdata  ascii   ?*1#
320 0x0000d50f 0x0040e10f 4   5    .rdata  ascii   fNt7
321 0x0000d5b8 0x0040e1b8 4   5    .rdata  ascii   $8,4
322 0x0000d5c6 0x0040e1c6 4   5    .rdata  ascii   \f%<(
323 0x0000d5e8 0x0040e1e8 4   5    .rdata  ascii   lHt\
324 0x0000d5ee 0x0040e1ee 4   5    .rdata  ascii   BWQP
325 0x0000d5f4 0x0040e1f4 4   5    .rdata  ascii   ~SeA
326 0x0000d666 0x0040e266 5   6    .rdata  ascii   !tI)i
327 0x0000d679 0x0040e279 4   5    .rdata  ascii   k>X'
328 0x0000d699 0x0040e299 5   6    .rdata  ascii   `3QbE
329 0x0000d6ae 0x0040e2ae 6   7    .rdata  ascii   +\bpXhH
330 0x0000d6dc 0x0040e2dc 4   6    .rdata  utf8    ӥ\b70 blocks=Cyrillic,Basic Latin
331 0x0000d75a 0x0040e35a 4   5    .rdata  ascii   C@gw
332 0x0000d76f 0x0040e36f 5   7    .rdata  utf8    ȡG\n|| blocks=Latin Extended-B,Basic Latin
333 0x0000d78c 0x0040e38c 4   5    .rdata  ascii   lNrZ
334 0x0000d79a 0x0040e39a 7   9    .rdata  utf8    ծ6'9-\nd blocks=Armenian,Basic Latin
335 0x0000d7aa 0x0040e3aa 7   8    .rdata  ascii   T[$:.6\f
336 0x0000d7c8 0x0040e3c8 4   5    .rdata  ascii   ZiKw
337 0x0000d80a 0x0040e40a 5   6    .rdata  ascii   ;f[4~
338 0x0000d82f 0x0040e42f 4   6    .rdata  utf8    ƅ}$J blocks=Latin Extended-B,Basic Latin
339 0x0000d87b 0x0040e47b 5   9    .rdata  utf8    ʘ6\vԦρ blocks=IPA Extensions,Basic Latin,Cyrillic Supplement,Greek and Coptic
340 0x0000d89b 0x0040e49b 5   6    .rdata  ascii   _TbF~
341 0x0000d8d1 0x0040e4d1 4   5    .rdata  ascii   \tx&n
342 0x0000d904 0x0040e504 4   5    .rdata  ascii   *1#?
343 0x0000d9b7 0x0040e5b7 5   6    .rdata  ascii   h8,4$
344 0x0000d9e7 0x0040e5e7 5   6    .rdata  ascii   2Ht\l
345 0x0000d9f0 0x0040e5f0 12  13   .rdata  ascii   RRRR\t\t\t\tjjjj
346 0x0000da00 0x0040e600 8   9    .rdata  ascii   00006666
347 0x0000da0c 0x0040e60c 4   5    .rdata  ascii   8888
348 0x0000da14 0x0040e614 4   5    .rdata  ascii   @@@@
349 0x0000da30 0x0040e630 4   5    .rdata  ascii   ||||
350 0x0000da38 0x0040e638 4   5    .rdata  ascii   9999
351 0x0000da44 0x0040e644 4   5    .rdata  ascii   ////
352 0x0000da50 0x0040e650 4   5    .rdata  ascii   4444
353 0x0000da58 0x0040e658 8   9    .rdata  ascii   CCCCDDDD
354 0x0000da70 0x0040e670 8   9    .rdata  ascii   TTTT{{{{
355 0x0000da7c 0x0040e67c 4   5    .rdata  ascii   2222
356 0x0000da88 0x0040e688 8   9    .rdata  ascii   ####====
357 0x0000da94 0x0040e694 4   5    .rdata  ascii   LLLL
358 0x0000da9c 0x0040e69c 8   9    .rdata  ascii   \v\v\v\vBBBB
359 0x0000daac 0x0040e6ac 12  13   .rdata  ascii   NNNN\b\b\b\b....
360 0x0000dabc 0x0040e6bc 8   9    .rdata  ascii   ffff((((
361 0x0000dac8 0x0040e6c8 4   5    .rdata  ascii   $$$$
362 0x0000dad0 0x0040e6d0 8   9    .rdata  ascii   vvvv[[[[
363 0x0000dadc 0x0040e6dc 8   9    .rdata  ascii   IIIImmmm
364 0x0000daec 0x0040e6ec 8   9    .rdata  ascii   %%%%rrrr
365 0x0000dafc 0x0040e6fc 4   5    .rdata  ascii   dddd
366 0x0000db04 0x0040e704 4   5    .rdata  ascii   hhhh
367 0x0000db18 0x0040e718 4   5    .rdata  ascii   \\\\
368 0x0000db20 0x0040e720 8   9    .rdata  ascii   ]]]]eeee
369 0x0000db30 0x0040e730 16  17   .rdata  ascii   llllppppHHHHPPPP
370 0x0000db50 0x0040e750 4   5    .rdata  ascii   ^^^^
371 0x0000db58 0x0040e758 8   9    .rdata  ascii   FFFFWWWW
372 0x0000db8c 0x0040e78c 4   5    .rdata  ascii   \n\n\n\n
373 0x0000db98 0x0040e798 4   5    .rdata  ascii   XXXX
374 0x0000dba8 0x0040e7a8 4   5    .rdata  ascii   EEEE
375 0x0000dbb4 0x0040e7b4 4   5    .rdata  ascii   ,,,,
376 0x0000dbc4 0x0040e7c4 4   5    .rdata  ascii   ????
377 0x0000dbec 0x0040e7ec 8   9    .rdata  ascii   kkkk::::
378 0x0000dbfc 0x0040e7fc 12  13   .rdata  ascii   AAAAOOOOgggg
379 0x0000dc2c 0x0040e82c 4   5    .rdata  ascii   ssss
380 0x0000dc38 0x0040e838 8   9    .rdata  ascii   tttt""""
381 0x0000dc48 0x0040e848 4   5    .rdata  ascii   5555
382 0x0000dc58 0x0040e858 4   5    .rdata  ascii   7777
383 0x0000dc64 0x0040e864 4   5    .rdata  ascii   uuuu
384 0x0000dc6c 0x0040e86c 8   9    .rdata  ascii   nnnnGGGG
385 0x0000dc7c 0x0040e87c 4   5    .rdata  ascii   qqqq
386 0x0000dc84 0x0040e884 4   5    .rdata  ascii   ))))
387 0x0000dc90 0x0040e890 4   5    .rdata  ascii   oooo
388 0x0000dc98 0x0040e898 4   5    .rdata  ascii   bbbb
389 0x0000dcac 0x0040e8ac 4   5    .rdata  ascii   \e\e\e\e
390 0x0000dcb4 0x0040e8b4 12  13   .rdata  ascii   VVVV>>>>KKKK
391 0x0000dcc8 0x0040e8c8 8   9    .rdata  ascii   yyyy    
392 0x0000dce0 0x0040e8e0 4   5    .rdata  ascii   xxxx
393 0x0000dce8 0x0040e8e8 4   5    .rdata  ascii   ZZZZ
394 0x0000dcfc 0x0040e8fc 4   5    .rdata  ascii   3333
395 0x0000dd04 0x0040e904 4   5    .rdata  ascii   \a\a\a\a
396 0x0000dd0c 0x0040e90c 4   5    .rdata  ascii   1111
397 0x0000dd1c 0x0040e91c 8   9    .rdata  ascii   YYYY''''
398 0x0000dd2c 0x0040e92c 12  13   .rdata  ascii   ____````QQQQ
399 0x0000dd48 0x0040e948 12  13   .rdata  ascii   JJJJ\r\r\r\r----
400 0x0000dd58 0x0040e958 4   5    .rdata  ascii   zzzz
401 0x0000dd78 0x0040e978 8   9    .rdata  ascii   ;;;;MMMM
402 0x0000dd84 0x0040e984 4   5    .rdata  ascii   ****
403 0x0000dd9c 0x0040e99c 4   5    .rdata  ascii   <<<<
404 0x0000dda4 0x0040e9a4 4   5    .rdata  ascii   SSSS
405 0x0000ddac 0x0040e9ac 4   5    .rdata  ascii   aaaa
406 0x0000ddb4 0x0040e9b4 4   5    .rdata  ascii   ++++
407 0x0000ddbc 0x0040e9bc 4   5    .rdata  ascii   ~~~~
408 0x0000ddc4 0x0040e9c4 4   5    .rdata  ascii   wwww
409 0x0000ddcc 0x0040e9cc 4   5    .rdata  ascii   &&&&
410 0x0000ddd4 0x0040e9d4 4   5    .rdata  ascii   iiii
411 0x0000dddc 0x0040e9dc 20  21   .rdata  ascii   ccccUUUU!!!!\f\f\f\f}}}}
412 0x0000df2e 0x0040eb2e 8   9    .rdata  ascii   lstrlenW
413 0x0000df3a 0x0040eb3a 12  13   .rdata  ascii   SetErrorMode
414 0x0000df4a 0x0040eb4a 11  12   .rdata  ascii   CloseHandle
415 0x0000df58 0x0040eb58 18  19   .rdata  ascii   GetExitCodeProcess
416 0x0000df6c 0x0040eb6c 12  13   .rdata  ascii   KERNEL32.dll
0   0x0000e000 0x0040f000 4   5    .data   ascii   6}I0
1   0x0000e008 0x0040f008 5   6    .data   ascii   h`KKz
2   0x0000e03f 0x0040f03f 4   5    .data   ascii   5\n'@
3   0x0000e060 0x0040f060 4   10   .data   utf16le \\?\
4   0x0000e27a 0x0040f27a 5   6    .data   ascii   \nN5',
5   0x0000e296 0x0040f296 7   8    .data   ascii   B6/<aL'
6   0x0000e2a0 0x0040f2a0 4   5    .data   ascii   >r@!
7   0x0000e2d4 0x0040f2d4 6   7    .data   ascii   Bx]4Y!
8   0x0000e2ed 0x0040f2ed 6   7    .data   ascii   1;)d\s
9   0x0000e30e 0x0040f30e 4   5    .data   ascii   V7%?
10  0x0000e35a 0x0040f35a 4   5    .data   ascii   h\tT.
11  0x0000e371 0x0040f371 4   5    .data   ascii   7C85
12  0x0000e376 0x0040f376 5   6    .data   ascii   {D!Q\f
13  0x0000e3f2 0x0040f3f2 5   6    .data   ascii   SKc\ac
14  0x0000e41c 0x0040f41c 4   5    .data   ascii   >Y\M
15  0x0000e428 0x0040f428 7   8    .data   ascii   k#\\f=x7
16  0x0000e432 0x0040f432 6   11   .data   utf8    ّҫ^^טB blocks=Arabic,Cyrillic,Basic Latin,Hebrew
17  0x0000e455 0x0040f455 5   6    .data   ascii   (EGU]
18  0x0000e46e 0x0040f46e 7   8    .data   ascii   H\V`&W 
19  0x0000e4b6 0x0040f4b6 4   6    .data   utf8    (ȹ[N blocks=Basic Latin,Latin Extended-B
20  0x0000e4e9 0x0040f4e9 4   5    .data   ascii   \fm_O
21  0x0000e5aa 0x0040f5aa 7   10   .data   utf8    OhdWʹsж blocks=Basic Latin,Spacing Modifier Letters,Cyrillic
22  0x0000e5c7 0x0040f5c7 6   7    .data   ascii   b|pY=7
23  0x0000e5d4 0x0040f5d4 4   5    .data   ascii   kdB8
24  0x0000e5e8 0x0040f5e8 6   7    .data   ascii   _[}zB0
25  0x0000e5ef 0x0040f5ef 4   6    .data   utf8    \HϺq blocks=Basic Latin,Greek and Coptic
26  0x0000e61c 0x0040f61c 4   5    .data   ascii   I|zD
27  0x0000e655 0x0040f655 4   5    .data   ascii   5371
28  0x0000e699 0x0040f699 4   5    .data   ascii   ;]CQ
29  0x0000e6be 0x0040f6be 4   5    .data   ascii   JDv|
30  0x0000e7ef 0x0040f7ef 6   8    .data   utf8    pMج l? blocks=Basic Latin,Arabic
31  0x0000e81a 0x0040f81a 4   5    .data   ascii   //u]
32  0x0000e837 0x0040f837 4   5    .data   ascii   }K\f7
33  0x0000e867 0x0040f867 4   5    .data   ascii   *S_W
34  0x0000e8ef 0x0040f8ef 6   7    .data   ascii   7GM3"4
35  0x0000e8fe 0x0040f8fe 4   5    .data   ascii   LWj/
36  0x0000e938 0x0040f938 5   6    .data   ascii   2zJTl
37  0x0000e962 0x0040f962 7   9    .data   utf8    ޡ-4q>eV blocks=Thaana,Basic Latin
38  0x0000e973 0x0040f973 4   5    .data   ascii   ve}j
39  0x0000e981 0x0040f981 4   5    .data   ascii   g[F@
40  0x0000e988 0x0040f988 4   6    .data   utf8     ïHq blocks=Basic Latin,Latin-1 Supplement
41  0x0000e997 0x0040f997 4   5    .data   ascii   0eoH
42  0x0000e9b5 0x0040f9b5 4   5    .data   ascii   %/D4
43  0x0000e9f4 0x0040f9f4 4   5    .data   ascii   )K.1
44  0x0000ea13 0x0040fa13 5   6    .data   ascii   f|ltn
45  0x0000ea2a 0x0040fa2a 4   5    .data   ascii   %90!
46  0x0000ea51 0x0040fa51 5   6    .data   ascii   rc;<v
47  0x0000ea87 0x0040fa87 4   6    .data   utf8    Ěc~\n blocks=Latin Extended-A,Basic Latin
48  0x0000eaa3 0x0040faa3 8   11   .data   utf8    Gɔŝx72\tg blocks=Basic Latin,IPA Extensions,Latin Extended-A
49  0x0000eabd 0x0040fabd 4   5    .data   ascii   run5
50  0x0000eb39 0x0040fb39 6   7    .data   ascii   C}-N\eV
51  0x0000eb45 0x0040fb45 7   9    .data   utf8    (!#ơ?QQ blocks=Basic Latin,Latin Extended-B
52  0x0000eb7b 0x0040fb7b 4   5    .data   ascii   1\K&
53  0x0000eb8c 0x0040fb8c 4   6    .data   utf8    rĞ`X blocks=Basic Latin,Latin Extended-A
54  0x0000ebb1 0x0040fbb1 4   5    .data   ascii    `|F
55  0x0000ebb9 0x0040fbb9 10  12   .data   utf8    {Sؚ[Hf:nzc blocks=Basic Latin,Arabic
56  0x0000ec06 0x0040fc06 4   6    .data   utf8    \fۡz( blocks=Basic Latin,Arabic
57  0x0000ec21 0x0040fc21 4   7    .data   utf8    m<愂0 blocks=Basic Latin,CJK Unified Ideographs
58  0x0000ec85 0x0040fc85 4   5    .data   ascii   b++q
59  0x0000ec94 0x0040fc94 5   6    .data   ascii   +.qMv
60  0x0000eca7 0x0040fca7 4   6    .data   utf8    K5)ա blocks=Basic Latin,Armenian
61  0x0000ecb0 0x0040fcb0 7   9    .data   utf8    q}\tFiԊj blocks=Basic Latin,Cyrillic Supplement
62  0x0000ece6 0x0040fce6 5   6    .data   ascii   b)\anT
63  0x0000ecf6 0x0040fcf6 5   6    .data   ascii   spG\vL
64  0x0000ed42 0x0040fd42 9   10   .data   ascii   }GN\aV.hF\v
65  0x0000ed84 0x0040fd84 4   5    .data   ascii   @rfc
66  0x0000edb5 0x0040fdb5 4   6    .data   utf8    VĤE\b blocks=Basic Latin,Latin Extended-A
67  0x0000edc2 0x0040fdc2 5   8    .data   utf8    +>+픈? blocks=Basic Latin,Hangul Syllables
68  0x0000ee2f 0x0040fe2f 5   6    .data   ascii   OzI6\f
69  0x0000ee99 0x0040fe99 4   6    .data   utf8    #yه\ blocks=Basic Latin,Arabic
70  0x0000eea3 0x0040fea3 5   6    .data   ascii   \b\t \v\t
71  0x0000eef8 0x0040fef8 4   10   .data   utf16le \v0\r`
72  0x0000ef4b 0x0040ff4b 6   7    .data   ascii   h\a!g^c
73  0x0000ef5e 0x0040ff5e 4   5    .data   ascii   t:DL
74  0x0000ef8f 0x0040ff8f 5   6    .data   ascii   d<RH-
75  0x0000ef97 0x0040ff97 6   7    .data   ascii   q5[T$w
76  0x0000f00f 0x0041000f 4   6    .data   utf8    -ں$\t blocks=Basic Latin,Arabic
77  0x0000f04f 0x0041004f 5   6    .data   ascii   4\fOs0
78  0x0000f065 0x00410065 4   5    .data   ascii   kjPj
79  0x0000f074 0x00410074 6   8    .data   utf8    U6*IIK
80  0x0000f153 0x00410153 4   5    .data   ascii   q!h@
81  0x0000f17f 0x0041017f 4   10   .data   utf8    q툈c. blocks=Basic Latin,Hangul Syllables
82  0x0000f190 0x00410190 4   5    .data   ascii   vu\v\n
83  0x0000f227 0x00410227 6   8    .data   utf8    \r?\nkŒ= blocks=Basic Latin,Latin Extended-A
84  0x0000f236 0x00410236 5   7    .data   utf8    8fTRج blocks=Basic Latin,Arabic
85  0x0000f256 0x00410256 4   5    .data   ascii   0rL"
86  0x0000f28c 0x0041028c 10  12   .data   utf8    ;[1DK"&+g1
87  0x0000f2cf 0x004102cf 4   5    .data   ascii   .#zp
88  0x0000f2d4 0x004102d4 4   5    .data   ascii   oWh\f
89  0x0000f2ea 0x004102ea 4   5    .data   ascii   d?g$
90  0x0000f30a 0x0041030a 5   7    .data   utf8    "WƔ>K blocks=Basic Latin,Latin Extended-B
91  0x0000f31c 0x0041031c 5   6    .data   ascii   ^N}[\f
92  0x0000f32e 0x0041032e 4   5    .data   ascii   S\=\n
93  0x0000f368 0x00410368 4   5    .data   ascii   ae_J
94  0x0000f38a 0x0041038a 4   5    .data   ascii   tWRf
95  0x0000f396 0x00410396 6   7    .data   ascii   ZWX&#7
96  0x0000f3aa 0x004103aa 7   9    .data   utf8    eCȴ\aZ)E blocks=Basic Latin,Latin Extended-B
97  0x0000f3c4 0x004103c4 4   5    .data   ascii   MS-)
98  0x0000f3d8 0x004103d8 7   10   .data   utf8    (~ɟNcڥH blocks=Basic Latin,IPA Extensions,Arabic
99  0x0000f3e3 0x004103e3 5   6    .data   ascii   Z(ICl
100 0x0000f40f 0x0041040f 5   6    .data   ascii   s| f~
101 0x0000f447 0x00410447 5   7    .data   utf8    *]\teÚ blocks=Basic Latin,Latin-1 Supplement
102 0x0000f49e 0x0041049e 5   8    .data   utf8    ?(ꆿ"_ blocks=Basic Latin,Yi Syllables
103 0x0000f4d3 0x004104d3 4   5    .data   ascii   OfKD
104 0x0000f52f 0x0041052f 4   5    .data   ascii   LL9q
105 0x0000f5a9 0x004105a9 4   5    .data   ascii   v>o~
106 0x0000f5b1 0x004105b1 4   5    .data   ascii   "i;n
107 0x0000f5c0 0x004105c0 7   8    .data   ascii   .&<x%5v
108 0x0000f5cc 0x004105cc 4   5    .data   ascii   *.(U
109 0x0000f60f 0x0041060f 7   8    .data   ascii   dg[S)Q~
110 0x0000f64b 0x0041064b 4   7    .data   utf8    &ه'ΰ blocks=Basic Latin,Arabic,Greek and Coptic
111 0x0000f65b 0x0041065b 4   5    .data   ascii   \b^,7
112 0x0000f6b6 0x004106b6 5   6    .data   ascii   ASV2'
113 0x0000f6d2 0x004106d2 4   5    .data   ascii   7A3\n
114 0x0000f723 0x00410723 5   6    .data   ascii   J9y\aN
115 0x0000f73c 0x0041073c 4   5    .data   ascii   a*3f
116 0x0000f74b 0x0041074b 4   7    .data   utf8    [S㭐~ blocks=Basic Latin,CJK Unified Ideographs Extension A
117 0x0000f805 0x00410805 6   7    .data   ascii   pwD'M\n
118 0x0000f840 0x00410840 4   5    .data   ascii   pATJ
119 0x0000f8b8 0x004108b8 5   6    .data   ascii   ?^]\n&
120 0x0000f8f1 0x004108f1 4   5    .data   ascii   .k75
121 0x0000f901 0x00410901 4   5    .data   ascii   ~nlD
122 0x0000f90b 0x0041090b 8   10   .data   utf8    \a!ѪN^{11 blocks=Basic Latin,Cyrillic
123 0x0000f91b 0x0041091b 5   6    .data   ascii   m-yy#
124 0x0000f976 0x00410976 4   5    .data   ascii   8ATF
125 0x0000f989 0x00410989 4   5    .data   ascii   S_K5
126 0x0000fa27 0x00410a27 4   7    .data   utf8    0Կǹ0 blocks=Basic Latin,Armenian,Latin Extended-B
127 0x0000fa3b 0x00410a3b 4   5    .data   ascii   4~a~
128 0x0000fa5a 0x00410a5a 5   6    .data   ascii   -IrIo
129 0x0000fa77 0x00410a77 4   5    .data   ascii   tD\n%
130 0x0000faa1 0x00410aa1 4   5    .data   ascii    [,c
131 0x0000faaa 0x00410aaa 7   9    .data   utf8    s\n°ADeh blocks=Basic Latin,Latin-1 Supplement
132 0x0000fb02 0x00410b02 4   5    .data   ascii   jqPF
133 0x0000fb7e 0x00410b7e 4   7    .data   utf8    NܦܴR blocks=Basic Latin,Syriac
134 0x0000fbbf 0x00410bbf 4   6    .data   utf8    ұe\aE blocks=Cyrillic,Basic Latin
135 0x0000fbc5 0x00410bc5 4   5    .data   ascii   n ;\t
136 0x0000fbd0 0x00410bd0 4   5    .data   ascii   .\rZ?
arch     x86
baddr    0x400000
binsz    157696
bintype  pe
bits     32
canary   true
retguard false
class    PE32
cmp.csum 0x0002ba88
compiled Fri May  8 15:47:59 2020
crypto   false
endian   little
havecode true
hdr.csum 0x00000000
laddr    0x0
lang     c
linenum  false
lsyms    false
machine  i386
nx       false
os       windows
overlay  false
cc       cdecl
pic      true
relocs   false
signed   false
sanitize false
static   false
stripped false
subsys   Windows GUI
va       true
PE file header:
IMAGE_NT_HEADERS
  Signature : 0x4550
IMAGE_FILE_HEADERS
  Machine : 0x14c
  NumberOfSections : 0x6
  TimeDateStamp : 0x5eb57f2f
  PointerToSymbolTable : 0x0
  NumberOfSymbols : 0x0
  SizeOfOptionalHeader : 0xe0
  Characteristics : 0x102
IMAGE_OPTIONAL_HEADERS
  Magic : 0x10b
  MajorLinkerVersion : 0xe
  MinorLinkerVersion : 0x0
  SizeOfCode : 0xb000
  SizeOfInitializedData : 0x9a00
  SizeOfUninitializedData : 0x0
  AddressOfEntryPoint : 0x3e9c
  BaseOfCode : 0x1000
  BaseOfData : 0x1f000
  ImageBase : 0x400000
  SectionAlignment : 0x1000
  FileAlignment : 0x200
  MajorOperatingSystemVersion : 0x5
  MinorOperatingSystemVersion : 0x1
  MajorImageVersion : 0x0
  MinorImageVersion : 0x0
  MajorSubsystemVersion : 0x5
  MinorSubsystemVersion : 0x1
  Win32VersionValue : 0x0
  SizeOfImage : 0x29000
  SizeOfHeaders : 0x400
  CheckSum : 0x0
  Subsystem : 0x2
  DllCharacteristics : 0x8040
  SizeOfStackReserve : 0x100000
  SizeOfStackCommit : 0x1000
  SizeOfHeapReserve : 0x100000
  SizeOfHeapCommit : 0x1000
  LoaderFlags : 0x0
  NumberOfRvaAndSizes : 0x10
RICH_FIELDS
  Product: 258 Name: Linker1400 Version: 24215 Times: 1
  Product: 260 Name: Utc1900_C Version: 24215 Times: 26
  Product: 208 Name: Utc1700_CVTCIL_C Version: 65501 Times: 1
  Product: 1 Name: Import0 Version: 0 Times: 24
  Product: 203 Name: Implib1100 Version: 65501 Times: 3
  Product: 206 Name: Utc1700_C Version: 65501 Times: 1
  Product: 260 Name: Utc1900_C Version: 24123 Times: 1
  Product: 259 Name: Masm1400 Version: 24123 Times: 3
  Product: 261 Name: Utc1900_CPP Version: 24123 Times: 1
IMAGE_DIRECTORY_ENTRY_IMPORT
  VirtualAddress : 0xeaf0
  Size : 0x28
IMAGE_DIRECTORY_ENTRY_BASERELOC
  VirtualAddress : 0x1e000
  Size : 0x63c
IMAGE_DIRECTORY_ENTRY_IAT
  VirtualAddress : 0xc000
  Size : 0x18
IMAGE_DIRECTORY_ENTRY_DELAY_IMPORT
  VirtualAddress : 0x0
  Size : 0xffff
[Linked libraries]
kernel32.dll

1 library
[Relocations]

vaddr      paddr      type   name
―――――――――――――――――――――――――――――――――
0x0000eb2c 0x0000b400 SET_32 KERNEL32.dll_lstrlenW
0x0000eb38 0x0000b404 SET_32 KERNEL32.dll_SetErrorMode
0x0000eb48 0x0000b408 SET_32 KERNEL32.dll_CloseHandle
0x0000eb56 0x0000b40c SET_32 KERNEL32.dll_GetExitCodeProcess


4 relocations
157696
=== VS_VERSIONINFO ===

Section to Segment mapping:
Segment Section
---------------


