[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 4   5            ascii   MZER
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x000000a8 0x000000a8 5   6            ascii   RichD
3    0x000001c0 0x000001c0 5   6            ascii   .text
4    0x000001e7 0x000001e7 6   7            ascii   `.rsrc
5    0x00001010 0x00001010 4   5            ascii   E\fPV
6    0x0000101e 0x0000101e 6   8            utf8    ^]ËE\b] blocks=Basic Latin,Latin-1 Supplement
7    0x0000105a 0x0000105a 5   7            utf8    \a\vʊP\v blocks=Basic Latin,IPA Extensions
8    0x000010ab 0x000010ab 5   7            utf8    \a\vʊP\a blocks=Basic Latin,IPA Extensions
9    0x00001100 0x00001100 4   6            utf8    \a\vʊP blocks=Basic Latin,IPA Extensions
10   0x0000117c 0x0000117c 5   6            ascii   >'{CU
11   0x0000119f 0x0000119f 4   5            ascii   I\fSW
12   0x000011d7 0x000011d7 6   7            ascii   1N\b1V\f
322  0x00007f8c 0x00407d8c 5   6    .text   ascii   <>CuJ
323  0x00007fa9 0x00407da9 5   6    .text   ascii   u\f8\0
324  0x00007fdc 0x00407ddc 5   6    .text   ascii   <>DuG
325  0x00007ff9 0x00407df9 5   6    .text   ascii   u\f8\0
326  0x00008121 0x00407f21 5   6    .text   ascii   M\bQWV
327  0x000081dd 0x00407fdd 4   5    .text   ascii   Pj|V
328  0x00008275 0x00408075 4   6    .text   utf8    ]Ñi8 blocks=Basic Latin,Latin-1 Supplement
329  0x0000827c 0x0040807c 5   6    .text   ascii   wU\nlU
330  0x00008289 0x00408089 4   5    .text   ascii   SVW3
331  0x0000859d 0x0040839d 4   5    .text   ascii   07,U
332  0x000086e9 0x004084e9 4   6    .text   utf8    v!3Ʌ blocks=Basic Latin,Latin Extended-B
333  0x000087ca 0x004085ca 5   6    .text   ascii   jcjjV
334  0x000087ee 0x004085ee 8   9    .text   ascii   Rj\bjsjkV
335  0x00008815 0x00408615 8   9    .text   ascii   Pj\bjnjlV
336  0x0000883c 0x0040863c 8   9    .text   ascii   Qj\bjxjmV
337  0x00008862 0x00408662 6   9    .text   utf8    jcjnV褹 blocks=Basic Latin,CJK Unified Ideographs
338  0x00008882 0x00408682 9   12   .text   utf8    Pj\njwjoV聹 blocks=Basic Latin,CJK Unified Ideographs
339  0x000088a5 0x004086a5 8   9    .text   ascii   Qj\njxjpV
340  0x000088f3 0x004086f3 4   5    .text   ascii   SVWj
341  0x00008912 0x00408712 10  11   .text   ascii   G(Pj\bj\jcV
342  0x00008936 0x00408736 10  11   .text   ascii   O(Qj\fj\jdV
343  0x0000895a 0x0040875a 11  14   .text   utf8    W(Rj\bj\jeV觸 blocks=Basic Latin,CJK Unified Ideographs
344  0x0000897e 0x0040877e 11  14   .text   utf8    G(Pj\tj\jfV胸 blocks=Basic Latin,CJK Unified Ideographs
345  0x000089a2 0x004087a2 10  11   .text   ascii   O(Qj\bj\jgV
346  0x000089c2 0x004087c2 10  11   .text   ascii   W(Rj\tj\jhV
347  0x000089e2 0x004087e2 4   5    .text   ascii   G(Pj
348  0x000089e7 0x004087e7 5   6    .text   ascii   j\jiV
349  0x00008a1c 0x0040881c 4   5    .text   ascii   F4_^
350  0x00008a25 0x00408825 4   6    .text   utf8    []ËN blocks=Basic Latin,Latin-1 Supplement
351  0x00008a4b 0x0040884b 4   6    .text   utf8    1+IE
352  0x00008b5d 0x0040895d 4   6    .text   utf8    rыu\b blocks=Basic Latin,Cyrillic
353  0x00008b88 0x00408988 4   5    .text   ascii   t\nPV
354  0x00008bb1 0x004089b1 4   6    .text   utf8    ]Ø\4 blocks=Basic Latin,Latin-1 Supplement
355  0x00008c0c 0x00408a0c 5   8    .text   utf8    EوEۉE blocks=Basic Latin,Arabic
356  0x00008c22 0x00408a22 4   7    .text   utf8    EHEÍ blocks=Basic Latin,Latin-1 Supplement
357  0x00008c30 0x00408a30 5   8    .text   utf8    ]܈]Ĉ] blocks=Basic Latin,Syriac,Latin Extended-A
358  0x00008cd9 0x00408ad9 5   6    .text   ascii   www.u
359  0x00008d86 0x00408b86 4   7    .text   utf8    PWV肴 blocks=Basic Latin,CJK Unified Ideographs
360  0x00008de5 0x00408be5 4   6    .text   utf8    1+IE
361  0x00008e67 0x00408c67 5   8    .text   utf8    M\bPQ蠳 blocks=Basic Latin,CJK Unified Ideographs
362  0x00008e8d 0x00408c8d 4   5    .text   ascii   FHWP
363  0x00008ea2 0x00408ca2 4   5    .text   ascii   FHPS
364  0x00008eb0 0x00408cb0 4   5    .text   ascii   VUR3
365  0x00008ed0 0x00408cd0 7   9    .text   utf8    ^[]þ>FA blocks=Basic Latin,Latin-1 Supplement
366  0x00008edc 0x00408cdc 4   6    .text   utf8    XRށU blocks=Basic Latin,Thaana
367  0x00008fc4 0x00408dc4 6   8    .text   utf8    U\bVW3ɿ blocks=Basic Latin,IPA Extensions
368  0x00009068 0x00408e68 4   6    .text   utf8    ]Û^" blocks=Basic Latin,Latin-1 Supplement
369  0x00009074 0x00408e74 5   7    .text   utf8    E\b3ɉH blocks=Basic Latin,Latin Extended-B
370  0x00009096 0x00408e96 5   6    .text   ascii   @\fvT2
371  0x000090bc 0x00408ebc 6   8    .text   utf8    u\bW3ɍF blocks=Basic Latin,Latin Extended-B
372  0x00009183 0x00408f83 4   5    .text   ascii   3\b3X
373  0x000091a0 0x00408fa0 5   6    .text   ascii   H 3X\b
374  0x00009572 0x00409372 4   7    .text   utf8    bʋI] blocks=Basic Latin,IPA Extensions
375  0x000095f3 0x004093f3 5   7    .text   utf8    ]Ëj9y blocks=Basic Latin,Latin-1 Supplement
376  0x000095fd 0x004093fd 4   5    .text   ascii   _7zU
377  0x0000961d 0x0040941d 4   5    .text   ascii   F\~A
378  0x0000964c 0x0040944c 5   6    .text   ascii   9N\}-
379  0x00009659 0x00409459 6   7    .text   ascii   ~\9N\|
380  0x000096bf 0x004094bf 4   5    .text   ascii   _^[]
381  0x0000973a 0x0040953a 4   5    .text   ascii   E\bSV
382  0x0000974a 0x0040954a 4   5    .text   ascii   ABCD
383  0x00009751 0x00409551 4   5    .text   ascii   EFGH
384  0x00009758 0x00409558 4   5    .text   ascii   IJKL
385  0x0000975f 0x0040955f 4   5    .text   ascii   MNOP
386  0x00009766 0x00409566 4   5    .text   ascii   QRST
387  0x0000976d 0x0040956d 4   5    .text   ascii   UVWX
388  0x00009774 0x00409574 4   5    .text   ascii   YZab
389  0x0000977b 0x0040957b 4   5    .text   ascii   cdef
390  0x00009782 0x00409582 4   5    .text   ascii   ghij
391  0x00009789 0x00409589 4   5    .text   ascii   klmn
392  0x00009790 0x00409590 4   5    .text   ascii   opqr
393  0x00009797 0x00409597 4   5    .text   ascii   stuv
394  0x0000979e 0x0040959e 4   5    .text   ascii   wxyz
395  0x000097a5 0x004095a5 4   5    .text   ascii   0123
396  0x000097ac 0x004095ac 4   5    .text   ascii   4567
397  0x000097b3 0x004095b3 4   5    .text   ascii   89+/
398  0x00009887 0x00409687 7   8    .text   ascii   +E\b_^@[
399  0x000098aa 0x004096aa 4   6    .text   utf8    M\fVǅ blocks=Basic Latin,Latin Extended-B
400  0x000098b3 0x004096b3 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
401  0x000098bd 0x004096bd 6   8    .text   utf8    @@@@ǅ\b blocks=Basic Latin,Latin Extended-B
402  0x000098c7 0x004096c7 6   8    .text   utf8    @@@@ǅ\f blocks=Basic Latin,Latin Extended-B
403  0x000098d1 0x004096d1 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
404  0x000098db 0x004096db 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
405  0x000098e5 0x004096e5 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
406  0x000098ef 0x004096ef 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
407  0x000098f9 0x004096f9 6   8    .text   utf8    @@@@ǅ  blocks=Basic Latin,Latin Extended-B
408  0x00009903 0x00409703 6   8    .text   utf8    @@@@ǅ$ blocks=Basic Latin,Latin Extended-B
409  0x0000990d 0x0040970d 6   8    .text   utf8    @@@@ǅ( blocks=Basic Latin,Latin Extended-B
410  0x00009917 0x00409717 4   5    .text   ascii   @@@>
411  0x00009923 0x00409723 6   8    .text   utf8    @@@?ǅ0 blocks=Basic Latin,Latin Extended-B
412  0x0000992d 0x0040972d 6   8    .text   utf8    4567ǅ4 blocks=Basic Latin,Latin Extended-B
413  0x00009937 0x00409737 6   8    .text   utf8    89:;ǅ8 blocks=Basic Latin,Latin Extended-B
414  0x00009941 0x00409741 6   8    .text   utf8    <=@@ǅ< blocks=Basic Latin,Latin Extended-B
415  0x0000994b 0x0040974b 6   8    .text   utf8    @@@@ǅ@ blocks=Basic Latin,Latin Extended-B
416  0x00009969 0x00409769 6   8    .text   utf8    \a\b\t\nǅL blocks=Basic Latin,Latin Extended-B
417  0x0000999b 0x0040979b 6   8    .text   utf8    @@@@ǅ` blocks=Basic Latin,Latin Extended-B
418  0x000099b9 0x004097b9 6   8    .text   utf8    !"#$ǅl blocks=Basic Latin,Latin Extended-B
419  0x000099c3 0x004097c3 6   8    .text   utf8    %&'(ǅp blocks=Basic Latin,Latin Extended-B
420  0x000099cd 0x004097cd 6   8    .text   utf8    )*+,ǅt blocks=Basic Latin,Latin Extended-B
421  0x000099d7 0x004097d7 6   8    .text   utf8    -./0ǅx blocks=Basic Latin,Latin Extended-B
422  0x000099e1 0x004097e1 6   8    .text   utf8    123@ǅ| blocks=Basic Latin,Latin Extended-B
423  0x000099eb 0x004097eb 4   5    .text   ascii   @@@@
424  0x000099f2 0x004097f2 4   5    .text   ascii   @@@@
425  0x000099f9 0x004097f9 4   5    .text   ascii   @@@@
426  0x00009a00 0x00409800 4   5    .text   ascii   @@@@
427  0x00009a07 0x00409807 4   5    .text   ascii   @@@@
428  0x00009a0e 0x0040980e 4   5    .text   ascii   @@@@
429  0x00009a15 0x00409815 4   5    .text   ascii   @@@@
430  0x00009a1c 0x0040981c 4   5    .text   ascii   @@@@
431  0x00009a23 0x00409823 4   5    .text   ascii   @@@@
432  0x00009a2a 0x0040982a 4   5    .text   ascii   @@@@
433  0x00009a31 0x00409831 4   5    .text   ascii   @@@@
434  0x00009a38 0x00409838 4   5    .text   ascii   @@@@
435  0x00009a3f 0x0040983f 4   5    .text   ascii   @@@@
436  0x00009a46 0x00409846 4   5    .text   ascii   @@@@
437  0x00009a4d 0x0040984d 4   5    .text   ascii   @@@@
438  0x00009a54 0x00409854 4   5    .text   ascii   @@@@
439  0x00009a5b 0x0040985b 4   5    .text   ascii   @@@@
440  0x00009a62 0x00409862 4   5    .text   ascii   @@@@
441  0x00009a69 0x00409869 4   5    .text   ascii   @@@@
442  0x00009a70 0x00409870 4   5    .text   ascii   @@@@
443  0x00009a77 0x00409877 4   5    .text   ascii   @@@@
444  0x00009a7e 0x0040987e 4   5    .text   ascii   @@@@
445  0x00009a85 0x00409885 4   5    .text   ascii   @@@@
446  0x00009a8c 0x0040988c 4   5    .text   ascii   @@@@
447  0x00009a93 0x00409893 4   5    .text   ascii   @@@@
448  0x00009a9a 0x0040989a 4   5    .text   ascii   @@@@
449  0x00009aa1 0x004098a1 4   5    .text   ascii   @@@@
450  0x00009aa8 0x004098a8 4   5    .text   ascii   @@@@
451  0x00009aaf 0x004098af 4   5    .text   ascii   @@@@
452  0x00009ab6 0x004098b6 4   5    .text   ascii   @@@@
453  0x00009abd 0x004098bd 4   5    .text   ascii   @@@@
454  0x00009ac4 0x004098c4 4   5    .text   ascii   @@@@
455  0x00009acb 0x004098cb 4   5    .text   ascii   @@@@
456  0x00009ae0 0x004098e0 5   7    .text   utf8    u\b+Mx
457  0x00009c65 0x00409a65 4   6    .text   utf8    u\f3Ʌ blocks=Basic Latin,Latin Extended-B
458  0x00009c73 0x00409a73 11  12   .text   ascii   <+t\f</t\b<=t
459  0x00009ca0 0x00409aa0 6   8    .text   utf8    3ɸgfff blocks=Basic Latin,IPA Extensions
460  0x00009d34 0x00409b34 5   6    .text   ascii   9E\fvx
461  0x00009da5 0x00409ba5 4   6    .text   utf8    2ʈL8 blocks=Basic Latin,IPA Extensions
462  0x00009dab 0x00409bab 4   5    .text   ascii   ;E\fr
463  0x00009dcf 0x00409bcf 5   7    .text   utf8    ^]Ã~` blocks=Basic Latin,Latin-1 Supplement
464  0x00009e07 0x00409c07 4   5    .text   ascii   uKSW
465  0x00009e2d 0x00409c2d 4   5    .text   ascii   F\u\b
466  0x00009e3b 0x00409c3b 4   5    .text   ascii   @u\tV
467  0x00009e4f 0x00409c4f 4   5    .text   ascii   _[^]
468  0x00009ee4 0x00409ce4 4   6    .text   utf8    9Bکc blocks=Basic Latin,Arabic
469  0x00009fed 0x00409ded 4   5    .text   ascii   VccU
470  0x0000a064 0x00409e64 5   6    .text   ascii   \t\a;F
471  0x0000a11a 0x00409f1a 5   7    .text   utf8    ]ËE\bj blocks=Basic Latin,Latin-1 Supplement
472  0x0000a2ab 0x0040a0ab 4   5    .text   ascii   E\fVP
473  0x0000a2bc 0x0040a0bc 5   6    .text   ascii   Pt\v.U
474  0x0000a33f 0x0040a13f 4   5    .text   ascii   ]\bVW
475  0x0000a368 0x0040a168 4   5    .text   ascii   E\fVP
476  0x0000a449 0x0040a249 4   5    .text   ascii   SVW3
477  0x0000a55c 0x0040a35c 4   5    .text   ascii   E\f_3
478  0x0000a569 0x0040a369 5   7    .text   utf8    ]ËU\f3 blocks=Basic Latin,Latin-1 Supplement
479  0x0000a589 0x0040a389 4   5    .text   ascii   SVWh
480  0x0000a5f0 0x0040a3f0 4   5    .text   ascii   </t\f
481  0x0000a6c6 0x0040a4c6 6   8    .text   utf8    rȋE\f_3 blocks=Basic Latin,Latin Extended-B
482  0x0000a6d6 0x0040a4d6 6   8    .text   utf8    ]ËU\f_3 blocks=Basic Latin,Latin-1 Supplement
483  0x0000a6ea 0x0040a4ea 4   5    .text   ascii   r\n="
484  0x0000a6fb 0x0040a4fb 4   5    .text   ascii   u\fWj
485  0x0000a7be 0x0040a5be 5   7    .text   utf8    SV3ۉE blocks=Basic Latin,Arabic
486  0x0000a854 0x0040a654 5   6    .text   ascii   DESTf
487  0x0000a877 0x0040a677 6   9    .text   utf8    Mċ}ċM\f blocks=Basic Latin,Latin Extended-A
488  0x0000a8b3 0x0040a6b3 5   8    .text   utf8    Eċ}čE blocks=Basic Latin,Latin Extended-A
489  0x0000a986 0x0040a786 5   8    .text   utf8    Uċ}ĉ8 blocks=Basic Latin,Latin Extended-A
490  0x0000a99c 0x0040a79c 4   6    .text   utf8    UЉP\f blocks=Basic Latin,Cyrillic
491  0x0000abe4 0x0040a9e4 4   5    .text   ascii   j@Sj
492  0x0000abfc 0x0040a9fc 4   5    .text   ascii   RPQV
493  0x0000acdf 0x0040aadf 4   5    .text   ascii   j@Sj
494  0x0000acf7 0x0040aaf7 4   5    .text   ascii   RPQV
495  0x0000add2 0x0040abd2 5   6    .text   ascii   M\fj@j
496  0x0000ae6d 0x0040ac6d 4   5    .text   ascii   M\bPQ
497  0x0000ae8c 0x0040ac8c 4   6    .text   utf8    +Ƌu\b blocks=Basic Latin,Latin Extended-B
498  0x0000aebb 0x0040acbb 6   7    .text   ascii   hm~`(U
499  0x0000af3a 0x0040ad3a 4   6    .text   utf8    Lɨ6z blocks=Basic Latin,IPA Extensions
500  0x0000af9d 0x0040ad9d 4   7    .text   utf8    M쉏(\n blocks=Basic Latin,Hangul Syllables
501  0x0000afde 0x0040adde 4   5    .text   ascii   }\bPj
502  0x0000b011 0x0040ae11 5   6    .text   ascii   QRPVW
503  0x0000b0b4 0x0040aeb4 4   5    .text   ascii   U\bRV
504  0x0000b0cd 0x0040aecd 7   11   .text   utf8    ]ԉ]܉]؉] blocks=Basic Latin,Cyrillic Supplement,Syriac,Arabic
505  0x0000b0f8 0x0040aef8 4   5    .text   ascii   M\bSj
506  0x0000b156 0x0040af56 4   5    .text   ascii   PQRV
507  0x0000b17d 0x0040af7d 4   5    .text   ascii   U\bRV
508  0x0000b190 0x0040af90 8   9    .text   ascii   U\fSWPQRV
509  0x0000b1b8 0x0040afb8 4   5    .text   ascii   \b_^[
510  0x0000b1d0 0x0040afd0 4   5    .text   ascii   E\bj 
511  0x0000b1e8 0x0040afe8 4   5    .text   ascii   M\bQV
512  0x0000b1f3 0x0040aff3 4   5    .text   ascii   \b_^[
513  0x0000b1f9 0x0040aff9 4   6    .text   utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
514  0x0000b21e 0x0040b01e 5   6    .text   ascii   U\bRWV
515  0x0000b257 0x0040b057 4   5    .text   ascii   M\bQV
516  0x0000b2a2 0x0040b0a2 6   7    .text   ascii   SSSPQV
517  0x0000b2bc 0x0040b0bc 4   5    .text   ascii   E\bPV
518  0x0000b2f4 0x0040b0f4 4   5    .text   ascii   \b_^[
519  0x0000b4db 0x0040b2db 6   7    .text   ascii   u!j@j+
520  0x0000b5e0 0x0040b3e0 5   6    .text   ascii   jZjAf
521  0x0000b7a4 0x0040b5a4 5   6    .text   ascii   Rj\bPV
522  0x0000b886 0x0040b686 4   9    .text   utf16le jjjj
523  0x0000b89c 0x0040b69c 5   6    .text   ascii   U\fQRP
524  0x0000b8dd 0x0040b6dd 4   5    .text   ascii   ("%U
525  0x0000b921 0x0040b721 4   5    .text   ascii   Dj\fj
526  0x0000b982 0x0040b782 4   5    .text   ascii   U\bQR
527  0x0000b9a9 0x0040b7a9 4   5    .text   ascii   SVW3
528  0x0000b9f5 0x0040b7f5 4   6    .text   utf8    Q3\tE
529  0x0000baba 0x0040b8ba 4   5    .text   ascii   \b_^3
530  0x0000bb1b 0x0040b91b 5   6    .text   ascii   \fhYd8
531  0x0000bb58 0x0040b958 4   5    .text   ascii   oym\f
532  0x0000bb5d 0x0040b95d 4   5    .text   ascii   zo9U
533  0x0000bc19 0x0040ba19 4   5    .text   ascii   \rQ\+
534  0x0000bcd6 0x0040bad6 4   5    .text   ascii   j\vj\n
535  0x0000bd21 0x0040bb21 4   5    .text   ascii   U\bRV
536  0x0000bd36 0x0040bb36 4   5    .text   ascii   E\bPV
537  0x0000bd70 0x0040bb70 4   5    .text   ascii   M\bQV
538  0x0000bd7a 0x0040bb7a 4   5    .text   ascii   U\bRV
539  0x0000bdb4 0x0040bbb4 4   5    .text   ascii   E\bPV
540  0x0000bdbe 0x0040bbbe 4   5    .text   ascii   M\fQj
541  0x0000bdc4 0x0040bbc4 4   5    .text   ascii   U\bRV
542  0x0000bdce 0x0040bbce 4   5    .text   ascii   E\bPV
543  0x0000be10 0x0040bc10 4   5    .text   ascii   M\bQV
544  0x0000be1a 0x0040bc1a 4   5    .text   ascii   U\fRj
545  0x0000be20 0x0040bc20 4   5    .text   ascii   E\bPV
546  0x0000be5b 0x0040bc5b 4   5    .text   ascii   M\bQV
547  0x0000be6c 0x0040bc6c 5   6    .text   ascii   \o2+U
548  0x0000bf90 0x0040bd90 4   5    .text   ascii   j\nWV
549  0x0000bfa3 0x0040bda3 4   5    .text   ascii   E\bPV
550  0x0000c03b 0x0040be3b 4   5    .text   ascii   j\vWV
551  0x0000c051 0x0040be51 4   5    .text   ascii   U\bRV
552  0x0000c066 0x0040be66 4   5    .text   ascii   E\bPV
553  0x0000c0a0 0x0040bea0 4   5    .text   ascii   M\bQV
554  0x0000c0aa 0x0040beaa 4   5    .text   ascii   U\bRV
555  0x0000c0e4 0x0040bee4 4   5    .text   ascii   E\bPV
556  0x0000c0fa 0x0040befa 4   5    .text   ascii   U\bRV
557  0x0000c177 0x0040bf77 4   5    .text   ascii   t\WV
558  0x0000c185 0x0040bf85 4   5    .text   ascii   j WV
559  0x0000c193 0x0040bf93 4   5    .text   ascii   j\aWV
560  0x0000c1a1 0x0040bfa1 4   5    .text   ascii   u\nWV
561  0x0000c1af 0x0040bfaf 4   5    .text   ascii   j\bWV
562  0x0000c307 0x0040c107 4   5    .text   ascii   Wj?V
563  0x0000c543 0x0040c343 4   5    .text   ascii   LjBV
564  0x0000c5c2 0x0040c3c2 4   5    .text   ascii   t\aHf
565  0x0000c6db 0x0040c4db 4   5    .text   ascii   7/[N
566  0x0000c6e5 0x0040c4e5 5   6    .text   ascii   \fSVWD
567  0x0000c7ad 0x0040c5ad 4   5    .text   ascii   Ui:L
568  0x0000c7b9 0x0040c5b9 4   5    .text   ascii   Y~SF
569  0x0000c7c2 0x0040c5c2 6   9    .text   utf8    \eF~oՁڠ blocks=Basic Latin,Armenian,Arabic
570  0x0000c7db 0x0040c5db 5   7    .text   utf8    7OZ+j
571  0x0000c804 0x0040c604 5   8    .text   utf8    X6І:J blocks=Basic Latin,Cyrillic
572  0x0000c857 0x0040c657 5   6    .text   ascii   @\bVW3
573  0x0000c8bc 0x0040c6bc 4   6    .text   utf8    _^]Ã blocks=Basic Latin,Latin-1 Supplement
574  0x0000c8e0 0x0040c6e0 4   5    .text   ascii   u\bj\f
575  0x0000c909 0x0040c709 4   5    .text   ascii   u\bj\f
576  0x0000c935 0x0040c735 4   5    .text   ascii   u\bj\f
577  0x0000c9d7 0x0040c7d7 4   6    .text   utf8    ZvLƆ blocks=Basic Latin,Latin Extended-B
578  0x0000ca26 0x0040c826 4   5    .text   ascii   _^[]
579  0x0000ca40 0x0040c840 5   6    .text   ascii   u\fWt\t
580  0x0000cb83 0x0040c983 4   5    .text   ascii   ,_^[
581  0x0000cb95 0x0040c995 4   5    .text   ascii   \b_^[
582  0x0000cbbc 0x0040c9bc 5   7    .text   utf8    \b^]ËU blocks=Basic Latin,Latin-1 Supplement
583  0x0000cbde 0x0040c9de 4   5    .text   ascii   PRVQ
584  0x0000cc02 0x0040ca02 5   8    .text   utf8    PRVQ腢 blocks=Basic Latin,CJK Unified Ideographs
585  0x0000cc98 0x0040ca98 4   5    .text   ascii   u\bWV
586  0x0000cdca 0x0040cbca 7   9    .text   utf8    \frjjDVǆ blocks=Basic Latin,Latin Extended-B
587  0x0000ce0a 0x0040cc0a 4   5    .text   ascii   hO\bu
588  0x0000ce95 0x0040cc95 4   6    .text   utf8    Rǆ,\n blocks=Basic Latin,Latin Extended-B
589  0x0000ceb6 0x0040ccb6 4   5    .text   ascii   M\bQV
590  0x0000cfb2 0x0040cdb2 4   5    .text   ascii   M\bQV
591  0x0000d052 0x0040ce52 5   7    .text   utf8    RWǆD  blocks=Basic Latin,Latin Extended-B
592  0x0000d086 0x0040ce86 4   5    .text   ascii   h:QW
593  0x0000d0a4 0x0040cea4 6   7    .text   ascii   t?Vhts
594  0x0000d0ac 0x0040ceac 4   6    .text   utf8    Wǀ8  blocks=Basic Latin,Latin Extended-B
595  0x0000d0e3 0x0040cee3 4   5    .text   ascii    ^_]
596  0x0000d0f5 0x0040cef5 4   6    .text   utf8    u\bVǆ blocks=Basic Latin,Latin Extended-B
597  0x0000d153 0x0040cf53 6   8    .text   utf8    W3ɉE\b3 blocks=Basic Latin,Latin Extended-B
598  0x0000d226 0x0040d026 5   7    .text   utf8    t\nǃ4  blocks=Basic Latin,Latin Extended-B
599  0x0000d232 0x0040d032 4   5    .text   ascii   _^[]
600  0x0000d244 0x0040d044 5   6    .text   ascii   M\fSVW
601  0x0000d3d1 0x0040d1d1 5   6    .text   ascii   Qj(RV
602  0x0000d44f 0x0040d24f 5   6    .text   ascii   Pj\bQV
603  0x0000d4a2 0x0040d2a2 5   6    .text   ascii   _^H#E
604  0x0000d4bb 0x0040d2bb 4   5    .text   ascii   ]\fW3
605  0x0000d575 0x0040d375 4   5    .text   ascii   M\fQV
606  0x0000d5fb 0x0040d3fb 4   5    .text   ascii   t\nPV
607  0x0000d619 0x0040d419 5   8    .text   utf8    u\nPV辵 blocks=Basic Latin,CJK Unified Ideographs
608  0x0000d693 0x0040d493 5   6    .text   ascii   y\t_^3
609  0x0000d6a2 0x0040d4a2 4   5    .text   ascii   E\fVj
610  0x0000d6b6 0x0040d4b6 4   7    .text   utf8    PQS袰 blocks=Basic Latin,CJK Unified Ideographs
611  0x0000d717 0x0040d517 4   9    .text   utf16le jjjj
612  0x0000d736 0x0040d536 5   6    .text   ascii   u\a_^3
613  0x0000d765 0x0040d565 4   5    .text   ascii   \bPQW
614  0x0000d78b 0x0040d58b 4   5    .text   ascii   ]\bVW
615  0x0000d7cc 0x0040d5cc 4   5    .text   ascii   \aVPS
616  0x0000d7e7 0x0040d5e7 4   5    .text   ascii   \b_^3
617  0x0000d7fb 0x0040d5fb 5   7    .text   utf8    ]è;3U blocks=Basic Latin,Latin-1 Supplement
618  0x0000d807 0x0040d607 5   7    .text   utf8    E\f3ɉM blocks=Basic Latin,Latin Extended-B
619  0x0000d836 0x0040d636 4   7    .text   utf8    M\bQ袭 blocks=Basic Latin,CJK Unified Ideographs
620  0x0000d86c 0x0040d66c 4   5    .text   ascii   h&M4
621  0x0000d8c6 0x0040d6c6 6   9    .text   utf8    }\bjqW萵 blocks=Basic Latin,CJK Unified Ideographs
622  0x0000d97c 0x0040d77c 6   7    .text   ascii   )v\fj)j
623  0x0000d9c6 0x0040d7c6 4   5    .text   ascii   um9]
624  0x0000d9cb 0x0040d7cb 4   5    .text   ascii   ttSj
625  0x0000da5f 0x0040d85f 4   5    .text   ascii   xlCo
626  0x0000da66 0x0040d866 5   6    .text   ascii   okief
627  0x0000db7e 0x0040d97e 4   6    .text   utf8    Qǆt  blocks=Basic Latin,Latin Extended-B
628  0x0000dd59 0x0040db59 4   5    .text   ascii   VWh\b
629  0x0000ddb7 0x0040dbb7 4   5    .text   ascii   u\b_3
630  0x0000de27 0x0040dc27 4   5    .text   ascii   G QP
631  0x0000dee6 0x0040dce6 6   7    .text   ascii   h+Q0$j
632  0x0000e19b 0x0040df9b 4   6    .text   utf8    ]Ëu\f blocks=Basic Latin,Latin-1 Supplement
633  0x0000e21e 0x0040e01e 4   5    .text   ascii   F RP
634  0x0000e250 0x0040e050 4   5    .text   ascii   }\fSj
635  0x0000e281 0x0040e081 13  16   .text   utf8    QSSj\fSSSSWSV螫 blocks=Basic Latin,CJK Unified Ideographs
636  0x0000e33b 0x0040e13b 5   6    .text   ascii   uw9~$
637  0x0000e3ac 0x0040e1ac 4   5    .text   ascii   \b_^[
638  0x0000e45a 0x0040e25a 4   5    .text   ascii   QRPV
639  0x0000e503 0x0040e303 4   7    .text   utf8    QRV襢 blocks=Basic Latin,CJK Unified Ideographs
640  0x0000e511 0x0040e311 4   5    .text   ascii   j@Sj
641  0x0000e529 0x0040e329 4   5    .text   ascii   QRPV
642  0x0000e542 0x0040e342 5   6    .text   ascii   U\b_^[
643  0x0000e58c 0x0040e38c 4   5    .text   ascii   \b_^[
644  0x0000e5ae 0x0040e3ae 4   5    .text   ascii   \b_^[
645  0x0000e63d 0x0040e43d 5   6    .text   ascii   FHSPR
646  0x0000e694 0x0040e494 4   5    .text   ascii   FHPW
647  0x0000e6c4 0x0040e4c4 4   7    .text   utf8    _ S褸 blocks=Basic Latin,CJK Unified Ideographs
648  0x0000e72f 0x0040e52f 4   6    .text   utf8    t҃~  blocks=Basic Latin,Cyrillic
649  0x0000e735 0x0040e535 4   6    .text   utf8    t̃~$ blocks=Basic Latin,Combining Diacritical Marks
650  0x0000e73b 0x0040e53b 4   6    .text   utf8    tƃ~( blocks=Basic Latin,Latin Extended-B
651  0x0000e792 0x0040e592 4   5    .text   ascii   M\fPj
652  0x0000e7ac 0x0040e5ac 4   5    .text   ascii   FD^[
653  0x0000e7c5 0x0040e5c5 4   5    .text   ascii   <SVW
