[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000095 0x00000095 7   8            ascii   z0:8Y):
2    0x0000009d 0x0000009d 7   8            ascii   z0:8Yp:
3    0x000000cd 0x000000cd 5   6            ascii   z0:Q4
4    0x0000010d 0x0000010d 7   8            ascii   z0:Rich
5    0x00000218 0x00000218 5   6            ascii   .text
6    0x0000023f 0x0000023f 7   8            ascii   `.rdata
7    0x00000267 0x00000267 6   7            ascii   @.data
8    0x00000290 0x00000290 5   6            ascii   .rsrc
9    0x000002b7 0x000002b7 7   8            ascii   @.reloc
375  0x0000d663 0x1000e263 4   5    .text   ascii   QSVW
376  0x0000d699 0x1000e299 12  13   .text   ascii   HHt>Ht1Ht%Ht
377  0x0000d72b 0x1000e32b 6   7    .text   ascii   SVWj\ah
378  0x0000d81a 0x1000e41a 5   6    .text   ascii   C@j,P
379  0x0000d8a1 0x1000e4a1 5   6    .text   ascii   t<j:W
380  0x0000d8b3 0x1000e4b3 5   6    .text   ascii   w\tj:W
381  0x0000d944 0x1000e544 4   5    .text   ascii   D$$;
382  0x0000d95c 0x1000e55c 8   9    .text   ascii   D$\PSSh\e
383  0x0000d98a 0x1000e58a 4   6    .text   utf8    3ۿ(\f blocks=Basic Latin,Arabic
384  0x0000d9b6 0x1000e5b6 5   6    .text   ascii   D$dSP
385  0x0000d9da 0x1000e5da 5   6    .text   ascii   t(j:V
386  0x0000d9e5 0x1000e5e5 5   6    .text   ascii   D$lVP
387  0x0000da76 0x1000e676 4   5    .text   ascii   L$lQ
388  0x0000db0e 0x1000e70e 4   5    .text   ascii   D$XP
389  0x0000db1b 0x1000e71b 4   5    .text   ascii   D$`?
390  0x0000db46 0x1000e746 5   7    .text   utf8    j@PƄ$ blocks=Basic Latin,Latin Extended-B
391  0x0000db7f 0x1000e77f 4   6    .text   utf8    QƄ$; blocks=Basic Latin,Latin Extended-B
392  0x0000dbba 0x1000e7ba 4   5    .text   ascii   L$(Q
393  0x0000dbe8 0x1000e7e8 4   5    .text   ascii   D$8P
394  0x0000dc02 0x1000e802 5   6    .text   ascii   9t$0u
395  0x0000dc27 0x1000e827 5   6    .text   ascii   D$<VP
396  0x0000dc53 0x1000e853 5   6    .text   ascii   t$8j$
397  0x0000dc98 0x1000e898 4   5    .text   ascii   t5j\b
398  0x0000dcb1 0x1000e8b1 4   6    .text   utf8    3\tF\b
399  0x0000dd38 0x1000e938 4   5    .text   ascii   L$(Q
400  0x0000dd49 0x1000e949 5   7    .text   utf8    ~93\vL
401  0x0000dd58 0x1000e958 7   8    .text   ascii   ;L$ t\b@
402  0x0000de29 0x1000ea29 5   6    .text   ascii   ;t$,}
403  0x0000dea3 0x1000eaa3 5   6    .text   ascii   D$\bPh
404  0x0000dee0 0x1000eae0 5   7    .text   utf8    Y3\rL$
405  0x0000dee7 0x1000eae7 4   5    .text   ascii   QPPh
406  0x0000dfe4 0x1000ebe4 5   6    .text   ascii   tDhl\r
407  0x0000e005 0x1000ec05 5   6    .text   ascii   u#hX8
408  0x0000e077 0x1000ec77 4   5    .text   ascii   PPhF
409  0x0000e0ff 0x1000ecff 4   5    .text   ascii   PhT6
410  0x0000e1e5 0x1000ede5 5   6    .text   ascii   Pj\aSh
411  0x0000e261 0x1000ee61 4   5    .text   ascii   u\bSj
412  0x0000e28e 0x1000ee8e 4   5    .text   ascii   Sh`2
413  0x0000e2be 0x1000eebe 6   7    .text   ascii   Y@Pht2
414  0x0000e310 0x1000ef10 4   5    .text   ascii   PhH7
415  0x0000e358 0x1000ef58 6   7    .text   ascii   PSShT7
416  0x0000e36b 0x1000ef6b 7   8    .text   ascii   uMSSSSh
417  0x0000e3d2 0x1000efd2 4   5    .text   ascii   ShT7
418  0x0000e4d9 0x1000f0d9 4   5    .text   ascii   jD_W
419  0x0000e507 0x1000f107 7   8    .text   ascii   PSSSSSS
420  0x0000e698 0x1000f298 5   6    .text   ascii   VWh(8
421  0x0000e70b 0x1000f30b 5   6    .text   ascii   RPhD8
422  0x0000e734 0x1000f334 4   5    .text   ascii   RhP8
423  0x0000e73d 0x1000f33d 5   6    .text   ascii   Yj@Y+
424  0x0000e922 0x1000f522 4   5    .text   ascii   F8C\a
425  0x0000e92e 0x1000f52e 4   5    .text   ascii   F8C\b
426  0x0000e941 0x1000f541 6   7    .text   ascii   u\aCF;u
427  0x0000eab2 0x1000f6b2 5   6    .text   ascii   ;u\bu\r
428  0x0000eb1d 0x1000f71d 4   5    .text   ascii   F@Iu
429  0x0000eb30 0x1000f730 5   6    .text   ascii   +u\b_F
430  0x0000eb53 0x1000f753 4   5    .text   ascii   E\bWj
431  0x0000eb73 0x1000f773 4   5    .text   ascii   @AOu
432  0x0000eba9 0x1000f7a9 4   5    .text   ascii   Nt*;
433  0x0000ebc6 0x1000f7c6 4   5    .text   ascii   @ANu
434  0x0000ebd1 0x1000f7d1 4   5    .text   ascii   @ANu
435  0x0000ec6c 0x1000f86c 4   5    .text   ascii   @GNu
436  0x0000ed1e 0x1000f91e 4   5    .text   ascii   @GNu
437  0x0000ed74 0x1000f974 6   7    .text   ascii   t7HuIV
438  0x0000edce 0x1000f9ce 4   5    .text   ascii   95D`
439  0x0000ef4e 0x1000fb4e 4   5    .text   ascii   E\fYY
440  0x0000efa0 0x1000fba0 5   6    .text   ascii   w*r\b;
441  0x0000efd2 0x1000fbd2 5   6    .text   ascii   w$r\b;
442  0x0000f27f 0x1000fe7f 5   6    .text   ascii   tEhL4
443  0x0000f540 0x10010140 4   5    .text   ascii   PPPW
444  0x0000f5fc 0x100101fc 4   5    .text   ascii   PPPV
445  0x0000f627 0x10010227 4   5    .text   ascii   SVWh
446  0x0000f6cd 0x100102cd 6   7    .text   ascii   YYjCXf
447  0x0000f7f7 0x100103f7 4   5    .text   ascii   U\fRh
448  0x0000f80f 0x1001040f 4   5    .text   ascii   \bVRP
449  0x0000f845 0x10010445 4   5    .text   ascii   U\bQR
450  0x0000f951 0x10010551 4   5    .text   ascii   ;\r `
451  0x0000fa7f 0x1001067f 6   7    .text   ascii   URPQQh
452  0x0000fa95 0x10010695 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
453  0x0000faaa 0x100106aa 4   5    .text   ascii   L$,3
454  0x0000fafc 0x100106fc 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
455  0x0000fb62 0x10010762 4   5    .text   ascii   UVWS
456  0x0000fb74 0x10010774 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
457  0x0000fb95 0x10010795 4   5    .text   ascii   SVWj
458  0x0000fba6 0x100107a6 4   5    .text   ascii   _^[]
459  0x0000fbad 0x100107ad 5   6    .text   ascii   l$\bRQ
460  0x0000fbd3 0x100107d3 5   6    .text   ascii   SVWUj
461  0x0000fbe8 0x100107e8 4   5    .text   ascii   ]_^[
462  0x0000fbee 0x100107ee 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
463  0x0000fc74 0x10010874 6   7    .text   ascii   ;t$,v-
464  0x0000fccf 0x100108cf 6   7    .text   ascii   R\f9Q\bu
465  0x0000fcf7 0x100108f7 10  11   .text   ascii   k\fUQPXY]Y[
466  0x0000fd25 0x10010925 6   7    .text   ascii   t$Whz\n
467  0x0000fd31 0x10010931 4   5    .text   ascii   7j\fV
468  0x0000fd92 0x10010992 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
469  0x0000fda8 0x100109a8 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
470  0x0000fdd2 0x100109d2 5   6    .text   ascii   M\b+M\f
471  0x0000fdfd 0x100109fd 4   5    .text   ascii   8csm
472  0x0000fe3d 0x10010a3d 5   6    .text   ascii   x\v)u\b
473  0x0000ff07 0x10010b07 4   5    .text   ascii   Y_^[
474  0x0000ff37 0x10010b37 4   5    .text   ascii   D$\fd
475  0x0000ff46 0x10010b46 4   5    .text   ascii   l$\fP
476  0x00010490 0x10011490 4   5    .rdata  ascii   @J7<
477  0x000104ac 0x100114ac 9   12   .rdata  utf8    Oծ8`=\vߏT\e blocks=Basic Latin,Armenian,NKo
478  0x000104ec 0x100114ec 7   16   .rdata  utf16le cmd.exe
479  0x000104fc 0x100114fc 12  13   .rdata  ascii   Wtsapi32.dll
480  0x0001050c 0x1001150c 17  18   .rdata  ascii   WTSQueryUserToken
481  0x0001052c 0x1001152c 30  62   .rdata  utf16le << Extend command exited >>>\n\n
482  0x0001056c 0x1001156c 12  26   .rdata  utf16le Bad command\n
483  0x00010588 0x10011588 4   10   .rdata  utf16le help
484  0x000105c4 0x100115c4 4   10   .rdata  utf16le copy
485  0x000105e0 0x100115e0 4   10   .rdata  utf16le type
486  0x000105ec 0x100115ec 5   12   .rdata  utf16le start
487  0x00010600 0x10011600 4   10   .rdata  utf16le boot
488  0x0001060c 0x1001160c 8   18   .rdata  utf16le shutdown
489  0x00010620 0x10011620 8   18   .rdata  utf16le clearlog
490  0x00010634 0x10011634 4   10   .rdata  utf16le wget
491  0x00010640 0x10011640 5   12   .rdata  utf16le runas
492  0x0001064c 0x1001164c 5   12   .rdata  utf16le %c:%s
493  0x00010658 0x10011658 62  126  .rdata  utf16le -------------------------------------------------------------\n
494  0x000106d8 0x100116d8 6   14   .rdata  utf16le %c:%s\n
495  0x000106e8 0x100116e8 256 514  .rdata  utf16le Internal Cmd v1.2,  help\n\ncd\ndir\nmd\nrd\ndel\ncopy\nren\ntype\nrunas     <pid> <cmd>  -  Run program as user of pid\nstart                  -  Run program in background\nreboot    [-f]\nshutdown  [-f]\nclearlog  [system] [application] [security]\nwget      <httpurl>\n
496  0x000108f4 0x100118f4 12  26   .rdata  utf16le %s\n--------\n
497  0x00010910 0x10011910 4   10   .rdata  utf16le \*.*
498  0x00010924 0x10011924 4   20   .rdata  utf32le ARSH
499  0x00010940 0x10011940 46  94   .rdata  utf16le %-26s %s  %12s  %04u-%02u-%02u %02u:%02u:%02u\n
500  0x000109a0 0x100119a0 11  24   .rdata  utf16le %s    - %s\n
501  0x000109c0 0x100119c0 19  20   .rdata  ascii   SeShutdownPrivilege
502  0x000109dc 0x100119dc 8   18   .rdata  utf16le security
503  0x000109f8 0x100119f8 6   14   .rdata  utf16le system
504  0x00010a08 0x10011a08 6   7    .rdata  ascii   System
505  0x00010a10 0x10011a10 8   9    .rdata  ascii   Security
506  0x00010a1c 0x10011a1c 11  12   .rdata  ascii   Application
507  0x00010a28 0x10011a28 7   16   .rdata  utf16le %c:%s%s
508  0x00010a38 0x10011a38 10  22   .rdata  utf16le urlmon.dll
509  0x00010a50 0x10011a50 18  19   .rdata  ascii   URLDownloadToFileW
510  0x00010a64 0x10011a64 9   20   .rdata  utf16le %s -> %s\n
511  0x00010a80 0x10011a80 7   16   .rdata  utf16le failed\n
512  0x00010adc 0x10011adc 4   5    .rdata  ascii   %c:\
513  0x00010af8 0x10011af8 5   6    .rdata  ascii   SHARE
514  0x00010b08 0x10011b08 4   10   .rdata  utf16le %c:\
515  0x00010b20 0x10011b20 11  24   .rdata  utf16le c:\windows\
516  0x00010b38 0x10011b38 19  20   .rdata  ascii   Except in DbgPrint\n
517  0x00010b4c 0x10011b4c 26  27   .rdata  ascii   abcdefghijklmnopqrstuvwxyz
518  0x00010b68 0x10011b68 6   7    .rdata  ascii   system
519  0x00010b70 0x10011b70 64  65   .rdata  ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
520  0x00010bdf 0x10011bdf 11  12   .rdata  ascii   ?456789:;<=
521  0x00010bf8 0x10011bf8 7   8    .rdata  ascii   \a\b\t\n\v\f\r
522  0x00010c17 0x10011c17 20  21   .rdata  ascii    !"#$%&'()*+,-./0123
523  0x00010c30 0x10011c30 6   14   .rdata  utf16le pstore
524  0x00010c40 0x10011c40 4   10   .rdata  utf16le hash
525  0x00010c4c 0x10011c4c 4   10   .rdata  utf16le info
526  0x00010c58 0x10011c58 12  26   .rdata  utf16le explorer.exe
527  0x00010c74 0x10011c74 15  32   .rdata  utf16le \n\nIE Ver %2.1f\n
528  0x00010c98 0x10011c98 65  132  .rdata  utf16le \n\nIE account %d found\n------------------------------------------\n
529  0x00010d1c 0x10011d1c 16  34   .rdata  utf16le %s: %s, %s / %s\n
530  0x00010d40 0x10011d40 6   14   .rdata  utf16le \nEnd\n\n
531  0x00010d50 0x10011d50 70  142  .rdata  utf16le \n\nFirefox account %d found\n------------------------------------------\n
532  0x00010de0 0x10011de0 7   16   .rdata  utf16le Firefox
533  0x00010df0 0x10011df0 65  132  .rdata  utf16le \nRAS account %d found\n------------------------------------------\n
534  0x00010e80 0x10011e80 48  98   .rdata  utf16le \n\n%S\n------------------------------------------\n
535  0x00010ee4 0x10011ee4 4   5    .rdata  ascii   %02X
536  0x00010eec 0x10011eec 5   6    .rdata  ascii   %02X:
537  0x00010ef4 0x10011ef4 4   5    .rdata  ascii   , %s
538  0x00010f00 0x10011f00 23  48   .rdata  utf16le %S, %s\n     %S\n     %S\n
539  0x00010f30 0x10011f30 36  74   .rdata  utf16le SOFTWARE\Microsoft\Internet Explorer
540  0x00010f7c 0x10011f7c 7   16   .rdata  utf16le Version
541  0x00010f8c 0x10011f8c 9   20   .rdata  utf16le \nIE : %s\n
542  0x00010fa0 0x10011fa0 60  122  .rdata  utf16le \Software\Microsoft\Windows\CurrentVersion\Internet Settings
543  0x0001101c 0x1001201c 11  24   .rdata  utf16le ProxyServer
544  0x00011034 0x10012034 15  32   .rdata  utf16le      Proxy: %s\n
545  0x0001105c 0x1001205c 12  26   .rdata  utf16le Navapsvc.exe
546  0x00011078 0x10012078 12  26   .rdata  utf16le ccSvcHst.exe
547  0x0001109c 0x1001209c 10  22   .rdata  utf16le KAVsvc.exe
548  0x000110bc 0x100120bc 11  24   .rdata  utf16le RAVmonD.exe
549  0x000110dc 0x100120dc 17  36   .rdata  utf16le zhudongfangyu.exe
550  0x00011108 0x10012108 7   16   .rdata  utf16le avp.exe
551  0x00011118 0x10012118 5   12   .rdata  utf16le Trend
552  0x00011124 0x10012124 9   20   .rdata  utf16le TmPfw.exe
553  0x00011138 0x10012138 5   12   .rdata  utf16le NOD32
554  0x00011144 0x10012144 8   18   .rdata  utf16le ekrn.exe
555  0x00011160 0x10012160 11  24   .rdata  utf16le avguard.exe
556  0x00011178 0x10012178 4   10   .rdata  utf16le , %s
557  0x00011184 0x10012184 8   18   .rdata  utf16le \nAV: %s\n
558  0x000111ec 0x100121ec 61  62   .rdata  ascii   NTLMSSP%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%s%s
559  0x0001122c 0x1001222c 7   8    .rdata  ascii   NTLMSSP
560  0x00011238 0x10012238 105 106  .rdata  ascii   NTLMSSP%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c%c
561  0x000112a3 0x100122a3 12  13   .rdata  ascii   %c%c%c%c%c%c
562  0x000112b0 0x100122b0 131 132  .rdata  ascii   CONNECT %s:%d HTTP/1.1\r\nHOST: %s:%d\r\nContent-Length: 0\r\nUser-Agent: Mozilla/4.0\r\nProxy-Connection: Keep-Alive\r\nPragma: no-cache\r\n\r\n
563  0x00011334 0x10012334 9   10   .rdata  ascii   HTTP/1.1 
564  0x00011340 0x10012340 9   10   .rdata  ascii   HTTP/1.0 
565  0x0001134c 0x1001234c 20  21   .rdata  ascii   Proxy-Authenticate: 
566  0x00011364 0x10012364 5   6    .rdata  ascii   Basic
567  0x0001136c 0x1001236c 9   10   .rdata  ascii   Negotiate
568  0x00011378 0x10012378 5   6    .rdata  ascii   %s:%s
569  0x00011380 0x10012380 162 163  .rdata  ascii   CONNECT %s:%d HTTP/1.1\r\nHOST: %s:%d\r\nContent-Length: 0\r\nUser-Agent: Mozilla/4.0\r\nProxy-Connection: Keep-Alive\r\nPragma: no-cache\r\nProxy-Authorization: Basic %s\r\n\r\n
570  0x00011428 0x10012428 166 167  .rdata  ascii   CONNECT %s:%d HTTP/1.1\r\nHOST: %s:%d\r\nContent-Length: 0\r\nUser-Agent: Mozilla/4.0\r\nProxy-Connection: Keep-Alive\r\nPragma: no-cache\r\nProxy-Authorization: Negotiate %s\r\n\r\n
571  0x000114d0 0x100124d0 30  31   .rdata  ascii   Proxy-Authenticate: Negotiate 
572  0x000114f4 0x100124f4 29  30   .rdata  ascii   Proxy-Authenticate: Negotiate
573  0x00011518 0x10012518 145 146  .rdata  ascii   POST /photos/photo.asp HTTP/1.1\r\nHOST: %s:%d\r\nUser-Agent: Mozilla/4.0\r\nProxy-Connection: Keep-Alive\r\nConnection: Keep-Alive\r\nPragma: no-cache\r\n\r\n
574  0x000115ac 0x100125ac 12  13   .rdata  ascii   HTTP/1.0 200
575  0x000115bc 0x100125bc 12  13   .rdata  ascii   HTTP/1.1 200
576  0x000115cc 0x100125cc 17  18   .rdata  ascii   Connection: Close
577  0x000115e0 0x100125e0 121 122  .rdata  ascii   POST /photos/photo.asp HTTP/1.1\r\nHOST: %s:%d\r\nUser-Agent: Mozilla/4.0\r\nProxy-Connection: Keep-Alive\r\nPragma: no-cache\r\n\r\n
578  0x0001165c 0x1001265c 33  34   .rdata  ascii   POST /photos/photo.asp HTTP/1.1\r\n
579  0x00011680 0x10012680 5   6    .rdata  ascii   Via: 
580  0x00011688 0x10012688 125 126  .rdata  ascii   HTTP/1.0 200\r\nServer: Apache/2.2.3 (Red Hat)\r\nAccept-Ranges: bytes\r\nContent-Type: text/html\r\nProxy-Connection: keep-alive\r\n\r\n
581  0x00011708 0x10012708 80  81   .rdata  ascii   HTTP/1.0 400  Bad Request\r\nServer: Apache/2.2.3 (Red Hat)\r\nConnection: close\r\n\r\n
582  0x0001175c 0x1001275c 40  41   .rdata  ascii   GET /Query.asp?loginid=112037 HTTP/1.1\r\n
583  0x00011788 0x10012788 183 184  .rdata  ascii   HTTP/1.1 200 OK\r\nServer: Apache 1.3.19\r\nCache-Control: no-cache\r\nPragma: no-cache\r\nExpires: 0\r\nConnection: Keep-Alive\r\nContent-Type: application/x-octet-stream\r\nContent-Length: %d\r\n\r\n
584  0x00011840 0x10012840 180 181  .rdata  ascii   HTTP/1.1 200 OK\r\nServer: Apache 1.3.19\r\nCache-Control: no-cache\r\nPragma: no-cache\r\nExpires: 0\r\nConnection: Keep-Alive\r\nContent-Type: application/octet-stream\r\nContent-Length: 0\r\n\r\n
585  0x000118f8 0x100128f8 35  36   .rdata  ascii   POST /Catelog/login1.asp HTTP/1.1\r\n
586  0x0001191c 0x1001291c 16  17   .rdata  ascii   Content-Length: 
587  0x00011930 0x10012930 15  16   .rdata  ascii   HTTP/1.1 200 OK
588  0x00011940 0x10012940 15  16   .rdata  ascii   HTTP/1.0 200 OK
589  0x00011950 0x10012950 243 244  .rdata  ascii   POST /Catelog/login1.asp HTTP/1.1\r\nHost: %s:%d\r\nUser-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)\r\nCache-Control: no-cache\r\nPragma: no-cache\r\nConnection: Keep-Alive\r\nContent-Type: application/x-octet-stream\r\nContent-Length: %d\r\n\r\n
590  0x00011a48 0x10012a48 186 187  .rdata  ascii   GET /Query.asp?loginid=112037 HTTP/1.1\r\nUser-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)\r\nHost: %s:%d\r\nCache-Control: no-cache\r\nPragma: no-cache\r\nConnection: Keep-Alive\r\n\r\n
591  0x00011b70 0x10012b70 9   20   .rdata  utf16le \tmp1.dat
592  0x00011b84 0x10012b84 17  18   .rdata  ascii   DllRegisterServer
593  0x00011b98 0x10012b98 17  36   .rdata  utf16le HKEY_CLASSES_ROOT
594  0x00011bbc 0x10012bbc 17  36   .rdata  utf16le HKEY_CURRENT_USER
595  0x00011be0 0x10012be0 18  38   .rdata  utf16le HKEY_LOCAL_MACHINE
596  0x00011c08 0x10012c08 10  22   .rdata  utf16le HKEY_USERS
597  0x00011c20 0x10012c20 19  40   .rdata  utf16le HKEY_CURRENT_CONFIG
598  0x00011c48 0x10012c48 7   8    .rdata  ascii   WinSta0
599  0x00011c50 0x10012c50 11  12   .rdata  ascii   pstorec.dll
600  0x00011c5c 0x10012c5c 20  21   .rdata  ascii   PStoreCreateInstance
601  0x00011c74 0x10012c74 7   16   .rdata  utf16le Outlook
602  0x00011c84 0x10012c84 52  53   .rdata  ascii   Software\Microsoft\Internet Account Manager\Accounts
603  0x00011cbc 0x10012cbc 18  38   .rdata  utf16le HTTPMail Password2
604  0x00011ce4 0x10012ce4 18  38   .rdata  utf16le HTTPMail User Name
605  0x00011d0c 0x10012d0c 14  30   .rdata  utf16le POP3 Password2
606  0x00011d2c 0x10012d2c 14  30   .rdata  utf16le POP3 User Name
607  0x00011d5c 0x10012d5c 36  37   .rdata  ascii   abe2869f-9b47-4cd9-a358-c22904dba7f7
608  0x00011d84 0x10012d84 18  38   .rdata  utf16le Microsoft_WinInet_
609  0x00011dac 0x10012dac 7   16   .rdata  utf16le WebAuth
610  0x00011dbc 0x10012dbc 7   8    .rdata  ascii   %s%2.2X
611  0x00011dc4 0x10012dc4 58  59   .rdata  ascii   Software\Microsoft\Internet Explorer\IntelliForms\Storage2
612  0x00011e00 0x10012e00 7   16   .rdata  utf16le WebAuto
613  0x00011e10 0x10012e10 9   10   .rdata  ascii   Profile%d
614  0x00011e1c 0x10012e1c 10  11   .rdata  ascii   IsRelative
615  0x00011e28 0x10012e28 4   5    .rdata  ascii   Path
616  0x00011e34 0x10012e34 15  16   .rdata  ascii   \signons.sqlite
617  0x00011e48 0x10012e48 77  78   .rdata  ascii   select hostname,httpRealm,encryptedUsername,encryptedPassword from moz_logins
618  0x00011e98 0x10012e98 9   10   .rdata  ascii   \nss3.dll
619  0x00011ea4 0x10012ea4 9   10   .rdata  ascii   \plc4.dll
620  0x00011eb0 0x10012eb0 15  16   .rdata  ascii   \mozsqlite3.dll
621  0x00011ec0 0x10012ec0 12  13   .rdata  ascii   \sqlite3.dll
622  0x00011ed0 0x10012ed0 8   9    .rdata  ascii   NSS_Init
623  0x00011edc 0x10012edc 12  13   .rdata  ascii   NSS_Shutdown
624  0x00011eec 0x10012eec 23  24   .rdata  ascii   PK11_GetInternalKeySlot
625  0x00011f04 0x10012f04 13  14   .rdata  ascii   PK11_FreeSlot
626  0x00011f14 0x10012f14 17  18   .rdata  ascii   PK11_Authenticate
627  0x00011f28 0x10012f28 15  16   .rdata  ascii   PK11SDR_Decrypt
628  0x00011f38 0x10012f38 22  23   .rdata  ascii   PK11_CheckUserPassword
629  0x00011f50 0x10012f50 17  18   .rdata  ascii   SECITEM_ZfreeItem
630  0x00011f64 0x10012f64 15  16   .rdata  ascii   sqlite3_open_v2
631  0x00011f74 0x10012f74 13  14   .rdata  ascii   sqlite3_close
632  0x00011f84 0x10012f84 12  13   .rdata  ascii   sqlite3_exec
633  0x00011f94 0x10012f94 15  16   .rdata  ascii   PL_Base64Decode
634  0x00011fa4 0x10012fa4 32  33   .rdata  ascii   SOFTWARE\Mozilla\Mozilla Firefox
635  0x00011fc8 0x10012fc8 14  15   .rdata  ascii   CurrentVersion
636  0x00011fd8 0x10012fd8 5   6    .rdata  ascii   \Main
637  0x00011fe0 0x10012fe0 17  18   .rdata  ascii   Install Directory
638  0x00011ff4 0x10012ff4 32  33   .rdata  ascii   Application Data\Mozilla\Firefox
639  0x00012018 0x10013018 13  14   .rdata  ascii   \profiles.ini
640  0x00012028 0x10013028 18  38   .rdata  utf16le RasDialParams!%s#0
641  0x00012050 0x10013050 26  54   .rdata  utf16le L$_RasDefaultCredentials#0
642  0x00012088 0x10013088 13  14   .rdata  ascii   DialParamsUID
643  0x000120a0 0x100130a0 15  16   .rdata  ascii   Ras %S, %S, %S\n
644  0x000120c7 0x100130c7 20  21   .rdata  ascii   kGetNativeSystemInfo
645  0x000120dc 0x100130dc 12  13   .rdata  ascii   kernel32.dll
646  0x000120ec 0x100130ec 4   5    .rdata  ascii   Win7
647  0x000120f4 0x100130f4 5   6    .rdata  ascii   Vista
648  0x000120fc 0x100130fc 7   8    .rdata  ascii   Win2008
649  0x00012104 0x10013104 10  11   .rdata  ascii   Win2003 R2
650  0x00012110 0x10013110 9   10   .rdata  ascii   WinXP X64
651  0x0001211c 0x1001311c 7   8    .rdata  ascii   Win2003
652  0x00012124 0x10013124 5   6    .rdata  ascii   WinXP
653  0x0001212c 0x1001312c 7   8    .rdata  ascii   Win2000
654  0x00012138 0x10013138 11  12   .rdata  ascii   Workstation
655  0x00012144 0x10013144 4   5    .rdata  ascii   Home
656  0x0001214c 0x1001314c 12  13   .rdata  ascii   Professional
657  0x0001215c 0x1001315c 22  23   .rdata  ascii   Datacenter for Itanium
658  0x00012174 0x10013174 22  23   .rdata  ascii   Enterprise for Itanium
659  0x0001218c 0x1001318c 14  15   .rdata  ascii   Datacenter x64
660  0x0001219c 0x1001319c 14  15   .rdata  ascii   Enterprise x64
661  0x000121ac 0x100131ac 12  13   .rdata  ascii   Standard x64
662  0x000121bc 0x100131bc 10  11   .rdata  ascii   Datacenter
663  0x000121c8 0x100131c8 10  11   .rdata  ascii   Enterprise
664  0x000121d8 0x100131d8 8   9    .rdata  ascii   Standard
665  0x000121e4 0x100131e4 8   9    .rdata  ascii   Advanced
666  0x000121f0 0x100131f0 6   7    .rdata  ascii   Server
667  0x000121f8 0x100131f8 9   10   .rdata  ascii   SP%s (%d)
668  0x00012204 0x10013204 5   6    .rdata  ascii   Win95
669  0x0001220c 0x1001320c 10  11   .rdata  ascii   Win95 OSR2
670  0x00012218 0x10013218 5   6    .rdata  ascii   Win98
671  0x00012220 0x10013220 8   9    .rdata  ascii   Win98 SE
672  0x0001222c 0x1001322c 5   6    .rdata  ascii   WinMe
673  0x00012234 0x10013234 6   7    .rdata  ascii   Win32s
674  0x0001223c 0x1001323c 8   9    .rdata  ascii   %s %s %s
675  0x00012248 0x10013248 4   5    .rdata  ascii   Type
676  0x00012250 0x10013250 12  13   .rdata  ascii   ErrorControl
677  0x00012260 0x10013260 5   6    .rdata  ascii   Start
678  0x00012268 0x10013268 11  12   .rdata  ascii   DisplayName
679  0x00012274 0x10013274 11  12   .rdata  ascii   LocalSystem
680  0x00012280 0x10013280 10  11   .rdata  ascii   ObjectName
681  0x0001228c 0x1001328c 9   10   .rdata  ascii   ImagePath
682  0x00012298 0x10013298 5   6    .rdata  ascii   WOW64
683  0x000122a0 0x100132a0 21  22   .rdata  ascii   SeLoadDriverPrivilege
684  0x000122b8 0x100132b8 6   14   .rdata  utf16le %S:%d/
685  0x000122c8 0x100132c8 12  26   .rdata  utf16le vstskmgr.exe
686  0x000122e4 0x100132e4 12  26   .rdata  utf16le mcshield.exe
687  0x00012300 0x10013300 47  48   .rdata  ascii   SYSTEM\CurrentControlSet\Services\%s\Parameters
688  0x00012330 0x10013330 11  12   .rdata  ascii   ServiceMain
689  0x0001233c 0x1001333c 6   7    .rdata  ascii   stisvc
690  0x00012348 0x10013348 34  70   .rdata  utf16le %SystemRoot%\System32\wiaservc.dll
691  0x00012390 0x10013390 8   9    .rdata  ascii   wuauserv
692  0x000123a0 0x100133a0 33  68   .rdata  utf16le %systemroot%\system32\wuaueng.dll
693  0x000123e4 0x100133e4 7   8    .rdata  ascii   helpsvc
694  0x000123f0 0x100133f0 45  92   .rdata  utf16le %WINDIR%\PCHealth\HelpCtr\Binaries\pchsvc.dll
