[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 5   6            ascii   ]Rich
2    0x000001d8 0x000001d8 5   6            ascii   .text
3    0x000001ff 0x000001ff 7   8            ascii   `.rdata
4    0x00000227 0x00000227 6   7            ascii   @.data
5    0x00000250 0x00000250 5   6            ascii   .rsrc
6    0x00000277 0x00000277 7   8            ascii   @.reloc
7    0x0000041a 0x0000041a 6   8            utf8    1qooGί blocks=Basic Latin,Greek and Coptic
8    0x0000044d 0x0000044d 5   6            ascii   \r"qt1
9    0x00000463 0x00000463 6   8            utf8    hӃe\b(x blocks=Basic Latin,Cyrillic
10   0x00000480 0x00000480 5   6            ascii   1C4hV
11   0x00000558 0x00000558 4   5            ascii    ?p&
12   0x0000064f 0x0000064f 6   7            ascii   XRt7\e9
13   0x0000065d 0x0000065d 4   5            ascii   z]G}
14   0x000006a1 0x000006a1 4   6            utf8    fݟP^ blocks=Basic Latin,Arabic Supplement
15   0x000006b5 0x000006b5 6   8            utf8    \fX\t*/\t
16   0x000006fb 0x000006fb 5   8            utf8    zؒ\v[͙ blocks=Basic Latin,Arabic,Combining Diacritical Marks
17   0x000007ba 0x000007ba 4   6            utf8    w|Ο3 blocks=Basic Latin,Greek and Coptic
18   0x000007d5 0x000007d5 4   5            ascii   rDdP
19   0x000007f1 0x000007f1 4   5            ascii   5it5
361  0x00006fb4 0x004077b4 4   6    .text   utf8    ƣ@YA blocks=Latin Extended-B,Basic Latin
362  0x00006fd1 0x004077d1 4   5    .text   ascii   5@YA
363  0x0000700c 0x0040780c 6   8    .text   utf8    ^3ҹ($A blocks=Basic Latin,Cyrillic
364  0x00007052 0x00407852 4   5    .text   ascii   =(:A
365  0x00007060 0x00407860 4   5    .text   ascii   5 IA
366  0x000070cd 0x004078cd 5   7    .text   utf8    Y]ËE\f blocks=Basic Latin,Latin-1 Supplement
367  0x000070f0 0x004078f0 4   5    .text   ascii   =x&A
368  0x00007174 0x00407974 11  12   .text   ascii   <at9<rt,<wt
369  0x00007185 0x00407985 5   6    .text   ascii   SSSSS
370  0x000071f8 0x004079f8 6   7    .text   ascii   \vtVHtG
371  0x00007291 0x00407a91 5   6    .text   ascii   tEHt1
372  0x000072ab 0x00407aab 5   6    .text   ascii   uF\t}\f
373  0x000072ca 0x00407aca 4   5    .text   ascii   u'\t}
374  0x0000733e 0x00407b3e 5   6    .text   ascii   >=upF
375  0x00007367 0x00407b67 4   5    .text   ascii   Aj\bh
376  0x00007387 0x00407b87 4   5    .text   ascii   !j\ah
377  0x000073b7 0x00407bb7 5   6    .text   ascii   SSSSS
378  0x00007415 0x00407c15 4   5    .text   ascii   hH\tA
379  0x00007436 0x00407c36 5   6    .text   ascii   ;5@YA
380  0x00007494 0x00407c94 4   5    .text   ascii   t\fPV
381  0x0000749d 0x00407c9d 4   7    .text   utf8    YYF둋 blocks=Basic Latin,Hangul Syllables
382  0x000074b5 0x00407cb5 4   5    .text   ascii   \r IA
383  0x000074db 0x00407cdb 4   6    .text   utf8    ! IA
384  0x0000755b 0x00407d5b 6   7    .text   ascii   URPQQh
385  0x00007571 0x00407d71 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
386  0x00007586 0x00407d86 4   5    .text   ascii   L$,3
387  0x000075d8 0x00407dd8 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
388  0x0000763e 0x00407e3e 4   5    .text   ascii   UVWS
389  0x00007650 0x00407e50 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
390  0x00007671 0x00407e71 4   5    .text   ascii   SVWj
391  0x00007683 0x00407e83 4   5    .text   ascii   _^[]
392  0x0000768a 0x00407e8a 5   6    .text   ascii   l$\bRQ
393  0x000076a6 0x00407ea6 4   5    .text   ascii   u\bW3
394  0x000076b4 0x00407eb4 5   6    .text   ascii   WWWWW
395  0x000077c6 0x00407fc6 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
396  0x00007806 0x00408006 4   5    .text   ascii   |\b;5
397  0x0000781c 0x0040801c 5   6    .text   ascii   SSSSS
398  0x00007886 0x00408086 5   6    .text   ascii   9]\ft7
399  0x000078d4 0x004080d4 5   6    .text   ascii   SSSSS
400  0x0000794a 0x0040814a 5   6    .text   ascii   \ntl9]
401  0x00007973 0x00408173 5   6    .text   ascii   \ntC9]
402  0x00007991 0x00408191 4   5    .text   ascii   %\nu$
403  0x00007a3c 0x0040823c 4   5    .text   ascii   <\rt\f
404  0x00007a58 0x00408258 6   7    .text   ascii   8\nu\nAA
405  0x00007b73 0x00408373 4   5    .text   ascii   Ht$C
406  0x00007be4 0x004083e4 6   7    .text   ascii   ;E\ft\aP
407  0x00007c5e 0x0040845e 5   6    .text   ascii   \vCC@@
408  0x00007c7a 0x0040847a 4   5    .text   ascii   9\nu\r
409  0x00007cc8 0x004084c8 4   5    .text   ascii   Ht(f
410  0x00007cd2 0x004084d2 4   5    .text   ascii   j\rXf
411  0x00007d14 0x00408514 7   8    .text   ascii   \nt\bj\rXf
412  0x00007d43 0x00408543 4   5    .text   ascii   CC+]
413  0x00007d8e 0x0040858e 4   5    .text   ascii   hh\tA
414  0x00007ddb 0x004085db 5   6    .text   ascii   VVVVV
415  0x00007e8f 0x0040868f 4   5    .text   ascii   E\bV3
416  0x00007e9d 0x0040869d 5   6    .text   ascii   VVVVV
417  0x00007ece 0x004086ce 6   7    .text   ascii   e9}\bu\e
418  0x00007edd 0x004086dd 6   7    .text   ascii   0WWWWW
419  0x00007ef4 0x004086f4 4   5    .text   ascii   9u\fr
420  0x00007f1e 0x0040871e 4   5    .text   ascii   9u\fs
421  0x00007f33 0x00408733 5   7    .text   utf8    X_^]Ë blocks=Basic Latin,Latin-1 Supplement
422  0x00007f52 0x00408752 4   5    .text   ascii   E\fV3
423  0x00007f85 0x00408785 5   6    .text   ascii   VVVVV
424  0x00007ff0 0x004087f0 5   6    .text   ascii   VVVVV
425  0x00008275 0x00408a75 6   7    .text   ascii   t)j\rXP
426  0x00008418 0x00408c18 4   5    .text   ascii   j\r[f
427  0x000084dc 0x00408cdc 4   5    .text   ascii   j\r[f
428  0x00008503 0x00408d03 5   6    .text   ascii   VVhU\r
429  0x000086ba 0x00408eba 5   6    .text   ascii   WWWWW
430  0x00008771 0x00408f71 5   6    .text   ascii   ~,WPV
431  0x0000881b 0x0040901b 5   6    .text   ascii   ;5@YA
432  0x0000882f 0x0040902f 4   5    .text   ascii   98t^
433  0x00008839 0x00409039 4   5    .text   ascii   tVPV
434  0x00008856 0x00409056 7   9    .text   utf8    Ct/9U\bu
435  0x00008870 0x00409070 4   5    .text   ascii   9}\bu
436  0x00008886 0x00409086 4   6    .text   utf8    \tE܉} blocks=Basic Latin,Syriac
437  0x00008909 0x00409109 4   5    .text   ascii   =\fHA
438  0x0000891b 0x0040911b 7   8    .text   ascii   ^_u\b^_]
439  0x00008a65 0x00409265 4   5    .text   ascii   E\b^_
440  0x00008a71 0x00409271 4   5    .text   ascii   E\b^_
441  0x00008a83 0x00409283 4   5    .text   ascii   E\b^_
442  0x00008a9d 0x0040929d 4   5    .text   ascii   E\b^_
443  0x00008c01 0x00409401 4   5    .text   ascii   E\b^_
444  0x00008c0f 0x0040940f 4   5    .text   ascii   E\b^_
445  0x00008c25 0x00409425 4   5    .text   ascii   E\b^_
446  0x00008c3f 0x0040943f 4   5    .text   ascii   E\b^_
447  0x00008c67 0x00409467 6   7    .text   ascii   j@j ^V
448  0x00008cb4 0x004094b4 4   5    .text   ascii   \r HA
449  0x00008cf6 0x004094f6 5   6    .text   ascii   [j@j 
450  0x00008d80 0x00409580 4   5    .text   ascii   \bu\vQ
451  0x00008ddf 0x004095df 4   5    .text   ascii   5 HA
452  0x00008f5d 0x0040975d 5   6    .text   ascii   WWWWW
453  0x00008ff1 0x004097f1 4   5    .text   ascii   u\bWV
454  0x00009072 0x00409872 4   7    .text   utf8    t\fW辿 blocks=Basic Latin,CJK Unified Ideographs
455  0x000090d5 0x004098d5 5   6    .text   ascii   WWWWW
456  0x000091a7 0x004099a7 4   6    .text   utf8    ؋D$\f blocks=Arabic,Basic Latin
457  0x000091e4 0x004099e4 9   10   .text   ascii   w\br\a;D$\fv
458  0x00009203 0x00409a03 4   5    .text   ascii   8csm
459  0x0000924e 0x00409a4e 5   6    .text   ascii   9=tYA
460  0x0000925c 0x00409a5c 4   5    .text   ascii   5dYA
461  0x0000926c 0x00409a6c 4   5    .text   ascii   < w\b
462  0x00009276 0x00409a76 8   10   .text   utf8    t$<"u\t3Ʌ blocks=Basic Latin,Latin Extended-B
463  0x00009297 0x00409a97 5   6    .text   ascii   < w\aF
464  0x000092a5 0x00409aa5 6   8    .text   utf8    ^Ã=tYA blocks=Basic Latin,Latin-1 Supplement
465  0x000092b7 0x00409ab7 4   5    .text   ascii   54:A
466  0x000092f6 0x00409af6 6   8    .text   utf8    tˋ54:A blocks=Basic Latin,Spacing Modifier Letters
467  0x0000930b 0x00409b0b 6   7    .text   ascii   >=Yt1j
468  0x0000931e 0x00409b1e 5   6    .text   ascii   tNVSP
469  0x00009331 0x00409b31 5   6    .text   ascii   PPPPP
470  0x00009349 0x00409b49 4   5    .text   ascii   54:A
471  0x00009354 0x00409b54 4   5    .text   ascii   %4:A
472  0x00009369 0x00409b69 4   5    .text   ascii   Y[_^
473  0x0000939f 0x00409b9f 5   6    .text   ascii   9E\bt\t
474  0x0000945f 0x00409c5f 4   5    .text   ascii   >"u&
475  0x000094a9 0x00409ca9 10  11   .text   ascii   u\b< tK<\ttG
476  0x00009510 0x00409d10 4   5    .text   ascii   E\b^[
477  0x00009557 0x00409d57 4   5    .text   ascii   5 :A
478  0x000095c9 0x00409dc9 4   5    .text   ascii   5\b:A
479  0x00009614 0x00409e14 4   5    .text   ascii   xu\nj
480  0x00009649 0x00409e49 4   5    .text   ascii   @@f9
481  0x00009650 0x00409e50 4   5    .text   ascii   @@f9
482  0x0000965d 0x00409e5d 4   5    .text   ascii   SSS+
483  0x00009665 0x00409e65 5   6    .text   ascii   @PWSS
484  0x00009682 0x00409e82 4   5    .text   ascii   t!SS
485  0x000096cb 0x00409ecb 4   5    .text   ascii   t\n@8
486  0x0000973b 0x00409f3b 4   6    .text   utf8    У\f A blocks=Cyrillic,Basic Latin
487  0x00009795 0x00409f95 4   5    .text   ascii   5\b A
488  0x0000979b 0x00409f9b 5   7    .text   utf8    ։5\f A blocks=Armenian,Basic Latin
489  0x00009836 0x0040a036 4   5    .text   ascii   h0\nA
490  0x0000988d 0x0040a08d 5   6    .text   ascii   WWWWW
491  0x000098ce 0x0040a0ce 5   6    .text   ascii   WWWWW
492  0x000099c6 0x0040a1c6 5   6    .text   ascii   VVVVV
493  0x00009a08 0x0040a208 5   6    .text   ascii   \rt\fHt
494  0x00009c20 0x0040a420 6   7    .text   ascii   j\fhP\nA
495  0x00009c48 0x0040a448 4   5    .text   ascii   u\bj 
496  0x00009c6c 0x0040a46c 5   6    .text   ascii   ;5\b,A
497  0x00009c89 0x0040a489 4   7    .text   utf8    t\aV聕 blocks=Basic Latin,CJK Unified Ideographs
498  0x00009c9b 0x0040a49b 4   5    .text   ascii   5\b,A
499  0x00009ded 0x0040a5ed 4   5    .text   ascii   s\f9U
500  0x00009e34 0x0040a634 5   8    .text   utf8    uͱ ,A blocks=Basic Latin,Greek and Coptic
501  0x00009e51 0x0040a651 5   8    .text   utf8    Eʀ\f,A blocks=Basic Latin,IPA Extensions
502  0x00009e67 0x0040a667 4   5    .text   ascii   }\bFF
503  0x00009ea8 0x0040a6a8 6   7    .text   ascii   0A@@Ju
504  0x00009eda 0x0040a6da 5   6    .text   ascii   \b\b@Iu
505  0x00009f07 0x0040a707 5   6    .text   ascii   95,CA
506  0x00009f27 0x0040a727 4   5    .text   ascii   hp\nA
507  0x00009f50 0x0040a750 4   5    .text   ascii   E\b;C
508  0x0000a00e 0x0040a80e 5   6    .text   ascii   \fE0CA
509  0x0000a04d 0x0040a84d 4   5    .text   ascii   5\b,A
510  0x0000a066 0x0040a866 4   7    .text   utf8    t\aP褑 blocks=Basic Latin,CJK Unified Ideographs
511  0x0000a0be 0x0040a8be 5   7    .text   utf8    Ã=tYA blocks=Latin-1 Supplement,Basic Latin
512  0x0000a1b8 0x0040a9b8 5   6    .text   ascii   \a=8.A
513  0x0000a220 0x0040aa20 6   8    .text   utf8    Y_^[]Ë blocks=Basic Latin,Latin-1 Supplement
514  0x0000a2b0 0x0040aab0 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
515  0x0000a3a5 0x0040aba5 4   5    .text   ascii   Fpt"
516  0x0000a3b9 0x0040abb9 4   5    .text   ascii   u\bj 
517  0x0000a443 0x0040ac43 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
518  0x0000a48f 0x0040ac8f 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
519  0x0000a4ad 0x0040acad 8   9    .text   ascii   u,9E\ft'9
520  0x0000a4dd 0x0040acdd 7   9    .text   utf8    _^]á\b A blocks=Basic Latin,Latin-1 Supplement
521  0x0000a5cf 0x0040adcf 6   7    .text   ascii   ^SSSSS
522  0x0000a60e 0x0040ae0e 5   6    .text   ascii   v\vWSV
523  0x0000a64b 0x0040ae4b 8   9    .text   ascii   j"^SSSSS
524  0x0000a697 0x0040ae97 7   8    .text   ascii   M\fQSWVj
525  0x0000a76e 0x0040af6e 4   5    .text   ascii   D$\f3
526  0x0000a776 0x0040af76 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
527  0x0000a7bf 0x0040afbf 7   8    .text   ascii   ;T$\fw\br
528  0x0000a7c7 0x0040afc7 10  11   .text   ascii   ;D$\bv\tN+D$
529  0x0000a7d8 0x0040afd8 8   9    .text   ascii   +D$\b\eT$\f
530  0x0000a7e8 0x0040afe8 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
531  0x0000a80a 0x0040b00a 4   5    .text   ascii   =tCA
532  0x0000a938 0x0040b138 4   5    .text   ascii   5tCA
533  0x0000a964 0x0040b164 4   5    .text   ascii   E\bS3
534  0x0000a97f 0x0040b17f 6   7    .text   ascii   0SSSSS
535  0x0000a9ad 0x0040b1ad 4   5    .text   ascii   \nBF:
536  0x0000a9cd 0x0040b1cd 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
537  0x0000a9e8 0x0040b1e8 4   5    .text   ascii   9]\fu
538  0x0000a9ef 0x0040b1ef 4   5    .text   ascii   _^[]
539  0x0000aa08 0x0040b208 7   10   .text   utf8    0SSSSS藥 blocks=Basic Latin,CJK Unified Ideographs
540  0x0000aa39 0x0040b239 4   5    .text   ascii   \b@B:
541  0x0000aa48 0x0040b248 4   5    .text   ascii   \b@B:
542  0x0000aa4d 0x0040b24d 4   5    .text   ascii   t\bOt
543  0x0000aa69 0x0040b269 4   5    .text   ascii   E\fjP
544  0x0000aa8d 0x0040b28d 4   5    .text   ascii   M\bS3
545  0x0000aaa8 0x0040b2a8 6   7    .text   ascii   0SSSSS
546  0x0000aaea 0x0040b2ea 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
547  0x0000aaf5 0x0040b2f5 4   5    .text   ascii   M\bV3
548  0x0000ab15 0x0040b315 4   5    .text   ascii   \r<:A
549  0x0000ab21 0x0040b321 5   6    .text   ascii   VVVVV
550  0x0000ab46 0x0040b346 5   7    .text   utf8    3\v]\b3
551  0x0000ab61 0x0040b361 5   6    .text   ascii   WWWWW
552  0x0000ab74 0x0040b374 4   5    .text   ascii   =\YA
553  0x0000ac02 0x0040b402 5   6    .text   ascii   Vt\bj\n
554  0x0000ad6a 0x0040b56a 4   6    .text   utf8    IuЋ} blocks=Basic Latin,Cyrillic
555  0x0000add6 0x0040b5d6 4   6    .text   utf8    3\v}\b
556  0x0000aef9 0x0040b6f9 4   5    .text   ascii   =\fHA
557  0x0000af0b 0x0040b70b 7   8    .text   ascii   ^_u\b^_]
558  0x0000b055 0x0040b855 4   5    .text   ascii   E\b^_
559  0x0000b061 0x0040b861 4   5    .text   ascii   E\b^_
560  0x0000b073 0x0040b873 4   5    .text   ascii   E\b^_
561  0x0000b08d 0x0040b88d 4   5    .text   ascii   E\b^_
562  0x0000b1f1 0x0040b9f1 4   5    .text   ascii   E\b^_
563  0x0000b1ff 0x0040b9ff 4   5    .text   ascii   E\b^_
564  0x0000b215 0x0040ba15 4   5    .text   ascii   E\b^_
565  0x0000b22f 0x0040ba2f 4   5    .text   ascii   E\b^_
566  0x0000b257 0x0040ba57 5   6    .text   ascii   ;=@YA
567  0x0000b318 0x0040bb18 7   8    .text   ascii   t\rSSSSS
568  0x0000b355 0x0040bb55 8   9    .text   ascii   tGHt.Ht&
569  0x0000b36e 0x0040bb6e 6   7    .text   ascii   ^SSSSS
570  0x0000b3fc 0x0040bbfc 4   5    .text   ascii   ;t0;
571  0x0000b936 0x0040c136 5   7    .text   utf8    \nʈ\b8] blocks=Basic Latin,IPA Extensions
572  0x0000ba1b 0x0040c21b 7   10   .text   utf8    8VVVVV脕 blocks=Basic Latin,CJK Unified Ideographs
573  0x0000ba94 0x0040c294 4   5    .text   ascii   t(9u
574  0x0000bb10 0x0040c310 5   6    .text   ascii   9X\bu&
575  0x0000bb3b 0x0040c33b 5   6    .text   ascii   9]\bu.
576  0x0000bb45 0x0040c345 5   6    .text   ascii   SSSSS
577  0x0000bb7b 0x0040c37b 5   6    .text   ascii   SSSSS
578  0x0000bbc0 0x0040c3c0 4   5    .text   ascii   ti9]
579  0x0000bc0b 0x0040c40b 5   6    .text   ascii   r\ff;p
580  0x0000bc18 0x0040c418 4   5    .text   ascii   6f;p
581  0x0000bc1d 0x0040c41d 5   6    .text   ascii   r0f;p
582  0x0000bc62 0x0040c462 4   5    .text   ascii   tH9]
583  0x0000bc8c 0x0040c48c 5   6    .text   ascii   r\ff;H
584  0x0000bc99 0x0040c499 4   5    .text   ascii   6f;H
585  0x0000bc9e 0x0040c49e 5   6    .text   ascii   r0f;H
586  0x0000bcd3 0x0040c4d3 4   5    .text   ascii   u!f;
587  0x0000bcd8 0x0040c4d8 4   5    .text   ascii   t\t9]
588  0x0000bd4a 0x0040c54a 5   6    .text   ascii   9_\bu&
589  0x0000bd75 0x0040c575 6   9    .text   utf8    9]\bu+蓒 blocks=Basic Latin,CJK Unified Ideographs
590  0x0000bd7f 0x0040c57f 5   6    .text   ascii   SSSSS
591  0x0000bdb2 0x0040c5b2 5   6    .text   ascii   SSSSS
592  0x0000bdf0 0x0040c5f0 4   5    .text   ascii   tA9]
593  0x0000be01 0x0040c601 4   5    .text   ascii   t_8]
594  0x0000be43 0x0040c643 4   5    .text   ascii   t 9]
595  0x0000beab 0x0040c6ab 5   6    .text   ascii   SVWUj
596  0x0000bec0 0x0040c6c0 4   5    .text   ascii   ]_^[
597  0x0000bec6 0x0040c6c6 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
598  0x0000bf4c 0x0040c74c 6   7    .text   ascii   ;t$,v-
599  0x0000bfa7 0x0040c7a7 6   7    .text   ascii   R\f9Q\bu
600  0x0000bfcf 0x0040c7cf 10  11   .text   ascii   k\fUQPXY]Y[
601  0x0000bfe5 0x0040c7e5 4   5    .text   ascii   E\bVW
602  0x0000c023 0x0040c823 5   6    .text   ascii   Ht\bHu
603  0x0000c05c 0x0040c85c 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
604  0x0000c066 0x0040c866 4   5    .text   ascii   M\bS3
605  0x0000c06d 0x0040c86d 6   7    .text   ascii   VW|[;\r
606  0x0000c0a9 0x0040c8a9 5   6    .text   ascii   It\bIu
607  0x0000c0e1 0x0040c8e1 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
608  0x0000c140 0x0040c940 5   6    .text   ascii   VVVVV
609  0x0000c15d 0x0040c95d 6   7    .text   ascii   j\fh0\vA
610  0x0000c189 0x0040c989 7   8    .text   ascii   9^\bu6j\n
611  0x0000c199 0x0040c999 4   5    .text   ascii   9^\bu
612  0x0000c1a4 0x0040c9a4 4   7    .text   utf8    F\fP躠 blocks=Basic Latin,CJK Unified Ideographs
613  0x0000c1dc 0x0040c9dc 4   5    .text   ascii   D8\fP
614  0x0000c1ef 0x0040c9ef 7   11   .text   utf8    3ۋ}\bj\n胖 blocks=Basic Latin,Arabic,CJK Unified Ideographs
615  0x0000c226 0x0040ca26 4   5    .text   ascii   hP\vA
616  0x0000c294 0x0040ca94 5   8    .text   utf8    u9j\n軖 blocks=Basic Latin,CJK Unified Ideographs
617  0x0000c2b0 0x0040cab0 4   7    .text   utf8    F\fP讟 blocks=Basic Latin,CJK Unified Ideographs
618  0x0000c2ee 0x0040caee 5   9    .text   utf8    @낋}؋u blocks=Basic Latin,Hangul Syllables,Arabic
619  0x0000c32d 0x0040cb2d 4   5    .text   ascii   j@j 
620  0x0000c3d3 0x0040cbd3 5   6    .text   ascii   95 .A
621  0x0000c3dc 0x0040cbdc 4   5    .text   ascii   =D/A
622  0x0000c402 0x0040cc02 4   5    .text   ascii   M\bQP
623  0x0000c411 0x0040cc11 4   5    .text   ascii   = .A
624  0x0000c421 0x0040cc21 7   9    .text   utf8    xuω5 .A blocks=Basic Latin,Greek and Coptic
625  0x0000c435 0x0040cc35 4   5    .text   ascii   E\bPV
626  0x0000c447 0x0040cc47 4   5    .text   ascii   \rD/A
627  0x0000c502 0x0040cd02 4   5    .text   ascii   ~%9M
628  0x0000c513 0x0040cd13 6   7    .text   ascii   u\bQVj\t
629  0x0000c532 0x0040cd32 4   5    .text   ascii   r 8^
630  0x0000c5ed 0x0040cded 4   5    .text   ascii   hx\vA
631  0x0000c62b 0x0040ce2b 5   6    .text   ascii   SSSSS
632  0x0000c6f7 0x0040cef7 4   5    .text   ascii   oV f
633  0x0000c6fc 0x0040cefc 4   5    .text   ascii   o^0f
634  0x0000c714 0x0040cf14 4   5    .text   ascii   of@f
635  0x0000c719 0x0040cf19 4   5    .text   ascii   onPf
636  0x0000c71e 0x0040cf1e 4   5    .text   ascii   ov`f
637  0x0000c723 0x0040cf23 4   5    .text   ascii   o~pf
638  0x0000c769 0x0040cf69 4   6    .text   utf8    ȋE\b3 blocks=Latin Extended-B,Basic Latin
639  0x0000c8c0 0x0040d0c0 5   6    .text   ascii   u8SS3
640  0x0000c908 0x0040d108 4   5    .text   ascii   t\b@;
641  0x0000c943 0x0040d143 5   6    .text   ascii   9] u\b
642  0x0000c958 0x0040d158 5   6    .text   ascii   9]$SS
643  0x0000c98c 0x0040d18c 4   5    .text   ascii   D?\b=
644  0x0000ca0f 0x0040d20f 4   5    .text   ascii   t)9]
645  0x0000ca4b 0x0040d24b 4   5    .text   ascii   D\t\b=
646  0x0000ca9f 0x0040d29f 6   7    .text   ascii   t"SS9]
647  0x0000cae1 0x0040d2e1 5   6    .text   ascii   9]\bu\b
648  0x0000caec 0x0040d2ec 7   8    .text   ascii   E\b9] u\b
649  0x0000cc24 0x0040d424 4   5    .text   ascii   t\f9E
650  0x0000ccd4 0x0040d4d4 4   5    .text   ascii   xu\nj
651  0x0000cd18 0x0040d518 5   6    .text   ascii   9] SS
652  0x0000cd48 0x0040d548 4   5    .text   ascii   D?\b=
653  0x0000ce0a 0x0040d60a 4   6    .text   utf8    t܉u\f blocks=Basic Latin,Syriac
654  0x0000d018 0x0040d818 4   6    .text   utf8    ,^]Ë blocks=Basic Latin,Latin-1 Supplement
655  0x0000d04d 0x0040d84d 4   5    .text   ascii   v\b;5
656  0x0000d05d 0x0040d85d 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
657  0x0000d0db 0x0040d8db 4   5    .text   ascii   v$;5
658  0x0000d0f6 0x0040d8f6 8   9    .text   ascii   PPPPPPPP
659  0x0000d158 0x0040d958 4   5    .text   ascii   t&:a
660  0x0000d1fe 0x0040d9fe 4   5    .text   ascii   tR:Q
661  0x0000d20a 0x0040da0a 4   5    .text   ascii   t<:Q
662  0x0000d216 0x0040da16 4   5    .text   ascii   t&:Q
663  0x0000d296 0x0040da96 8   9    .text   ascii   PPPPPPPP
664  0x0000d2ec 0x0040daec 4   5    .text   ascii   ;E\f\e
665  0x0000d2ff 0x0040daff 5   6    .text   ascii   WWWWW
666  0x0000d322 0x0040db22 4   6    .text   utf8    F3ۉ] blocks=Basic Latin,Arabic
667  0x0000d32e 0x0040db2e 4   5    .text   ascii   =\YA
668  0x0000d375 0x0040db75 5   8    .text   utf8    u\bWS肏 blocks=Basic Latin,CJK Unified Ideographs
669  0x0000d383 0x0040db83 5   6    .text   ascii   uaVj\b
670  0x0000d398 0x0040db98 4   5    .text   ascii   uL9=
671  0x0000d423 0x0040dc23 4   5    .text   ascii   =\YA
672  0x0000d45a 0x0040dc5a 5   6    .text   ascii   ;5LYA
673  0x0000d460 0x0040dc60 5   6    .text   ascii   wIVSP
674  0x0000d4c1 0x0040dcc1 4   5    .text   ascii   u\fVW
675  0x0000d516 0x0040dd16 5   6    .text   ascii   u\fVSj
676  0x0000d54c 0x0040dd4c 4   7    .text   utf8    t,V聍 blocks=Basic Latin,CJK Unified Ideographs
677  0x0000d598 0x0040dd98 4   5    .text   ascii   FVSj
678  0x0000d635 0x0040de35 5   6    .text   ascii   WWWWW
679  0x0000d6f5 0x0040def5 9   10   .text   ascii   \a<xt\r<Xt\t
680  0x0000d71b 0x0040df1b 4   5    .text   ascii   \a<xt
681  0x0000d7ca 0x0040dfca 4   5    .text   ascii   u+9u
682  0x0000d8c3 0x0040e0c3 4   6    .text   utf8    \n3Ɉ] blocks=Basic Latin,Latin Extended-B
683  0x0000d922 0x0040e122 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
684  0x0000d938 0x0040e138 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
685  0x0000d954 0x0040e154 4   5    .text   ascii   SVW3
686  0x0000dba2 0x0040e3a2 5   6    .text   ascii   _^[u\a
687  0x0000dbc4 0x0040e3c4 4   5    .text   ascii   E\bV3
688  0x0000dbd2 0x0040e3d2 5   6    .text   ascii   VVVVV
689  0x0000dbeb 0x0040e3eb 4   5    .text   ascii   \rXDA
690  0x0000dc02 0x0040e402 4   5    .text   ascii   VW9]
691  0x0000dc18 0x0040e418 5   6    .text   ascii   9]\bu.
692  0x0000dc22 0x0040e422 5   6    .text   ascii   SSSSS
693  0x0000dc61 0x0040e461 5   6    .text   ascii   SSSSS
694  0x0000dcf1 0x0040e4f1 5   6    .text   ascii   95HCA
695  0x0000dcf7 0x0040e4f7 6   7    .text   ascii   u99u\bu
696  0x0000dd03 0x0040e503 5   6    .text   ascii   VVVVV
697  0x0000dd1c 0x0040e51c 7   9    .text   utf8    '9u\ft܁} blocks=Basic Latin,Syriac
698  0x0000dd65 0x0040e565 4   6    .text   utf8    áD/A blocks=Latin-1 Supplement,Basic Latin
699  0x0000dd7e 0x0040e57e 4   6    .text   utf8    ֡@/A blocks=Hebrew,Basic Latin
700  0x0000de02 0x0040e602 6   8    .text   utf8    E܋E\bW3 blocks=Basic Latin,Syriac
701  0x0000de74 0x0040e674 4   5    .text   ascii   D6\b=
702  0x0000df22 0x0040e722 5   6    .text   ascii   WWWWV
703  0x0000df34 0x0040e734 4   5    .text   ascii   t<Vj
704  0x0000df45 0x0040e745 7   8    .text   ascii   t+WWVPV
705  0x0000e0a7 0x0040e8a7 4   6    .text   utf8    \b\v@}
