[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6            ascii   .text
2    0x0000019f 0x0000019f 7   8            ascii   `.rdata
3    0x000001c7 0x000001c7 6   7            ascii   @.data
417  0x00009b59 0x00409b59 4   5    .text   ascii   h+`A
418  0x00009b5e 0x00409b5e 4   5    .text   ascii   h#`A
419  0x00009b63 0x00409b63 4   5    .text   ascii   h=`A
420  0x00009bb1 0x00409bb1 6   7    .text   ascii   t$h+`A
421  0x00009bc4 0x00409bc4 4   5    .text   ascii   ho`A
422  0x00009bf2 0x00409bf2 4   5    .text   ascii   h+`A
423  0x00009bf7 0x00409bf7 4   5    .text   ascii   h#`A
424  0x00009bfc 0x00409bfc 4   5    .text   ascii   h=`A
425  0x00009c02 0x00409c02 4   5    .text   ascii   51HA
426  0x00009c0f 0x00409c0f 4   5    .text   ascii   h+`A
427  0x00009c14 0x00409c14 4   5    .text   ascii   h#`A
428  0x00009c19 0x00409c19 4   5    .text   ascii   h=`A
429  0x00009c83 0x00409c83 4   5    .text   ascii   h=`A
430  0x00009c89 0x00409c89 4   5    .text   ascii   51HA
431  0x00009ca0 0x00409ca0 4   5    .text   ascii   h=`A
432  0x00009d0a 0x00409d0a 4   5    .text   ascii   h=`A
433  0x00009d10 0x00409d10 4   5    .text   ascii   51HA
434  0x00009d27 0x00409d27 4   5    .text   ascii   h=`A
435  0x00009d91 0x00409d91 4   5    .text   ascii   h=`A
436  0x00009d97 0x00409d97 4   5    .text   ascii   51HA
437  0x00009dae 0x00409dae 4   5    .text   ascii   h=`A
438  0x00009dfd 0x00409dfd 4   5    .text   ascii   51HA
439  0x00009e31 0x00409e31 4   5    .text   ascii   51HA
440  0x00009eb1 0x00409eb1 6   7    .text   ascii   tEh\vaA
441  0x00009fa0 0x00409fa0 4   5    .text   ascii   h.aA
442  0x00009fbf 0x00409fbf 4   5    .text   ascii   h%aA
443  0x00009ffb 0x00409ffb 4   5    .text   ascii   hjaA
444  0x0000a000 0x0040a000 4   5    .text   ascii   hvaA
445  0x0000a43b 0x0040a43b 4   5    .text   ascii   =\vKA
446  0x0000a468 0x0040a468 4   9    .text   utf16le jjjj
447  0x0000a57e 0x0040a57e 4   5    .text   ascii   h$bA
448  0x0000a584 0x0040a584 4   5    .text   ascii   51HA
449  0x0000a5cd 0x0040a5cd 4   5    .text   ascii   =\vKA
450  0x0000a6bf 0x0040a6bf 6   7    .text   ascii   tFh\ebA
451  0x0000a721 0x0040a721 4   5    .text   ascii   h_bA
452  0x0000a77b 0x0040a77b 4   5    .text   ascii   =\vKA
453  0x0000a883 0x0040a883 4   5    .text   ascii   =#KA
454  0x0000a955 0x0040a955 7   8    .text   ascii   <0r\b<9w
455  0x0000a961 0x0040a961 7   8    .text   ascii   <Ar\n<Fw
456  0x0000a99c 0x0040a99c 4   5    .text   ascii   =\vKA
457  0x0000a9aa 0x0040a9aa 4   9    .text   utf16le jjjj
458  0x0000a9cc 0x0040a9cc 4   5    .text   ascii   ;\bw*
459  0x0000aa7a 0x0040aa7a 4   5    .text   ascii   h/cA
460  0x0000aa8d 0x0040aa8d 4   5    .text   ascii   hDcA
461  0x0000aaa0 0x0040aaa0 4   5    .text   ascii   hccA
462  0x0000aab3 0x0040aab3 4   5    .text   ascii   hvcA
463  0x0000aaf2 0x0040aaf2 4   5    .text   ascii   51HA
464  0x0000ab08 0x0040ab08 4   5    .text   ascii   51HA
465  0x0000ab1e 0x0040ab1e 4   5    .text   ascii   51HA
466  0x0000ab34 0x0040ab34 4   5    .text   ascii   51HA
467  0x0000ab4a 0x0040ab4a 4   5    .text   ascii   51HA
468  0x0000ab62 0x0040ab62 4   5    .text   ascii   51HA
469  0x0000acad 0x0040acad 4   5    .text   ascii   51HA
470  0x0000accd 0x0040accd 4   9    .text   utf16le jjjj
471  0x0000acf4 0x0040acf4 4   5    .text   ascii   h\rHA
472  0x0000ad2c 0x0040ad2c 4   5    .text   ascii   51HA
473  0x0000af3d 0x0040af3d 4   5    .text   ascii   9E\fv
474  0x0000af87 0x0040af87 4   5    .text   ascii   E\f;E
475  0x0000b19f 0x0040b19f 5   6    .text   ascii   }\f\au 
476  0x0000b1c5 0x0040b1c5 4   5    .text   ascii   }\f\bu
477  0x0000b1e7 0x0040b1e7 4   5    .text   ascii   }\f\tu
478  0x0000b209 0x0040b209 5   6    .text   ascii   }\f\nu\n
479  0x0000b219 0x0040b219 5   6    .text   ascii   }\f\vu\n
480  0x0000b229 0x0040b229 6   7    .text   ascii   }\f\frU\v
481  0x0000b284 0x0040b284 6   7    .text   ascii   }\f\rrU\v
482  0x0000b472 0x0040b472 5   8    .text   utf8    E܋}܋u blocks=Basic Latin,Syriac
483  0x0000b758 0x0040b758 4   6    .text   utf8    )+ҋE blocks=Basic Latin,Cyrillic
484  0x0000b7a5 0x0040b7a5 4   7    .text   utf8    E܋ЍE blocks=Basic Latin,Syriac,Cyrillic
485  0x0000b87e 0x0040b87e 4   5    .text   ascii   h*dA
486  0x0000b898 0x0040b898 4   5    .text   ascii   h9dA
487  0x0000b916 0x0040b916 4   5    .text   ascii   ?[t\n
488  0x0000b941 0x0040b941 4   5    .text   ascii   ?'u+
489  0x0000ba0a 0x0040ba0a 4   5    .text   ascii   =\vKA
490  0x0000baa6 0x0040baa6 4   9    .text   utf16le jjjj
491  0x0000bad8 0x0040bad8 5   8    .text   utf8    uЋ}܋M blocks=Basic Latin,Cyrillic,Syriac
492  0x0000bb29 0x0040bb29 4   5    .text   ascii   hHdA
493  0x0000bb33 0x0040bb33 5   6    .text   ascii   PhHdA
494  0x0000bb45 0x0040bb45 4   5    .text   ascii   hOdA
495  0x0000bb4f 0x0040bb4f 5   6    .text   ascii   PhOdA
496  0x0000bb61 0x0040bb61 4   5    .text   ascii   hWdA
497  0x0000bb6b 0x0040bb6b 5   6    .text   ascii   PhWdA
498  0x0000bf6c 0x0040bf6c 4   5    .text   ascii   u\fj#
499  0x0000bf83 0x0040bf83 4   5    .text   ascii   u\fj#
500  0x0000bfa8 0x0040bfa8 4   5    .text   ascii   h`dA
501  0x0000bfd9 0x0040bfd9 4   5    .text   ascii   hodA
502  0x0000c00a 0x0040c00a 4   5    .text   ascii   hydA
503  0x0000c024 0x0040c024 4   5    .text   ascii   51HA
504  0x0000c3bf 0x0040c3bf 4   5    .text   ascii   h&eA
505  0x0000c451 0x0040c451 6   7    .text   ascii   t)h\veA
506  0x0000c469 0x0040c469 4   5    .text   ascii   h!eA
507  0x0000c49e 0x0040c49e 4   5    .text   ascii   h!eA
508  0x0000c504 0x0040c504 6   7    .text   ascii   t$h8eA
509  0x0000c517 0x0040c517 4   5    .text   ascii   hKeA
510  0x0000c58f 0x0040c58f 6   7    .text   ascii   tGhSeA
511  0x0000c5b2 0x0040c5b2 4   5    .text   ascii   h\eA
512  0x0000c607 0x0040c607 6   7    .text   ascii   tGhaeA
513  0x0000c62a 0x0040c62a 4   5    .text   ascii   hjeA
514  0x0000c655 0x0040c655 4   5    .text   ascii   hjeA
515  0x0000c669 0x0040c669 4   5    .text   ascii   hseA
516  0x0000c674 0x0040c674 4   5    .text   ascii   51HA
517  0x0000c68e 0x0040c68e 4   5    .text   ascii   51HA
518  0x0000c6a8 0x0040c6a8 4   5    .text   ascii   51HA
519  0x0000c6c4 0x0040c6c4 4   5    .text   ascii   51HA
520  0x0000c85e 0x0040c85e 4   5    .text   ascii   h\rfA
521  0x0000c89b 0x0040c89b 4   5    .text   ascii   h\rfA
522  0x0000c8ca 0x0040c8ca 4   5    .text   ascii   h\rfA
523  0x0000c90e 0x0040c90e 4   5    .text   ascii   8,"u
524  0x0000c952 0x0040c952 4   5    .text   ascii   h-fA
525  0x0000c968 0x0040c968 4   5    .text   ascii   hyfA
526  0x0000cab9 0x0040cab9 4   5    .text   ascii   =\vKA
527  0x0000cb4e 0x0040cb4e 4   9    .text   utf16le jjjj
528  0x0000cb67 0x0040cb67 4   5    .text   ascii   t5PP
529  0x0000cbc4 0x0040cbc4 4   5    .text   ascii   8\ru$
530  0x0000cc0b 0x0040cc0b 4   5    .text   ascii   =\vKA
531  0x0000ccba 0x0040ccba 7   8    .text   ascii   <0r\b<9w
532  0x0000cce2 0x0040cce2 4   6    .text   utf8    \nĪI\v blocks=Basic Latin,Latin Extended-A
533  0x0000cd01 0x0040cd01 4   9    .text   utf16le jjjj
534  0x0000ce65 0x0040ce65 4   9    .text   utf16le jjjj
535  0x0000ce8c 0x0040ce8c 4   5    .text   ascii   h\rHA
536  0x0000ceb7 0x0040ceb7 5   6    .text   ascii   PhCgA
537  0x0000ced3 0x0040ced3 4   5    .text   ascii   hLgA
538  0x0000ceee 0x0040ceee 4   5    .text   ascii   hWgA
539  0x0000cf0d 0x0040cf0d 5   6    .text   ascii   PhogA
540  0x0000cf54 0x0040cf54 4   5    .text   ascii   h^gA
541  0x0000cf6f 0x0040cf6f 4   5    .text   ascii   hzgA
542  0x0000d099 0x0040d099 5   6    .text   ascii   Ph.gA
543  0x0000d0d1 0x0040d0d1 4   5    .text   ascii   h8gA
544  0x0000d134 0x0040d134 4   5    .text   ascii   h\rgA
545  0x0000d13a 0x0040d13a 4   5    .text   ascii   51HA
546  0x0000d147 0x0040d147 4   5    .text   ascii   h\rgA
547  0x0000d15a 0x0040d15a 4   5    .text   ascii   51HA
548  0x0000d1b5 0x0040d1b5 4   5    .text   ascii   =\eKA
549  0x0000d396 0x0040d396 4   5    .text   ascii   51HA
550  0x0000d3b6 0x0040d3b6 4   9    .text   utf16le jjjj
551  0x0000d3dd 0x0040d3dd 4   5    .text   ascii   h\rHA
552  0x0000d413 0x0040d413 4   5    .text   ascii   51HA
553  0x0000d431 0x0040d431 4   5    .text   ascii   51HA
554  0x0000d44f 0x0040d44f 4   5    .text   ascii   51HA
555  0x0000d46d 0x0040d46d 4   5    .text   ascii   51HA
556  0x0000d48b 0x0040d48b 4   5    .text   ascii   51HA
557  0x0000d68b 0x0040d68b 4   5    .text   ascii   h"hA
558  0x0000d6a4 0x0040d6a4 4   5    .text   ascii   h$hA
559  0x0000d6b7 0x0040d6b7 4   5    .text   ascii   h$hA
560  0x0000d6c6 0x0040d6c6 4   5    .text   ascii   h"hA
561  0x0000d7ed 0x0040d7ed 4   9    .text   utf16le jjjj
562  0x0000d814 0x0040d814 4   5    .text   ascii   h\rHA
563  0x0000d83e 0x0040d83e 4   5    .text   ascii   hPhA
564  0x0000d859 0x0040d859 4   5    .text   ascii   hYhA
565  0x0000d874 0x0040d874 4   5    .text   ascii   hbhA
566  0x0000d893 0x0040d893 5   6    .text   ascii   PhkhA
567  0x0000d8af 0x0040d8af 4   5    .text   ascii   hvhA
568  0x0000d9b9 0x0040d9b9 6   7    .text   ascii   u\bh,hA
569  0x0000d9c1 0x0040d9c1 4   5    .text   ascii   51HA
570  0x0000d9cc 0x0040d9cc 6   7    .text   ascii   u\bh,hA
571  0x0000da55 0x0040da55 4   9    .text   utf16le jjjj
572  0x0000da7c 0x0040da7c 4   5    .text   ascii   h\rHA
573  0x0000db36 0x0040db36 5   6    .text   ascii   Ph'iA
574  0x0000dc7e 0x0040dc7e 4   5    .text   ascii   51HA
575  0x0000dccf 0x0040dccf 6   7    .text   ascii   tEh4iA
576  0x0000dcec 0x0040dcec 4   5    .text   ascii   h=iA
577  0x0000dd3e 0x0040dd3e 4   5    .text   ascii   hjiA
578  0x0000dd43 0x0040dd43 4   5    .text   ascii   hJiA
579  0x0000dd49 0x0040dd49 4   5    .text   ascii   51HA
580  0x0000dd5d 0x0040dd5d 4   5    .text   ascii   h{iA
581  0x0000dd75 0x0040dd75 4   5    .text   ascii   h{iA
582  0x0000dd7a 0x0040dd7a 4   5    .text   ascii   hriA
583  0x0000df10 0x0040df10 4   5    .text   ascii   hLjA
584  0x0000df26 0x0040df26 4   5    .text   ascii   hLjA
585  0x0000df35 0x0040df35 4   5    .text   ascii   hTjA
586  0x0000e01b 0x0040e01b 4   5    .text   ascii   h(jA
587  0x0000e030 0x0040e030 4   5    .text   ascii   h-jA
588  0x0000e046 0x0040e046 5   6    .text   ascii   Ph4jA
589  0x0000e05c 0x0040e05c 4   5    .text   ascii   h;jA
590  0x0000e071 0x0040e071 4   5    .text   ascii   h@jA
591  0x0000e1cd 0x0040e1cd 4   5    .text   ascii   hGjA
592  0x0000e22c 0x0040e22c 4   5    .text   ascii   51HA
593  0x0000e251 0x0040e251 4   5    .text   ascii   51HA
594  0x0000e291 0x0040e291 4   5    .text   ascii   hXjA
595  0x0000e2d3 0x0040e2d3 6   7    .text   ascii   tEh`jA
596  0x0000e2f0 0x0040e2f0 4   5    .text   ascii   hgjA
597  0x0000e377 0x0040e377 4   5    .text   ascii   hsjA
598  0x0000e3a8 0x0040e3a8 4   5    .text   ascii   hxjA
599  0x0000e612 0x0040e612 4   5    .text   ascii   u\fj#
600  0x0000e633 0x0040e633 4   5    .text   ascii   51HA
601  0x0000e675 0x0040e675 4   5    .text   ascii   h=kA
602  0x0000e67a 0x0040e67a 4   5    .text   ascii   h kA
603  0x0000e6ab 0x0040e6ab 4   5    .text   ascii   hzkA
604  0x0000e6b0 0x0040e6b0 4   5    .text   ascii   hbkA
605  0x0000e6ee 0x0040e6ee 4   5    .text   ascii   51HA
606  0x0000e755 0x0040e755 4   5    .text   ascii   51HA
607  0x0000e7fc 0x0040e7fc 4   9    .text   utf16le jjjj
608  0x0000e823 0x0040e823 4   5    .text   ascii   h\rHA
609  0x0000e891 0x0040e891 4   5    .text   ascii   h\rlA
610  0x0000e926 0x0040e926 4   5    .text   ascii   51HA
611  0x0000e94c 0x0040e94c 4   5    .text   ascii   h#lA
612  0x0000e996 0x0040e996 4   9    .text   utf16le jjjj
613  0x0000e9bd 0x0040e9bd 4   5    .text   ascii   h\rHA
614  0x0000e9e1 0x0040e9e1 4   5    .text   ascii   hBlA
615  0x0000e9fc 0x0040e9fc 4   5    .text   ascii   hOlA
616  0x0000ea17 0x0040ea17 4   5    .text   ascii   hZlA
617  0x0000ea36 0x0040ea36 5   6    .text   ascii   PhdlA
618  0x0000ea52 0x0040ea52 4   5    .text   ascii   hllA
619  0x0000ea71 0x0040ea71 5   6    .text   ascii   PhwlA
620  0x0000ec89 0x0040ec89 6   7    .text   ascii   u\bh-lA
621  0x0000ec91 0x0040ec91 4   5    .text   ascii   51HA
622  0x0000ec9c 0x0040ec9c 6   7    .text   ascii   u\bh-lA
623  0x0000ed67 0x0040ed67 4   5    .text   ascii   h%mA
624  0x0000ed95 0x0040ed95 4   5    .text   ascii   h6mA
625  0x0000edc4 0x0040edc4 5   6    .text   ascii   Ph0mA
626  0x0000edfd 0x0040edfd 4   5    .text   ascii   h>mA
627  0x0000eeca 0x0040eeca 4   5    .text   ascii   51HA
628  0x0000ef43 0x0040ef43 8   10   .text   utf8    WVS+ۿFmA blocks=Basic Latin,Arabic
629  0x0000ef85 0x0040ef85 7   9    .text   utf8    8\auĿYnA blocks=Basic Latin,Latin Extended-A
630  0x0000f0fc 0x0040f0fc 4   9    .text   utf16le jjjj
631  0x0000f11f 0x0040f11f 5   6    .text   ascii   Eh\rHA
632  0x0000f19f 0x0040f19f 4   9    .text   utf16le jjjj
633  0x0000f1c2 0x0040f1c2 5   6    .text   ascii   Lh\rHA
634  0x0000f3c7 0x0040f3c7 4   5    .text   ascii   h}pA
635  0x0000f4ba 0x0040f4ba 4   5    .text   ascii   =#KA
636  0x0000f528 0x0040f528 4   5    .text   ascii   51HA
637  0x0000f53a 0x0040f53a 4   5    .text   ascii   h\rHA
638  0x0000f544 0x0040f544 6   7    .text   ascii   PPh%oA
639  0x0000f54c 0x0040f54c 4   5    .text   ascii   51HA
640  0x0000f560 0x0040f560 4   5    .text   ascii   hkpA
641  0x0000f565 0x0040f565 4   5    .text   ascii   h?pA
642  0x0000f576 0x0040f576 6   7    .text   ascii   t hspA
643  0x0000f586 0x0040f586 4   5    .text   ascii   51HA
644  0x0000f598 0x0040f598 4   5    .text   ascii   h0oA
645  0x0000f59e 0x0040f59e 4   5    .text   ascii   51HA
646  0x0000f5ad 0x0040f5ad 4   5    .text   ascii   hooA
647  0x0000f5b3 0x0040f5b3 4   5    .text   ascii   51HA
648  0x0000f5c8 0x0040f5c8 4   5    .text   ascii   51HA
649  0x0000f621 0x0040f621 4   5    .text   ascii   h=`A
650  0x0000f627 0x0040f627 4   5    .text   ascii   51HA
651  0x0000f63e 0x0040f63e 4   5    .text   ascii   h=`A
652  0x0000f681 0x0040f681 4   5    .text   ascii   h=`A
653  0x0000f687 0x0040f687 4   5    .text   ascii   51HA
654  0x0000f69e 0x0040f69e 4   5    .text   ascii   h=`A
655  0x0000f6f1 0x0040f6f1 6   7    .text   ascii   tEh+qA
656  0x0000f70e 0x0040f70e 4   5    .text   ascii   h5qA
657  0x0000f7ae 0x0040f7ae 4   5    .text   ascii   UPh:
658  0x0000fa81 0x0040fa81 5   6    .text   ascii   chVGA
659  0x0000ffac 0x0040ffac 4   5    .text   ascii   hVGA
660  0x0001041b 0x0041041b 4   5    .text   ascii   UVW3
661  0x0001043c 0x0041043c 5   6    .text   ascii   }\ttrS
662  0x00010512 0x00410512 4   5    .text   ascii   !_^]
663  0x0001056b 0x0041056b 4   5    .text   ascii   _^][
664  0x0001059f 0x0041059f 8   10   .text   utf8    +ǐ:\btJO@ blocks=Basic Latin,Latin Extended-B
665  0x00010687 0x00410687 4   6    .text   utf8    #Ո\bR blocks=Basic Latin,Armenian
666  0x00010867 0x00410867 4   5    .text   ascii   \n[_^
667  0x0001087e 0x0041087e 5   6    .text   ascii   \$\bUV
668  0x0001097c 0x0041097c 4   5    .text   ascii   _^][
669  0x000109a7 0x004109a7 4   5    .text   ascii   _^][
670  0x00010aaf 0x00410aaf 4   5    .text   ascii   _^][
671  0x00010ac8 0x00410ac8 5   6    .text   ascii   ri)D$
672  0x00010ada 0x00410ada 4   5    .text   ascii   _^][
673  0x00010b3f 0x00410b3f 4   5    .text   ascii   _^][
674  0x00010b7c 0x00410b7c 6   8    .text   utf8    l$ V3ۋ blocks=Basic Latin,Arabic
675  0x00010cbe 0x00410cbe 5   6    .text   ascii   9T$,v
676  0x00010cc5 0x00410cc5 4   5    .text   ascii   T$,;
677  0x00010cd8 0x00410cd8 4   6    .text   utf8    +ȉL$ blocks=Basic Latin,Latin Extended-B
678  0x00010cde 0x00410cde 4   5    .text   ascii   ;L$,
679  0x00010d0b 0x00410d0b 4   5    .text   ascii   T$0;
680  0x00010d17 0x00410d17 4   5    .text   ascii   +l$(
681  0x00010d2e 0x00410d2e 4   5    .text   ascii   l$(;
682  0x00010d3d 0x00410d3d 4   5    .text   ascii   vGSQ
683  0x00010d8c 0x00410d8c 4   5    .text   ascii   uFSQ
684  0x00010dac 0x00410dac 5   7    .text   utf8    +͋l$( blocks=Basic Latin,Combining Diacritical Marks
685  0x00010f6d 0x00410f6d 4   5    .text   ascii   \$X;
686  0x00010f9d 0x00410f9d 5   6    .text   ascii   +L$PR
687  0x00010fa8 0x00410fa8 5   6    .text   ascii   +T$PQ
688  0x00010fae 0x00410fae 5   6    .text   ascii   L$\RQ
689  0x00010fe8 0x00410fe8 4   5    .text   ascii   T$4R
690  0x0001100e 0x0041100e 6   7    .text   ascii   9D$(ub
691  0x0001101d 0x0041101d 4   5    .text   ascii   9D$8
692  0x00011038 0x00411038 5   6    .text   ascii   L$8WQ
693  0x0001104f 0x0041104f 4   5    .text   ascii   D$8=
694  0x00011080 0x00411080 7   9    .text   utf8    +ÉD$ HP blocks=Basic Latin,Latin-1 Supplement
695  0x0001108f 0x0041108f 4   5    .text   ascii   D$LP
696  0x0001109b 0x0041109b 7   8    .text   ascii   L$(9L$@
697  0x000110bf 0x004110bf 5   6    .text   ascii   D$DPQ
698  0x000110cc 0x004110cc 4   5    .text   ascii   L$$+
699  0x000110e6 0x004110e6 4   5    .text   ascii   L$,Q
700  0x000110f6 0x004110f6 6   8    .text   utf8    ؋D$@RP blocks=Arabic,Basic Latin
701  0x00011104 0x00411104 6   9    .text   utf8    +؋Ë\$X blocks=Basic Latin,Arabic,Latin-1 Supplement
702  0x00011116 0x00411116 4   5    .text   ascii   D$D;
703  0x00011127 0x00411127 8   9    .text   ascii   v89l$D|0
704  0x00011130 0x00411130 5   6    .text   ascii   L$(UQ
705  0x00011141 0x00411141 6   8    .text   utf8    ؋D$@RP blocks=Arabic,Basic Latin
706  0x0001114f 0x0041114f 7   9    .text   utf8    ;Ë\$X}\b blocks=Basic Latin,Latin-1 Supplement
707  0x00011161 0x00411161 8   9    .text   ascii   uM9l$D}G
708  0x0001117f 0x0041117f 6   8    .text   utf8    ؋D$@RP blocks=Arabic,Basic Latin
709  0x0001118e 0x0041118e 5   6    .text   ascii   L$(UQ
710  0x0001119e 0x0041119e 7   9    .text   utf8    ;؋\$X~\n blocks=Basic Latin,Arabic
711  0x000111db 0x004111db 4   5    .text   ascii   L$<Q
712  0x000111e7 0x004111e7 7   8    .text   ascii   D$0;D$(
713  0x000111ef 0x004111ef 4   5    .text   ascii   T$4R
714  0x000111fe 0x004111fe 6   8    .text   utf8    ؋D$(UP blocks=Arabic,Basic Latin
715  0x00011221 0x00411221 6   8    .text   utf8    ؋D$(UP blocks=Arabic,Basic Latin
716  0x00011244 0x00411244 4   6    .text   utf8    ʋD$4 blocks=IPA Extensions,Basic Latin
717  0x00011260 0x00411260 5   6    .text   ascii   T$0PR
718  0x0001126d 0x0041126d 6   8    .text   utf8    ؋D$(UP blocks=Arabic,Basic Latin
719  0x000112b2 0x004112b2 4   5    .text   ascii   L$<Q
720  0x000112c6 0x004112c6 4   5    .text   ascii   \$(;
721  0x000112d9 0x004112d9 4   6    .text   utf8    ΉD$, blocks=Greek and Coptic,Basic Latin
722  0x000112e4 0x004112e4 5   7    .text   utf8    L$$+Y
723  0x000112fe 0x004112fe 4   6    .text   utf8    ΉD$, blocks=Greek and Coptic,Basic Latin
724  0x00011309 0x00411309 5   7    .text   utf8    ȋD$$+ blocks=Latin Extended-B,Basic Latin
725  0x00011321 0x00411321 4   6    .text   utf8    ʋD$4 blocks=IPA Extensions,Basic Latin
726  0x0001133d 0x0041133d 5   6    .text   ascii   T$0PR
727  0x0001134a 0x0041134a 6   8    .text   utf8    ؋D$(UP blocks=Arabic,Basic Latin
728  0x0001139b 0x0041139b 4   5    .text   ascii   L$<Q
729  0x000113a0 0x004113a0 4   6    .text   utf8    Ή\$$ blocks=Greek and Coptic,Basic Latin
730  0x000113aa 0x004113aa 6   7    .text   ascii   9|$4r4
731  0x000113b1 0x004113b1 5   6    .text   ascii   T$0WR
732  0x000113be 0x004113be 6   8    .text   utf8    ؋D$8WP blocks=Arabic,Basic Latin
733  0x000113cc 0x004113cc 4   6    .text   utf8    ;Ë\$ blocks=Basic Latin,Latin-1 Supplement
734  0x000113f3 0x004113f3 5   6    .text   ascii   L$8WQ
735  0x0001140a 0x0041140a 4   5    .text   ascii   \$(;
736  0x0001142a 0x0041142a 4   6    .text   utf8    ΉD$, blocks=Greek and Coptic,Basic Latin
737  0x0001143f 0x0041143f 4   5    .text   ascii   L$(R
738  0x0001144b 0x0041144b 6   8    .text   utf8    ؋D$8WP blocks=Arabic,Basic Latin
739  0x0001145e 0x0041145e 11  14   .text   utf8    ؋D$$;Ë\$X~I blocks=Arabic,Basic Latin,Latin-1 Supplement
740  0x00011472 0x00411472 4   5    .text   ascii   D$8;
741  0x000114a2 0x004114a2 5   6    .text   ascii   L$8WQ
742  0x000114fc 0x004114fc 5   6    .text   ascii   L$(UQ
743  0x0001150f 0x0041150f 4   5    .text   ascii   D$(;
744  0x0001156d 0x0041156d 5   6    .text   ascii   D$(UP
745  0x000115ca 0x004115ca 4   5    .text   ascii   ;|$<
746  0x000115f1 0x004115f1 4   5    .text   ascii   L$<Q
747  0x000115f6 0x004115f6 4   6    .text   utf8    Ήl$$ blocks=Greek and Coptic,Basic Latin
748  0x00011600 0x00411600 6   7    .text   ascii   9|$4r4
749  0x00011607 0x00411607 5   6    .text   ascii   T$0WR
750  0x00011616 0x00411616 5   6    .text   ascii   D$8WP
751  0x00011622 0x00411622 4   6    .text   utf8    ;ŋl$ blocks=Basic Latin,Latin Extended-A
752  0x00011649 0x00411649 5   6    .text   ascii   L$8WQ
753  0x0001165c 0x0041165c 4   5    .text   ascii   D$8;
754  0x00011686 0x00411686 4   5    .text   ascii   t\rWP
755  0x000116b6 0x004116b6 5   6    .text   ascii   D$TCH
756  0x000116bc 0x004116bc 4   5    .text   ascii   \$X;
757  0x000116eb 0x004116eb 5   6    .text   ascii   T$8WR
758  0x000116fe 0x004116fe 4   5    .text   ascii   D$8;
759  0x00011734 0x00411734 4   5    .text   ascii   6][_
760  0x00011857 0x00411857 5   6    .text   ascii   +T$PQ
761  0x00011862 0x00411862 7   8    .text   ascii   +L$PRQW
762  0x00011884 0x00411884 8   9    .text   ascii   +D$P][_^
763  0x000118a2 0x004118a2 7   9    .text   utf8    D\b@ËD$\f blocks=Basic Latin,Latin-1 Supplement
764  0x0001197b 0x0041197b 4   6    .text   utf8    D5ȈD blocks=Basic Latin,Latin Extended-B
765  0x000119a7 0x004119a7 4   6    .text   utf8    D5ȈD blocks=Basic Latin,Latin Extended-B
766  0x00011b92 0x00411b92 4   6    .text   utf8    \tI\n[
767  0x00011bee 0x00411bee 4   5    .text   ascii   \fSVW
768  0x00011c39 0x00411c39 6   8    .text   utf8    33331ډ blocks=Basic Latin,Arabic
769  0x00011c5b 0x00411c5b 4   6    .text   utf8    \b1Ήu blocks=Basic Latin,Greek and Coptic
770  0x00011dfa 0x00411dfa 4   9    .text   utf8    1ȉÁ㪪 blocks=Basic Latin,Latin Extended-B,Latin-1 Supplement,CJK Unified Ideographs Extension A
771  0x00011e19 0x00411e19 4   7    .text   utf8    \b1ȉÁ blocks=Basic Latin,Latin Extended-B,Latin-1 Supplement
772  0x00011e38 0x00411e38 6   8    .text   utf8    33331ى blocks=Basic Latin,Arabic
773  0x00011e6c 0x00411e6c 4   6    .text   utf8    1ڋE\b blocks=Basic Latin,Arabic
774  0x00011e8d 0x00411e8d 4   5    .text   ascii   \$\ff
775  0x00011eab 0x00411eab 4   5    .text   ascii   h|sA
776  0x00011ef2 0x00411ef2 4   5    .text   ascii   h|sA
777  0x00011f6c 0x00411f6c 4   5    .text   ascii   h|sA
778  0x00011f7a 0x00411f7a 4   5    .text   ascii   h|sA
779  0x00011fef 0x00411fef 4   5    .text   ascii   h|tA
780  0x000120ad 0x004120ad 4   5    .text   ascii   h|tA
781  0x0001217c 0x0041217c 4   5    .text   ascii   h|sA
782  0x000121ac 0x004121ac 4   5    .text   ascii   \$\bS
783  0x000121e0 0x004121e0 4   5    .text   ascii   =|tA
784  0x000121ed 0x004121ed 4   5    .text   ascii   \$\bS
785  0x00012221 0x00412221 4   5    .text   ascii   =|tA
786  0x000122a0 0x004122a0 4   5    .text   ascii   h|sA
787  0x000122ae 0x004122ae 4   5    .text   ascii   h|sA
788  0x000122bc 0x004122bc 4   5    .text   ascii   h|sA
789  0x00012358 0x00412358 4   5    .text   ascii   h|tA
790  0x000123f9 0x004123f9 4   5    .text   ascii   PPSV
791  0x00013000 0x00413000 164 165  .rdata  ascii   \r\n\r\naPLib v1.01  -  the smaller the better :)\r\nCopyright (c) 1998-2009 by Joergen Ibsen, All Rights Reserved.\r\n\r\nMore information: http://www.ibsensoftware.com/\r\n\r\n
792  0x000130ec 0x004130ec 4   6    .rdata  utf8    ݢb-o blocks=Arabic Supplement,Basic Latin
793  0x000130f2 0x004130f2 5   6    .rdata  ascii   \vW-\n\b
