[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
966  0x0001b2d9 0x00424cd9 24  25           ascii   Symantec Corporation100.
967  0x0001b2f7 0x00424cf7 41  42           ascii   'Symantec Time Stamping Services CA - G20
968  0x0001b322 0x00424d22 14  15           ascii   \r121018000000Z
969  0x0001b331 0x00424d31 20  21           ascii   \r201229235959Z0b1\v0\t
970  0x0001b359 0x00424d59 24  25           ascii   Symantec Corporation1402
971  0x0001b377 0x00424d77 45  46           ascii   +Symantec Time Stamping Services Signer - G40
972  0x0001b3c5 0x00424dc5 4   5            ascii   c\v9D
973  0x0001b3f0 0x00424df0 5   7            utf8    پay\v[ blocks=Arabic,Basic Latin
974  0x0001b418 0x00424e18 4   5            ascii   2oNW
975  0x0001b43b 0x00424e3b 4   5            ascii   a;EQ
976  0x0001b481 0x00424e81 4   6            utf8    h֨tw blocks=Basic Latin,Hebrew
977  0x0001b514 0x00424f14 5   6            ascii   g0e0*
978  0x0001b525 0x00424f25 32  33           ascii   http://ts-ocsp.ws.symantec.com07
979  0x0001b550 0x00424f50 46  47           ascii   +http://ts-aia.ws.symantec.com/tss-ca-g2.cer0<
980  0x0001b584 0x00424f84 5   6            ascii   50301
981  0x0001b58e 0x00424f8e 46  47           ascii   +http://ts-crl.ws.symantec.com/tss-ca-g2.crl0(
982  0x0001b5d4 0x00424fd4 17  18           ascii   TimeStamp-2048-20
983  0x0001b641 0x00425041 4   5            ascii   b07x
984  0x0001b66b 0x0042506b 4   5            ascii   ,&c3
985  0x0001b670 0x00425070 4   5            ascii   Idm\r
986  0x0001b68b 0x0042508b 4   8            utf8    ͕tܶ\ blocks=Combining Diacritical Marks,Basic Latin,Syriac
987  0x0001b6ac 0x004250ac 5   6            ascii   \vnO^
988  0x0001b6b2 0x004250b2 5   6            ascii   EFAn\r
989  0x0001b6ee 0x004250ee 4   5            ascii   ,/I\e
990  0x0001b705 0x00425105 5   6            ascii   y3+.{
991  0x0001b720 0x00425120 6   8            utf8    ɿ>"hcS blocks=IPA Extensions,Basic Latin
992  0x0001b766 0x00425166 6   7            ascii   0}1\v0\t
993  0x0001b773 0x00425173 5   6            ascii   GB1\e0
994  0x0001b780 0x00425180 19  20           ascii   Greater Manchester1
995  0x0001b79c 0x0042519c 9   10           ascii   \aSalford1
996  0x0001b7af 0x004251af 21  22           ascii   COMODO CA Limited1#0!
997  0x0001b7cb 0x004251cb 27  28           ascii   COMODO RSA Code Signing CA0
998  0x0001b7e8 0x004251e8 14  15           ascii   \r181107000000Z
999  0x0001b7f7 0x004251f7 15  16           ascii   \r211106235959Z0
1000 0x0001b808 0x00425208 4   5            ascii   1\v0\t
1001 0x0001b820 0x00425220 6   7            ascii   781201
1002 0x0001b82d 0x0042522d 12  13           ascii   \b\f\bYvelines1
1003 0x0001b840 0x00425240 18  19           ascii   \a\f\vRambouillet1$0"
1004 0x0001b856 0x00425256 31  32           ascii   \t\f\e16 rue du General de Gaulle1
1005 0x0001b87f 0x0042527f 21  22           ascii   Lauyan Software Sarl1
1006 0x0001b89e 0x0042529e 21  22           ascii   Lauyan Software Sarl0
1007 0x0001b8fe 0x004252fe 5   6            ascii   DShc7
1008 0x0001b90b 0x0042530b 5   6            ascii   ?\bIe\r
1009 0x0001b919 0x00425319 5   6            ascii   W\nL^U
1010 0x0001b94f 0x0042534f 5   6            ascii   ;:'`X
1011 0x0001b959 0x00425359 4   5            ascii   NjHm
1012 0x0001ba6e 0x0042546e 5   6            ascii   ?0=0;
1013 0x0001ba81 0x00425481 4   5            ascii   0+0)
1014 0x0001ba91 0x00425491 31  32           ascii   https://secure.comodo.net/CPS0C
1015 0x0001bab6 0x004254b6 5   6            ascii   <0:08
1016 0x0001bac0 0x004254c0 53  54           ascii   2http://crl.comodoca.com/COMODORSACodeSigningCA.crl0t
1017 0x0001bb00 0x00425500 5   6            ascii   h0f0>
1018 0x0001bb10 0x00425510 53  54           ascii   2http://crt.comodoca.com/COMODORSACodeSigningCA.crt0$
1019 0x0001bb51 0x00425551 25  26           ascii   http://ocsp.comodoca.com0
1020 0x0001bb76 0x00425576 20  21           ascii   contact@lauyan.com0\r
1021 0x0001bbc1 0x004255c1 4   7            utf8    {j萴Q blocks=Basic Latin,CJK Unified Ideographs
1022 0x0001bc26 0x00425626 4   5            ascii   u(]\b
1023 0x0001bc32 0x00425632 4   6            utf8    «cb8 blocks=Latin-1 Supplement,Basic Latin
1024 0x0001bc3f 0x0042563f 4   5            ascii   eP#7
1025 0x0001bc6d 0x0042566d 4   5            ascii   \v'pa
1026 0x0001bc73 0x00425673 4   5            ascii   $[;%
1027 0x0001bccd 0x004256cd 4   5            ascii   1\v0\t
1028 0x0001bcd8 0x004256d8 5   6            ascii   GB1\e0
1029 0x0001bce5 0x004256e5 19  20           ascii   Greater Manchester1
1030 0x0001bd01 0x00425701 9   10           ascii   \aSalford1
1031 0x0001bd14 0x00425714 21  22           ascii   COMODO CA Limited1+0)
1032 0x0001bd2f 0x0042572f 36  37           ascii   "COMODO RSA Certification Authority0
1033 0x0001bd55 0x00425755 14  15           ascii   \r100119000000Z
1034 0x0001bd64 0x00425764 15  16           ascii   \r380118235959Z0
1035 0x0001bd75 0x00425775 4   5            ascii   1\v0\t
1036 0x0001bd80 0x00425780 5   6            ascii   GB1\e0
1037 0x0001bd8d 0x0042578d 19  20           ascii   Greater Manchester1
1038 0x0001bda9 0x004257a9 9   10           ascii   \aSalford1
1039 0x0001bdbc 0x004257bc 21  22           ascii   COMODO CA Limited1+0)
1040 0x0001bdd7 0x004257d7 36  37           ascii   "COMODO RSA Certification Authority0
1041 0x0001bebd 0x004258bd 5   7            utf8    xH0Eխ blocks=Basic Latin,Armenian
1042 0x0001bec4 0x004258c4 4   5            ascii   \r<E`
1043 0x0001beeb 0x004258eb 7   9            utf8    ́HCgNr* blocks=Combining Diacritical Marks,Basic Latin
1044 0x0001bf06 0x00425906 5   6            ascii   \tFNm>
1045 0x0001bf10 0x00425910 5   6            ascii   |3WA<
1046 0x0001bf9f 0x0042599f 4   5            ascii   PjUF
1047 0x0001bfd9 0x004259d9 4   5            ascii   3:.\
1048 0x0001bfe4 0x004259e4 4   7            utf8    qk+즊 blocks=Basic Latin,Hangul Syllables
1049 0x0001bfeb 0x004259eb 5   6            ascii   1\:jG
1050 0x0001c021 0x00425a21 4   5            ascii   B0@0
1051 0x0001c0b0 0x00425ab0 4   5            ascii   Dla5
1052 0x0001c0e0 0x00425ae0 5   6            ascii   s\tXFn
1053 0x0001c105 0x00425b05 5   6            ascii   \a$iWx
1054 0x0001c174 0x00425b74 4   5            ascii   jc!u
1055 0x0001c1c3 0x00425bc3 4   5            ascii   .i<l
1056 0x0001c275 0x00425c75 4   5            ascii   \e_t0
1057 0x0001c2a9 0x00425ca9 4   5            ascii   1\v0\t
1058 0x0001c2b4 0x00425cb4 5   6            ascii   GB1\e0
1059 0x0001c2c1 0x00425cc1 19  20           ascii   Greater Manchester1
1060 0x0001c2dd 0x00425cdd 9   10           ascii   \aSalford1
1061 0x0001c2f0 0x00425cf0 21  22           ascii   COMODO CA Limited1+0)
1062 0x0001c30b 0x00425d0b 36  37           ascii   "COMODO RSA Certification Authority0
1063 0x0001c331 0x00425d31 14  15           ascii   \r130509000000Z
1064 0x0001c340 0x00425d40 20  21           ascii   \r280508235959Z0}1\v0\t
1065 0x0001c35b 0x00425d5b 5   6            ascii   GB1\e0
1066 0x0001c368 0x00425d68 19  20           ascii   Greater Manchester1
1067 0x0001c384 0x00425d84 9   10           ascii   \aSalford1
1068 0x0001c397 0x00425d97 21  22           ascii   COMODO CA Limited1#0!
1069 0x0001c3b3 0x00425db3 27  28           ascii   COMODO RSA Code Signing CA0
1070 0x0001c450 0x00425e50 4   5            ascii   #KKc
1071 0x0001c467 0x00425e67 4   5            ascii   ?aa\n
1072 0x0001c478 0x00425e78 4   6            utf8    yZ\bͻ blocks=Basic Latin,Greek and Coptic
1073 0x0001c484 0x00425e84 5   6            ascii   :3FPs
1074 0x0001c4e3 0x00425ee3 4   5            ascii   ^Lby
1075 0x0001c57c 0x00425f7c 4   5            ascii   \n0\b0
1076 0x0001c58f 0x00425f8f 5   6            ascii   E0C0A
1077 0x0001c599 0x00425f99 62  63           ascii   ;http://crl.comodoca.com/COMODORSACertificationAuthority.crl0q
1078 0x0001c5e2 0x00425fe2 5   6            ascii   e0c0;
1079 0x0001c5f2 0x00425ff2 50  51           ascii   /http://crt.comodoca.com/COMODORSAAddTrustCA.crt0$
1080 0x0001c630 0x00426030 26  27           ascii   http://ocsp.comodoca.com0\r
1081 0x0001c6ac 0x004260ac 4   5            ascii   TQ-R
1082 0x0001c6c2 0x004260c2 4   5            ascii   DvWj
1083 0x0001c6ea 0x004260ea 4   5            ascii   e\t#I
1084 0x0001c6f3 0x004260f3 4   5            ascii   ~ wa
1085 0x0001c703 0x00426103 4   5            ascii   zi'e
1086 0x0001c70c 0x0042610c 4   5            ascii   {:Q9
1087 0x0001c742 0x00426142 5   6            ascii   SN20s
1088 0x0001c77b 0x0042617b 4   5            ascii   L\bJz
1089 0x0001c796 0x00426196 4   5            ascii   XaJ\n
1090 0x0001c7d6 0x004261d6 7   10           utf8    v}dЎξ5} blocks=Basic Latin,Cyrillic,Greek and Coptic
1091 0x0001c83b 0x0042623b 4   6            utf8    H[Ե7 blocks=Basic Latin,Armenian
1092 0x0001c841 0x00426241 4   5            ascii   FA|\a
1093 0x0001c86a 0x0042626a 6   7            ascii   0}1\v0\t
1094 0x0001c877 0x00426277 5   6            ascii   GB1\e0
1095 0x0001c884 0x00426284 19  20           ascii   Greater Manchester1
1096 0x0001c8a0 0x004262a0 9   10           ascii   \aSalford1
1097 0x0001c8b3 0x004262b3 21  22           ascii   COMODO CA Limited1#0!
1098 0x0001c8cf 0x004262cf 26  27           ascii   COMODO RSA Code Signing CA
1099 0x0001c96c 0x0042636c 4   5            ascii   q'J2
1100 0x0001c9c0 0x004263c0 4   5            ascii   <{Mm
1101 0x0001ca05 0x00426405 4   5            ascii   )c4\e
1102 0x0001ca75 0x00426475 5   6            ascii   -\fTih
1103 0x0001caa8 0x004264a8 8   9            ascii   0r0^1\v0\t
1104 0x0001cac4 0x004264c4 24  25           ascii   Symantec Corporation100.
1105 0x0001cae2 0x004264e2 40  41           ascii   'Symantec Time Stamping Services CA - G2
1106 0x0001cb53 0x00426553 16  17           ascii   \r190918111626Z0#
1107 0x0001cbd4 0x004265d4 5   7            utf8    \vĕ\e(M blocks=Basic Latin,Latin Extended-A
1108 0x0001cbe9 0x004265e9 5   7            utf8    \b[:|Ł blocks=Basic Latin,Latin Extended-A
1109 0x0001cc1a 0x0042661a 4   5            ascii   \rRe8
1110 0x0001cc2b 0x0042662b 4   5            ascii   5k?\b
1111 0x0001cc46 0x00426646 6   8            utf8    јTi2!% blocks=Cyrillic,Basic Latin

