[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000138 0x00000138 5   6            ascii   drws1
1    0x0000015f 0x0000015f 6   7            ascii   `drws2
2    0x00000188 0x00000188 5   6            ascii   drws3
3    0x000001af 0x000001af 6   7            ascii   @drws4
993  0x00010b18 0x00410b18 8   10   drws1   utf8    rȋT$(9T$ blocks=Basic Latin,Latin Extended-B
994  0x00010b61 0x00410b61 4   5    drws1   ascii   =t'D
995  0x00010b6b 0x00410b6b 5   6    drws1   ascii   j\t_ui
996  0x00010b8c 0x00410b8c 5   7    drws1   utf8    +ЋD$( blocks=Basic Latin,Cyrillic
997  0x00010bb1 0x00410bb1 8   9    drws1   ascii   D$0Pj@UV
998  0x00010bd4 0x00410bd4 4   5    drws1   ascii   =p'D
999  0x00010c2b 0x00410c2b 4   5    drws1   ascii   ^]_[
1000 0x00010c35 0x00410c35 4   5    drws1   ascii   j<h(
1001 0x00010cde 0x00410cde 5   9    drws1   utf8    ΉMȋÉE blocks=Greek and Coptic,Basic Latin,Latin Extended-B,Latin-1 Supplement
1002 0x00010cf4 0x00410cf4 5   8    drws1   utf8    щU\vB\b blocks=Cyrillic,Basic Latin
1003 0x00010d12 0x00410d12 6   9    drws1   utf8    3IE؋r\f blocks=Basic Latin,Arabic
1004 0x00010d26 0x00410d26 5   8    drws1   utf8    uԋE\v@ blocks=Basic Latin,Cyrillic Supplement
1005 0x00010d50 0x00410d50 5   7    drws1   utf8    SSW3ҋ blocks=Basic Latin,Cyrillic
1006 0x00010d94 0x00410d94 5   8    drws1   utf8    EȉE\vH blocks=Basic Latin,Latin Extended-B
1007 0x00010e1a 0x00410e1a 4   6    drws1   utf8    E\v@\f
1008 0x00010e91 0x00410e91 4   5    drws1   ascii   Q<VW
1009 0x00010ebe 0x00410ebe 4   6    drws1   utf8    ID$(
1010 0x00010ec7 0x00410ec7 7   10   drws1   utf8    KމD$ 9_ blocks=Basic Latin,Thaana
1011 0x00010f38 0x00410f38 7   10   drws1   utf8    T$$뢋D$( blocks=Basic Latin,Hangul Syllables
1012 0x00010f5e 0x00410f5e 4   5    drws1   ascii   w%+W
1013 0x00010f87 0x00410f87 4   5    drws1   ascii   _^][
1014 0x00010f8f 0x00410f8f 4   5    drws1   ascii   j\fh8
1015 0x00010fc3 0x00410fc3 5   6    drws1   ascii   QQSUV
1016 0x00011014 0x00411014 4   7    drws1   utf8    ҋȉL$ blocks=Cyrillic,Latin Extended-B,Basic Latin
1017 0x00011056 0x00411056 4   5    drws1   ascii   9\at\n
1018 0x00011066 0x00411066 6   7    drws1   ascii   _^][YY
1019 0x00011097 0x00411097 4   6    drws1   utf8    ÉD$\f blocks=Latin-1 Supplement,Basic Latin
1020 0x000110e4 0x004110e4 4   5    drws1   ascii   D$(X
1021 0x000110e9 0x004110e9 5   6    drws1   ascii   D$ tB
1022 0x00011122 0x00411122 4   5    drws1   ascii   D$ @
1023 0x00011127 0x00411127 8   9    drws1   ascii   D$ ;D$$r
1024 0x0001113c 0x0041113c 6   7    drws1   ascii   _^][YY
1025 0x000111ca 0x004111ca 4   6    drws1   utf8    3\tO\b
1026 0x00011221 0x00411221 4   6    drws1   utf8    3\tw\b
1027 0x00011252 0x00411252 5   6    drws1   ascii   9p\bta
1028 0x00011262 0x00411262 4   5    drws1   ascii   |$\fv
1029 0x0001129b 0x0041129b 4   5    drws1   ascii   t\eWV
1030 0x000112a0 0x004112a0 4   5    drws1   ascii   L$ Q
1031 0x000112d8 0x004112d8 5   6    drws1   ascii   9_\btJ
1032 0x00011309 0x00411309 4   5    drws1   ascii   O\bPS
1033 0x00011502 0x00411502 4   5    drws1   ascii   Uj0]
1034 0x000115d0 0x004115d0 4   5    drws1   ascii   j\bX[
1035 0x000115e2 0x004115e2 5   6    drws1   ascii   tWVW3
1036 0x000115fd 0x004115fd 4   5    drws1   ascii   Uj0]
1037 0x00011637 0x00411637 5   7    drws1   utf8    3^[Ã# blocks=Basic Latin,Latin-1 Supplement
1038 0x0001163e 0x0041163e 6   9    drws1   utf8    j\bX[ËK blocks=Basic Latin,Latin-1 Supplement
1039 0x0001167a 0x0041167a 8   9    drws1   ascii   =ERCPt\a3
1040 0x00011688 0x00411688 5   6    drws1   ascii   VWj\nY
1041 0x0001178a 0x0041178a 4   5    drws1   ascii   ^][Y
1042 0x0001179c 0x0041179c 4   5    drws1   ascii   SVj\e
1043 0x000117a7 0x004117a7 4   5    drws1   ascii   @\bJu
1044 0x000117e9 0x004117e9 4   5    drws1   ascii   5|'D
1045 0x00011801 0x00411801 4   5    drws1   ascii   5|'D
1046 0x00011842 0x00411842 4   5    drws1   ascii   \r|'D
1047 0x0001187d 0x0041187d 4   5    drws1   ascii   SVW3
1048 0x000118d0 0x004118d0 4   5    drws1   ascii   ^[t.
1049 0x0001190c 0x0041190c 4   5    drws1   ascii   5x'D
1050 0x0001194a 0x0041194a 5   6    drws1   ascii   tASUW
1051 0x000119d8 0x004119d8 4   5    drws1   ascii   _^][
1052 0x000119e2 0x004119e2 4   5    drws1   ascii   $SUV
1053 0x000119e7 0x004119e7 4   5    drws1   ascii   5x'D
1054 0x00011aa4 0x00411aa4 4   5    drws1   ascii   _^][
1055 0x00011aae 0x00411aae 6   7    drws1   ascii   QSUVW3
1056 0x00011ae8 0x00411ae8 5   6    drws1   ascii   t$ UV
1057 0x00011b1b 0x00411b1b 4   5    drws1   ascii   \fVW3
1058 0x00011b4a 0x00411b4a 4   5    drws1   ascii   tX9}
1059 0x00011c0d 0x00411c0d 4   5    drws1   ascii    SUV
1060 0x00011c12 0x00411c12 4   5    drws1   ascii   t$0W
1061 0x00011c20 0x00411c20 4   5    drws1   ascii   f98Q
1062 0x00011ca4 0x00411ca4 4   5    drws1   ascii   |$4f
1063 0x00011ca9 0x00411ca9 4   5    drws1   ascii   D$ 3
1064 0x00011cbd 0x00411cbd 5   6    drws1   ascii   D$ PQ
1065 0x00011d1a 0x00411d1a 7   8    drws1   ascii   D$4_^][
1066 0x00011d3b 0x00411d3b 4   6    drws1   utf8    Ή|$$ blocks=Greek and Coptic,Basic Latin
1067 0x00011d5d 0x00411d5d 4   5    drws1   ascii   uA9^
1068 0x00011d6b 0x00411d6b 5   6    drws1   ascii   VHSf9
1069 0x00011dd8 0x00411dd8 4   5    drws1   ascii   \fNxd
1070 0x00011e26 0x00411e26 5   6    drws1   ascii   x\fQWP
1071 0x00011ede 0x00411ede 5   6    drws1   ascii   u\rQQj
1072 0x00011f31 0x00411f31 4   5    drws1   ascii   HQf9
1073 0x00011f3e 0x00411f3e 5   6    drws1   ascii   D$0PQ
1074 0x00011f59 0x00411f59 4   5    drws1   ascii   L$$V
1075 0x00011f78 0x00411f78 4   5    drws1   ascii   _^][
1076 0x00011f85 0x00411f85 4   5    drws1   ascii   QSVW
1077 0x00011fe2 0x00411fe2 4   5    drws1   ascii   Hu\nW
1078 0x00011ff1 0x00411ff1 4   5    drws1   ascii   _^[Y
1079 0x00012068 0x00412068 4   5    drws1   ascii   Qj'P
1080 0x000120ac 0x004120ac 4   5    drws1   ascii   Pj,P
1081 0x0001213a 0x0041213a 4   5    drws1   ascii   ht)+
1082 0x00012143 0x00412143 4   5    drws1   ascii   ^tD+
1083 0x0001214c 0x0041214c 4   5    drws1   ascii   u'VQ
1084 0x000121bb 0x004121bb 4   6    drws1   utf8    EԄ{@ blocks=Basic Latin,Cyrillic Supplement
1085 0x00012229 0x00412229 4   5    drws1   ascii   D$\bP
1086 0x0001224d 0x0041224d 5   6    drws1   ascii   T$\bV3
1087 0x00012262 0x00412262 9   10   drws1   ascii   t-HHt!HHt
1088 0x000122f2 0x004122f2 4   5    drws1   ascii   Ej\bY
1089 0x0001233c 0x0041233c 4   5    drws1   ascii   _^][
1090 0x00012349 0x00412349 5   6    drws1   ascii   \fSUV3
1091 0x00012372 0x00412372 5   6    drws1   ascii   SSSSS
1092 0x000123e7 0x004123e7 4   5    drws1   ascii   _^][
1093 0x000123f8 0x004123f8 5   6    drws1   ascii   t$,Wj
1094 0x0001240f 0x0041240f 4   5    drws1   ascii   Yj\bZ
1095 0x00012467 0x00412467 5   6    drws1   ascii   t+j-3
1096 0x0001247c 0x0041247c 5   7    drws1   utf8    ǋL$8k blocks=Latin Extended-B,Basic Latin
1097 0x000124a0 0x004124a0 4   5    drws1   ascii   _^][
1098 0x000124b3 0x004124b3 4   5    drws1   ascii   SUVW
1099 0x000124f8 0x004124f8 5   6    drws1   ascii   T$ Y2
1100 0x00012511 0x00412511 4   5    drws1   ascii   D$$P
1101 0x00012516 0x00412516 5   6    drws1   ascii   D$ PV
1102 0x00012543 0x00412543 4   5    drws1   ascii   D$$P
1103 0x00012548 0x00412548 5   6    drws1   ascii   D$ PV
1104 0x00012584 0x00412584 4   5    drws1   ascii   _^][
1105 0x000125ad 0x004125ad 4   6    drws1   utf8    ډ|$, blocks=Arabic,Basic Latin
1106 0x000125fa 0x004125fa 4   5    drws1   ascii   j|Yf
1107 0x00012603 0x00412603 4   5    drws1   ascii   f90u
1108 0x00012609 0x00412609 4   5    drws1   ascii   D$$P
1109 0x00012614 0x00412614 6   7    drws1   ascii   T$@jUY
1110 0x00012621 0x00412621 4   5    drws1   ascii   D$$P
1111 0x00012627 0x00412627 4   5    drws1   ascii   D$*P
1112 0x0001262d 0x0041262d 5   6    drws1   ascii   D$2PW
1113 0x0001263b 0x0041263b 4   5    drws1   ascii   D$TP
1114 0x00012640 0x00412640 6   9    drws1   utf8    D$(VP蛀 blocks=Basic Latin,CJK Unified Ideographs
1115 0x00012679 0x00412679 4   5    drws1   ascii   tWjV
1116 0x0001267e 0x0041267e 4   5    drws1   ascii   T$8Y
1117 0x00012688 0x00412688 5   6    drws1   ascii   D$4PW
1118 0x000126a1 0x004126a1 4   5    drws1   ascii   9E\bt
1119 0x000126be 0x004126be 4   5    drws1   ascii   PVWj
1120 0x00012755 0x00412755 4   5    drws1   ascii   Ht%j
1121 0x000127a9 0x004127a9 7   8    drws1   ascii   FPHHu!j
1122 0x000128b9 0x004128b9 5   6    drws1   ascii   G;~\br
1123 0x000128d7 0x004128d7 4   5    drws1   ascii   _^][
1124 0x00012914 0x00412914 5   6    drws1   ascii   L$\fWQ
1125 0x00012934 0x00412934 4   6    drws1   utf8    ~4;Ћ blocks=Basic Latin,Cyrillic
1126 0x0001293d 0x0041293d 4   6    drws1   utf8    +щVl blocks=Basic Latin,Cyrillic
1127 0x00012947 0x00412947 6   8    drws1   utf8    )\n+ID$
1128 0x00012954 0x00412954 4   5    drws1   ascii   T$\fW
1129 0x0001298c 0x0041298c 4   5    drws1   ascii   FPHH
1130 0x00012a1c 0x00412a1c 4   5    drws1   ascii   Fd+E
1131 0x00012a76 0x00412a76 4   5    drws1   ascii   QSUW
1132 0x00012a7f 0x00412a7f 4   5    drws1   ascii   \a,y@
1133 0x00012ad3 0x00412ad3 4   5    drws1   ascii   j\bUP
1134 0x00012b18 0x00412b18 4   5    drws1   ascii   _][Y
1135 0x00012b9b 0x00412b9b 4   6    drws1   utf8    ȉL$\b blocks=Latin Extended-B,Basic Latin
1136 0x00012bb1 0x00412bb1 6   10   drws1   utf8    ŋЋˉD$\f blocks=Latin Extended-A,Cyrillic,Spacing Modifier Letters,Basic Latin
1137 0x00012bcb 0x00412bcb 4   5    drws1   ascii   t$ W
1138 0x00012bdd 0x00412bdd 4   5    drws1   ascii   t$0f
1139 0x00012c01 0x00412c01 5   6    drws1   ascii   _][YY
1140 0x00012c1f 0x00412c1f 4   5    drws1   ascii   L$\fV
1141 0x00012c90 0x00412c90 4   5    drws1   ascii   D$\b=
1142 0x00012ce8 0x00412ce8 4   5    drws1   ascii   SVW3
1143 0x00012d07 0x00412d07 6   7    drws1   ascii   D$4<y@
1144 0x00012d77 0x00412d77 4   5    drws1   ascii   8_\bu
1145 0x00012da3 0x00412da3 5   6    drws1   ascii   D$(VP
1146 0x00012db1 0x00412db1 4   5    drws1   ascii   D$,P
1147 0x00012db6 0x00412db6 4   5    drws1   ascii   D$$P
1148 0x00012de6 0x00412de6 5   6    drws1   ascii   u\f+D$
1149 0x00012e5e 0x00412e5e 5   6    drws1   ascii   f9D$T
1150 0x00012ea0 0x00412ea0 4   5    drws1   ascii   O\f;J
1151 0x00012f8c 0x00412f8c 4   5    drws1   ascii   D$\fP
1152 0x00012f97 0x00412f97 4   5    drws1   ascii   D$\fP
1153 0x0001300e 0x0041300e 4   5    drws1   ascii   ;F\fs
1154 0x00013077 0x00413077 4   5    drws1   ascii   T$\bW
1155 0x000130b7 0x004130b7 5   6    drws1   ascii   zv0j\t
1156 0x000130d2 0x004130d2 4   5    drws1   ascii   j\tX:
1157 0x000130f5 0x004130f5 5   6    drws1   ascii   +T$\f_
1158 0x000131c7 0x004131c7 4   5    drws1   ascii   QWPV
1159 0x000131f5 0x004131f5 4   5    drws1   ascii   t5QW
1160 0x00013246 0x00413246 4   5    drws1   ascii   \a|y@
1161 0x000132c7 0x004132c7 4   5    drws1   ascii   \$\bU
1162 0x000132f7 0x004132f7 4   5    drws1   ascii   CHVP
1163 0x00013325 0x00413325 4   5    drws1   ascii   $^][
1164 0x0001332c 0x0041332c 5   6    drws1   ascii   QQSUV
1165 0x00013385 0x00413385 5   6    drws1   ascii   ^][YY
1166 0x0001338f 0x0041338f 4   5    drws1   ascii   HSUV
1167 0x000133e1 0x004133e1 4   6    drws1   utf8    3\tD$
1168 0x0001345b 0x0041345b 4   5    drws1   ascii   L;t$
1169 0x0001346c 0x0041346c 5   6    drws1   ascii   D$,VP
1170 0x000134c1 0x004134c1 7   8    drws1   ascii   D$@h(z@
1171 0x000134cb 0x004134cb 5   7    drws1   utf8    ՋD$Dk blocks=Armenian,Basic Latin
1172 0x000134e0 0x004134e0 4   5    drws1   ascii   D$Dk
1173 0x000134ee 0x004134ee 4   5    drws1   ascii   D$8k
1174 0x00013501 0x00413501 4   5    drws1   ascii   L$8Q
1175 0x00013506 0x00413506 5   6    drws1   ascii   L$,QP
1176 0x00013510 0x00413510 4   7    drws1   utf8    օ\vD$ blocks=Armenian,Basic Latin
1177 0x00013521 0x00413521 4   5    drws1   ascii   _^][
1178 0x00013529 0x00413529 5   11   drws1   utf16le \fjjjj
1179 0x0001357d 0x0041357d 4   5    drws1   ascii   j4hH
1180 0x0001358b 0x0041358b 5   8    drws1   utf8    3ۉ]܉] blocks=Basic Latin,Arabic,Syriac
1181 0x000135da 0x004135da 4   6    drws1   utf8    E؍\f8 blocks=Basic Latin,Arabic
1182 0x00013667 0x00413667 5   9    drws1   utf8    -ދMċ4 blocks=Basic Latin,Thaana,Latin Extended-A
1183 0x000137e0 0x004137e0 5   6    drws1   ascii   hSUVW
1184 0x000137f4 0x004137f4 5   6    drws1   ascii   \fdv\bj
1185 0x00013816 0x00413816 6   7    drws1   ascii   D$<jBP
1186 0x0001383b 0x0041383b 5   6    drws1   ascii   QQCSV
1187 0x00013857 0x00413857 4   5    drws1   ascii   D$DP
1188 0x000138a3 0x004138a3 4   6    drws1   utf8    +ȉL$ blocks=Basic Latin,Latin Extended-B
1189 0x000138fe 0x004138fe 4   5    drws1   ascii   _^][
1190 0x00013986 0x00413986 6   8    drws1   utf8    2ȍD$\P blocks=Basic Latin,Latin Extended-B
1191 0x00013996 0x00413996 4   5    drws1   ascii   \$lQ
1192 0x000139e8 0x004139e8 4   5    drws1   ascii   D$ P
1193 0x000139f1 0x004139f1 6   7    drws1   ascii   9\$ u\t
1194 0x00013a2c 0x00413a2c 4   5    drws1   ascii   D$|P
1195 0x00013a3a 0x00413a3a 4   5    drws1   ascii   t$,j
1196 0x00013a44 0x00413a44 4   5    drws1   ascii   LL$ 
1197 0x00013b1d 0x00413b1d 4   7    drws1   utf8    t$p輵 blocks=Basic Latin,CJK Unified Ideographs
1198 0x00013b52 0x00413b52 5   6    drws1   ascii   |$,2|
1199 0x00013b5d 0x00413b5d 4   5    drws1   ascii   L$,V
1200 0x00013b95 0x00413b95 4   5    drws1   ascii   RPQW
1201 0x00013bb2 0x00413bb2 6   9    drws1   utf8    3Ʉ\vD$$ blocks=Basic Latin,Latin Extended-B
1202 0x00013bd9 0x00413bd9 8   9    drws1   ascii   D$89X\bv\n
1203 0x00013c01 0x00413c01 4   6    drws1   utf8    \bD$p
1204 0x00013c0f 0x00413c0f 4   5    drws1   ascii   D$$h
1205 0x00013c3c 0x00413c3c 4   5    drws1   ascii   \fQWU
1206 0x00013c6d 0x00413c6d 4   7    drws1   utf8    L$(誮 blocks=Basic Latin,CJK Unified Ideographs
1207 0x00013c8d 0x00413c8d 4   5    drws1   ascii   |$$B
1208 0x00013c99 0x00413c99 9   10   drws1   ascii   t$T;T$ }\r
1209 0x00013cc5 0x00413cc5 8   10   drws1   utf8    D$H3ɉD$  blocks=Basic Latin,Latin Extended-B
1210 0x00013cdc 0x00413cdc 5   6    drws1   ascii   D$\Ph
1211 0x00013d42 0x00413d42 4   5    drws1   ascii   _^][
1212 0x00013d58 0x00413d58 4   5    drws1   ascii   SUVW
1213 0x00013d79 0x00413d79 4   6    drws1   utf8    2\bD$
1214 0x00013e10 0x00413e10 4   6    drws1   utf8    ȉt$  blocks=Latin Extended-B,Basic Latin
1215 0x00013ea9 0x00413ea9 5   6    drws1   ascii   L$$9o
1216 0x00013f20 0x00413f20 4   5    drws1   ascii   t$(P
1217 0x00013fd4 0x00413fd4 4   5    drws1   ascii   v2Wj
1218 0x00014035 0x00414035 4   6    drws1   utf8    3ҹ0u blocks=Basic Latin,Cyrillic
1219 0x00014062 0x00414062 4   5    drws1   ascii   _^][
1220 0x00014087 0x00414087 6   7    drws1   ascii   @SUVWh
1221 0x00014092 0x00414092 4   5    drws1   ascii   L$ 3
1222 0x000140d3 0x004140d3 4   5    drws1   ascii   L$0Q
1223 0x000140d8 0x004140d8 4   5    drws1   ascii   L$0Q
1224 0x000140e6 0x004140e6 7   8    drws1   ascii   WWWhhz@
1225 0x00014124 0x00414124 5   6    drws1   ascii   L$<QP
1226 0x00014134 0x00414134 4   5    drws1   ascii   D$,P
1227 0x0001416e 0x0041416e 4   5    drws1   ascii   t~VU
1228 0x0001417e 0x0041417e 4   5    drws1   ascii   tgh 
1229 0x00014184 0x00414184 4   5    drws1   ascii   @WWS
1230 0x0001418d 0x0041418d 6   7    drws1   ascii   t$$WWU
1231 0x000141a6 0x004141a6 8   9    drws1   ascii   L$,+L$@j
1232 0x000141b1 0x004141b1 10  12   drws1   utf8    HȋD$0+D$Dj blocks=Basic Latin,Latin Extended-B
1233 0x000141d1 0x004141d1 4   5    drws1   ascii   L$,V
1234 0x000141dd 0x004141dd 4   5    drws1   ascii   t$ U
1235 0x0001420d 0x0041420d 4   6    drws1   utf8    ǉD$$ blocks=Latin Extended-B,Basic Latin
1236 0x00014238 0x00414238 4   5    drws1   ascii   _^][
1237 0x0001428a 0x0041428a 6   7    drws1   ascii   t\ef9\vt
1238 0x000142a2 0x004142a2 5   7    drws1   utf8    D$$3Ʌ blocks=Basic Latin,Latin Extended-B
1239 0x000142a9 0x004142a9 4   5    drws1   ascii   t#f9
1240 0x000142c2 0x004142c2 5   6    drws1   ascii   u\nj\b^
1241 0x0001431f 0x0041431f 5   6    drws1   ascii   t$,WS
1242 0x00014344 0x00414344 4   5    drws1   ascii   QQSV
1243 0x00014349 0x00414349 4   5    drws1   ascii   5H(D
1244 0x000143bc 0x004143bc 4   5    drws1   ascii   5P(D
1245 0x000143ff 0x004143ff 4   5    drws1   ascii   5X(D
1246 0x00014442 0x00414442 4   5    drws1   ascii   QQSV
1247 0x00014562 0x00414562 4   5    drws1   ascii   SUVW
1248 0x000145a1 0x004145a1 4   6    drws1   utf8    tY3҅ blocks=Basic Latin,Cyrillic
1249 0x000145b3 0x004145b3 4   5    drws1   ascii   tQ9W
1250 0x000145bc 0x004145bc 4   5    drws1   ascii   uHRR
1251 0x000145c1 0x004145c1 4   5    drws1   ascii   t$$R
1252 0x000145d3 0x004145d3 7   8    drws1   ascii   \$ WUSj
1253 0x00014603 0x00414603 4   5    drws1   ascii   D$$S
1254 0x00014608 0x00414608 8   9    drws1   ascii   \$$WVUPS
1255 0x0001462b 0x0041462b 4   5    drws1   ascii   l$(S
1256 0x00014630 0x00414630 6   7    drws1   ascii   \$$WVU
1257 0x00014637 0x00414637 4   5    drws1   ascii   t$4S
1258 0x00014649 0x00414649 5   6    drws1   ascii   D$ tC
1259 0x00014669 0x00414669 7   8    drws1   ascii   t$4WQUS
1260 0x00014677 0x00414677 4   5    drws1   ascii   t$4j
1261 0x0001468e 0x0041468e 9   10   drws1   ascii   D$ _^][YY
1262 0x0001471e 0x0041471e 4   5    drws1   ascii   t$,W
1263 0x00014727 0x00414727 4   5    drws1   ascii   t$,V
1264 0x00014746 0x00414746 4   5    drws1   ascii   t$,W
1265 0x00014778 0x00414778 4   5    drws1   ascii   t$(V
1266 0x0001477d 0x0041477d 4   5    drws1   ascii   t$,W
1267 0x000147cb 0x004147cb 4   5    drws1   ascii   t$$V
1268 0x000147e2 0x004147e2 4   5    drws1   ascii   t$$U
1269 0x00014872 0x00414872 4   5    drws1   ascii   \axz@
1270 0x000148f7 0x004148f7 7   8    drws1   ascii   9~\fvWSU
1271 0x00014925 0x00414925 5   6    drws1   ascii   `;p\br
1272 0x0001494b 0x0041494b 5   6    drws1   ascii   G;~\fr
1273 0x00014978 0x00414978 4   5    drws1   ascii   QVj\f
1274 0x000149d9 0x004149d9 4   5    drws1   ascii   hSUV
1275 0x000149de 0x004149de 5   7    drws1   utf8    ًL$xW blocks=Arabic,Basic Latin
1276 0x00014a06 0x00414a06 4   6    drws1   utf8    3\r|$
1277 0x00014a12 0x00414a12 4   5    drws1   ascii   D$,j
1278 0x00014a1f 0x00414a1f 6   8    drws1   utf8    \f2ۋL$| blocks=Basic Latin,Arabic
1279 0x00014a50 0x00414a50 10  11   drws1   ascii   \aIt5It(Iu7
1280 0x00014b0f 0x00414b0f 4   5    drws1   ascii   w\aA;
1281 0x00014b19 0x00414b19 4   5    drws1   ascii   nPUW
1282 0x00014b37 0x00414b37 4   5    drws1   ascii   L$|u
1283 0x00014b68 0x00414b68 4   5    drws1   ascii   _^][
1284 0x00014b72 0x00414b72 4   5    drws1   ascii   j$hX
1285 0x00014b7f 0x00414b7f 4   7    drws1   utf8    IẼe blocks=Basic Latin,Combining Diacritical Marks
1286 0x00014b9b 0x00414b9b 4   7    drws1   utf8    3ۉ]؋ blocks=Basic Latin,Arabic
1287 0x00014c7b 0x00414c7b 4   5    drws1   ascii   SUVW
1288 0x00014caf 0x00414caf 4   5    drws1   ascii   D$8P
1289 0x00014d17 0x00414d17 4   5    drws1   ascii   D$`P
1290 0x00014d4a 0x00414d4a 4   6    drws1   utf8    +ƉD$ blocks=Basic Latin,Latin Extended-B
1291 0x00014d90 0x00414d90 4   6    drws1   utf8    2ۃ|$ blocks=Basic Latin,Arabic
1292 0x00014db3 0x00414db3 6   7    drws1   ascii   \fSVWj\a
1293 0x00014dba 0x00414dba 4   6    drws1   utf8    u\b3ۋ blocks=Basic Latin,Arabic
1294 0x00014dd9 0x00414dd9 4   5    drws1   ascii   v QQ
1295 0x00014e92 0x00414e92 5   6    drws1   ascii   L$\fuy
1296 0x00014ef2 0x00414ef2 4   5    drws1   ascii   L$\fV
1297 0x00014f61 0x00414f61 4   5    drws1   ascii   N\b_^
1298 0x00014f6d 0x00414f6d 4   5    drws1   ascii   V\bBk
1299 0x00014fab 0x00414fab 4   5    drws1   ascii   N\b_^
1300 0x00014ff8 0x00414ff8 4   5    drws1   ascii   ;Q\bs
1301 0x00015011 0x00415011 4   5    drws1   ascii   QQVW
1302 0x00015018 0x00415018 4   5    drws1   ascii   Pj\bQ
1303 0x00015070 0x00415070 4   5    drws1   ascii   SVW3
1304 0x000150c9 0x004150c9 5   6    drws1   ascii   SVWP3
1305 0x0001511b 0x0041511b 5   6    drws1   ascii   t#SSS
1306 0x00015159 0x00415159 4   5    drws1   ascii   Pj\bj
1307 0x00015171 0x00415171 4   5    drws1   ascii   PSSj
1308 0x0001520e 0x0041520e 4   5    drws1   ascii   t$h3
1309 0x00015224 0x00415224 5   6    drws1   ascii   D$$UP
1310 0x00015233 0x00415233 4   5    drws1   ascii   D$ D
1311 0x00015269 0x00415269 7   8    drws1   ascii   t49l$pt
1312 0x00015301 0x00415301 4   5    drws1   ascii   \SWh
1313 0x0001530a 0x0041530a 4   5    drws1   ascii   L$\f3
1314 0x00015374 0x00415374 5   6    drws1   ascii   D$,WP
1315 0x00015388 0x00415388 4   5    drws1   ascii   D$,P
1316 0x000153a7 0x004153a7 4   5    drws1   ascii   PWWW
1317 0x000153bb 0x004153bb 4   5    drws1   ascii   D$TD
1318 0x00015411 0x00415411 5   6    drws1   ascii   u\bRQj
1319 0x0001548f 0x0041548f 4   5    drws1   ascii   SVWh
1320 0x0001549b 0x0041549b 5   6    drws1   ascii   Sh({@
1321 0x000154d9 0x004154d9 4   5    drws1   ascii   h4{@
1322 0x00015533 0x00415533 5   6    drws1   ascii   PhT{@
1323 0x00015563 0x00415563 5   6    drws1   ascii   Phd{@
1324 0x00015575 0x00415575 4   5    drws1   ascii   wAj@
1325 0x00015659 0x00415659 4   5    drws1   ascii   5h'D
1326 0x0001565f 0x0041565f 4   5    drws1   ascii   5`'D
1327 0x00015665 0x00415665 4   5    drws1   ascii   5t'D
1328 0x0001566b 0x0041566b 4   5    drws1   ascii   5l'D
1329 0x00015671 0x00415671 4   5    drws1   ascii   5p'D
1330 0x00015677 0x00415677 4   5    drws1   ascii   5X'D
1331 0x0001567d 0x0041567d 4   5    drws1   ascii   5\'D
1332 0x00015683 0x00415683 4   5    drws1   ascii   5d'D
1333 0x000156c5 0x004156c5 4   5    drws1   ascii   \fSU3
1334 0x000156d8 0x004156d8 4   5    drws1   ascii   9\$ 
1335 0x00015907 0x00415907 7   8    drws1   ascii   CE;l$ }
1336 0x0001591f 0x0041591f 4   5    drws1   ascii   _^][
1337 0x000159f4 0x004159f4 5   6    drws1   ascii   \$\fVW
1338 0x00015b26 0x00415b26 4   5    drws1   ascii   G;>r
1339 0x00015b52 0x00415b52 5   6    drws1   ascii   uWSW3
1340 0x00015b94 0x00415b94 6   8    drws1   utf8    CG;>rċ blocks=Basic Latin,Latin Extended-A
1341 0x00015bc6 0x00415bc6 8   9    drws1   ascii   9^\bux9\$
1342 0x00015be4 0x00415be4 5   6    drws1   ascii   t]WSj
1343 0x00015bf3 0x00415bf3 4   5    drws1   ascii   t$$S
1344 0x00015c01 0x00415c01 9   10   drws1   ascii   t29\$$tIj
1345 0x00015c0e 0x00415c0e 4   5    drws1   ascii   t$0j
1346 0x00015c96 0x00415c96 5   6    drws1   ascii   Pj@X;
1347 0x00015cd7 0x00415cd7 5   6    drws1   ascii   QQVjr
1348 0x00015d9d 0x00415d9d 4   5    drws1   ascii   ;*u\n
1349 0x00015db4 0x00415db4 5   6    drws1   ascii   G8_^[
1350 0x00015dbc 0x00415dbc 4   5    drws1   ascii   hH6D
1351 0x00015dcb 0x00415dcb 4   5    drws1   ascii   h\b6D
1352 0x00015de3 0x00415de3 4   5    drws1   ascii   hH6D
1353 0x00015def 0x00415def 4   5    drws1   ascii   =\b6D
1354 0x00015e5f 0x00415e5f 4   5    drws1   ascii   hH6D
1355 0x00015e65 0x00415e65 5   7    drws1   utf8    փ=\b6D blocks=Armenian,Basic Latin
1356 0x00015e91 0x00415e91 5   10   drws1   utf8    tD3\r}
1357 0x00015ed7 0x00415ed7 4   5    drws1   ascii   hH6D
1358 0x00015f11 0x00415f11 5   6    drws1   ascii   t\Jf;
1359 0x00015f43 0x00415f43 6   8    drws1   utf8    \bf\vML$
