[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000150 0x00000150 4   5            ascii   Rich
1    0x0000029c 0x0000029c 5   6            ascii   .text
2    0x000002c3 0x000002c3 7   8            ascii   `.rdata
3    0x000002eb 0x000002eb 5   6            ascii   @.crt
4    0x00000314 0x00000314 5   6            ascii   .rsrc
5    0x0000033b 0x0000033b 7   8            ascii   @.reloc
797  0x00010e55 0x10012455 6   7    .rdata  ascii   ; Sp')
798  0x00010ea6 0x100124a6 4   5    .rdata  ascii   CBcv
799  0x00010eb3 0x100124b3 5   7    .rdata  utf8    BB7:ǌ blocks=Basic Latin,Latin Extended-B
800  0x00010f1e 0x1001251e 5   6    .rdata  ascii   u\b~y|
801  0x00010f55 0x10012555 4   5    .rdata  ascii   /]RH
802  0x00010f9b 0x1001259b 4   5    .rdata  ascii   1+)<
803  0x00010fcd 0x100125cd 4   6    .rdata  utf8    2џme blocks=Basic Latin,Cyrillic
804  0x00010ff8 0x100125f8 7   8    .rdata  ascii   Hc\t/=C-
805  0x00011028 0x10012628 7   11   .rdata  utf8    ߚ=سzi*© blocks=NKo,Basic Latin,Arabic,Latin-1 Supplement
806  0x00011050 0x10012650 4   5    .rdata  ascii   56.B
807  0x00011088 0x10012688 4   6    .rdata  utf8    ߚ!3@ blocks=NKo,Basic Latin
808  0x000110cf 0x100126cf 5   6    .rdata  ascii   Na2nB
809  0x000110f4 0x100126f4 5   6    .rdata  ascii   C7YJH
810  0x0001113b 0x1001273b 4   5    .rdata  ascii   (tC-
811  0x0001116a 0x1001276a 4   5    .rdata  ascii   \r\vbr
812  0x00011188 0x10012788 4   6    .rdata  utf8    {߸Kb blocks=Basic Latin,NKo
813  0x00011192 0x10012792 4   6    .rdata  utf8    ΑC7] blocks=Greek and Coptic,Basic Latin
814  0x000111ea 0x100127ea 4   5    .rdata  ascii   u0^q
815  0x000111fa 0x100127fa 4   6    .rdata  utf8    ELȷJ blocks=Basic Latin,Latin Extended-B
816  0x00011233 0x10012833 9   10   .rdata  ascii   !D7PBH\e!x
817  0x00011250 0x10012850 4   5    .rdata  ascii   fiW$
818  0x00011277 0x10012877 5   7    .rdata  utf8    űOEXU blocks=Latin Extended-A,Basic Latin
819  0x000112d8 0x100128d8 4   5    .rdata  ascii   H\v\t3
820  0x0001132d 0x1001292d 5   7    .rdata  utf8    v\f~ʺT blocks=Basic Latin,Spacing Modifier Letters
821  0x0001133e 0x1001293e 4   5    .rdata  ascii   94~E
822  0x0001134a 0x1001294a 5   6    .rdata  ascii   5onZU
823  0x0001135a 0x1001295a 5   6    .rdata  ascii   \t?WC-
824  0x00011372 0x10012972 4   5    .rdata  ascii   ojgS
825  0x0001137c 0x1001297c 4   5    .rdata  ascii   DgYz
826  0x00011389 0x10012989 4   5    .rdata  ascii   vSKa
827  0x000113aa 0x100129aa 5   6    .rdata  ascii   5orZM
828  0x000113b8 0x100129b8 4   5    .rdata  ascii   #wE\f
829  0x000113ef 0x100129ef 5   6    .rdata  ascii   OgiV"
830  0x00011491 0x10012a91 4   5    .rdata  ascii   6.Bc
831  0x000114aa 0x10012aaa 5   7    .rdata  utf8    YKbځS blocks=Basic Latin,Arabic
832  0x000114b2 0x10012ab2 4   5    .rdata  ascii   ojgo
833  0x000114bc 0x10012abc 5   7    .rdata  utf8    $gqzг blocks=Basic Latin,Cyrillic
834  0x000114c9 0x10012ac9 6   9    .rdata  utf8    vSKa楗o blocks=Basic Latin,CJK Unified Ideographs
835  0x00011537 0x10012b37 4   6    .rdata  utf8    ƱOE@ blocks=Latin Extended-B,Basic Latin
836  0x0001154a 0x10012b4a 4   5    .rdata  ascii   5o~Z
837  0x00011552 0x10012b52 4   5    .rdata  ascii   ojgK
838  0x00011591 0x10012b91 4   5    .rdata  ascii   6.BO
839  0x000115b9 0x10012bb9 4   5    .rdata  ascii   k|c&
840  0x000115d7 0x10012bd7 4   5    .rdata  ascii   \nHO!
841  0x00011608 0x10012c08 4   6    .rdata  utf8    {ײKb blocks=Basic Latin,Hebrew
842  0x00011618 0x10012c18 4   5    .rdata  ascii   wTrl
843  0x00011636 0x10012c36 4   5    .rdata  ascii   \rQ|\v
844  0x0001168a 0x10012c8a 4   5    .rdata  ascii   5ovZ
845  0x000116b1 0x10012cb1 4   5    .rdata  ascii   6.BS
846  0x000116d7 0x10012cd7 4   5    .rdata  ascii   Sp'-
847  0x000116f3 0x10012cf3 4   5    .rdata  ascii   ^C7]
848  0x000116f8 0x10012cf8 4   5    .rdata  ascii   H#\t+
849  0x00011738 0x10012d38 4   5    .rdata  ascii   #wE,
850  0x00011755 0x10012d55 4   5    .rdata  ascii   FUb$
851  0x00011810 0x10012e10 4   5    .rdata  ascii   Omx5
852  0x00011875 0x10012e75 4   5    .rdata  ascii   C7]U
853  0x000118b5 0x10012eb5 4   6    .rdata  utf8    C7:Ʊ blocks=Basic Latin,Latin Extended-B
854  0x000118ca 0x10012eca 4   7    .rdata  utf8    vr{ﺉ blocks=Basic Latin,Arabic Presentation Forms-B
855  0x000118ec 0x10012eec 4   7    .rdata  utf8    Ja܁گ blocks=Basic Latin,Syriac,Arabic
856  0x00011957 0x10012f57 4   6    .rdata  utf8    -ޭ`= blocks=Basic Latin,Thaana
857  0x00011976 0x10012f76 4   5    .rdata  ascii   wY#h
858  0x00011996 0x10012f96 5   6    .rdata  ascii   CY"H\v
859  0x000119b5 0x10012fb5 4   5    .rdata  ascii   gO];
860  0x000119cb 0x10012fcb 4   6    .rdata  utf8    TKb܁ blocks=Basic Latin,Syriac
861  0x000119d1 0x10012fd1 5   6    .rdata  ascii   /!kjg
862  0x000119e4 0x10012fe4 4   6    .rdata  utf8    -;݇w blocks=Basic Latin,Syriac
863  0x00011a1d 0x1001301d 4   5    .rdata  ascii   3C-z
864  0x00011a29 0x10013029 7   10   .rdata  utf8    ߚM3\܁OL blocks=NKo,Basic Latin,Syriac
865  0x00011a38 0x10013038 4   6    .rdata  utf8    ƭOEd blocks=Latin Extended-B,Basic Latin
866  0x00011a44 0x10013044 4   5    .rdata  ascii   1|q[
867  0x00011ad3 0x100130d3 4   5    .rdata  ascii   \n#C7
868  0x00011b0b 0x1001310b 5   6    .rdata  ascii   5ojZe
869  0x00011b30 0x10013130 4   5    .rdata  ascii   W96o
870  0x00011b7a 0x1001317a 6   8    .rdata  utf8    y)]së\e blocks=Basic Latin,Latin-1 Supplement
871  0x00011b95 0x10013195 4   5    .rdata  ascii   g?&S
872  0x00011c08 0x10013208 6   7    .rdata  ascii   Z{KqKb
873  0x00011c35 0x10013235 7   8    .rdata  ascii   v-&Sp'e
874  0x00011c8b 0x1001328b 4   6    .rdata  utf8    <حBi blocks=Basic Latin,Arabic
875  0x00011ce3 0x100132e3 6   8    .rdata  utf8    '/;݇wA blocks=Basic Latin,Syriac
876  0x00011cf6 0x100132f6 6   7    .rdata  ascii   @*S0'\t
877  0x00011d09 0x10013309 6   7    .rdata  ascii   {ClKbq
878  0x00011d10 0x10013310 6   7    .rdata  ascii   s.4.Bs
879  0x00011dab 0x100133ab 4   5    .rdata  ascii   \r3L;
880  0x00011dc9 0x100133c9 6   8    .rdata  utf8    {'bKbܒ blocks=Basic Latin,Syriac
881  0x00011e15 0x10013415 7   8    .rdata  ascii   B6'Sp'%
882  0x00011e32 0x10013432 4   5    .rdata  ascii   6.B[
883  0x00011e54 0x10013454 9   11   .rdata  utf8    'D7:Ʊ_E8\e blocks=Basic Latin,Latin Extended-B
884  0x00011e73 0x10013473 7   8    .rdata  ascii   ozg_#So
885  0x00011e7b 0x1001347b 6   7    .rdata  ascii   \t_JC-z
886  0x00011e83 0x10013483 4   7    .rdata  utf8    ѣc݇w blocks=Cyrillic,Basic Latin,Syriac
887  0x00011e8c 0x1001348c 5   9    .rdata  utf8    KﾥwʖH blocks=Basic Latin,Halfwidth and Fullwidth Forms,IPA Extensions
888  0x00011eec 0x100134ec 4   5    .rdata  ascii   Lbri
889  0x00011f0e 0x1001350e 5   7    .rdata  utf8    Υw56- blocks=Greek and Coptic,Basic Latin
890  0x00011f43 0x10013543 6   8    .rdata  utf8    1/;ݿw\t blocks=Basic Latin,Arabic Supplement
891  0x00011f8b 0x1001358b 4   6    .rdata  utf8    `Kb܍ blocks=Basic Latin,Syriac
892  0x0001200b 0x1001360b 5   6    .rdata  ascii   5onZ\t
893  0x00012013 0x10013613 5   6    .rdata  ascii   ozgS:
894  0x0001202b 0x1001362b 4   5    .rdata  ascii   5ofZ
895  0x00012046 0x10013646 4   6    .rdata  utf8    >Q\rĩ blocks=Basic Latin,Latin Extended-A
896  0x000120b5 0x100136b5 6   8    .rdata  utf8    C7:ƱN5 blocks=Basic Latin,Latin Extended-B
897  0x000120f4 0x100136f4 6   8    .rdata  utf8    pˊ\bNw< blocks=Basic Latin,Spacing Modifier Letters
898  0x0001211d 0x1001371d 4   5    .rdata  ascii   ,C-z
899  0x00012129 0x10013729 6   8    .rdata  utf8    {sLKb܂ blocks=Basic Latin,Syriac
900  0x00012132 0x10013732 4   5    .rdata  ascii   6.BO
901  0x0001215f 0x1001375f 4   6    .rdata  utf8    2Chƌ blocks=Basic Latin,Latin Extended-B
902  0x0001216b 0x1001376b 5   7    .rdata  utf8    qKbڄ[ blocks=Basic Latin,Arabic
903  0x000121a0 0x100137a0 4   5    .rdata  ascii   a#t'
904  0x000121aa 0x100137aa 4   6    .rdata  utf8    ^ubr
905  0x000121d9 0x100137d9 5   6    .rdata  ascii   #wEtS
906  0x000121ff 0x100137ff 5   6    .rdata  ascii   Q4\e)w
907  0x00012219 0x10013819 8   9    .rdata  ascii   H/\t;xC-z
908  0x00012298 0x10013898 4   5    .rdata  ascii   S0'\t
909  0x000122b2 0x100138b2 4   5    .rdata  ascii   6.BW
910  0x000122c1 0x100138c1 7   8    .rdata  ascii   \ne6vUBl
911  0x0001230a 0x1001390a 4   5    .rdata  ascii   uh3D
912  0x00012333 0x10013933 4   7    .rdata  utf8    "pЁȮ blocks=Basic Latin,Cyrillic,Latin Extended-B
913  0x0001233d 0x1001393d 5   6    .rdata  ascii   UWQb#
914  0x00012378 0x10013978 6   8    .rdata  utf8    ƯOE(M\f blocks=Latin Extended-B,Basic Latin
915  0x00012393 0x10013993 4   5    .rdata  ascii   ojgc
916  0x000123ab 0x100139ab 4   5    .rdata  ascii   \rwJC
917  0x0001240a 0x10013a0a 4   7    .rdata  utf8    D迆vi blocks=Basic Latin,CJK Unified Ideographs
918  0x00012492 0x10013a92 4   5    .rdata  ascii   6.BO
919  0x000124a6 0x10013aa6 4   6    .rdata  utf8    #[U֯ blocks=Basic Latin,Hebrew
920  0x000124bf 0x10013abf 10  12   .rdata  utf8    'J\vlT/;ݣwe blocks=Basic Latin,Arabic Supplement
921  0x0001254a 0x10013b4a 5   7    .rdata  utf8    vnA֙G blocks=Basic Latin,Hebrew
922  0x00012595 0x10013b95 6   8    .rdata  utf8    C7:ƱWE blocks=Basic Latin,Latin Extended-B
923  0x00012612 0x10013c12 4   5    .rdata  ascii   \rmkC
924  0x0001266b 0x10013c6b 5   7    .rdata  utf8    A֯r\ff blocks=Basic Latin,Hebrew
925  0x000126a2 0x10013ca2 9   10   .rdata  ascii   _6vUBlxTs
926  0x000126b3 0x10013cb3 4   5    .rdata  ascii   c\nS9
927  0x00012757 0x10013d57 5   7    .rdata  utf8    :ƱOE\b blocks=Basic Latin,Latin Extended-B
928  0x0001278a 0x10013d8a 5   6    .rdata  ascii   6]N(r
929  0x00012791 0x10013d91 5   6    .rdata  ascii   )6.BG
930  0x000127ab 0x10013dab 5   6    .rdata  ascii   mKbri
931  0x000127b5 0x10013db5 4   6    .rdata  utf8    C6Eʱ blocks=Basic Latin,Spacing Modifier Letters
932  0x0001280c 0x10013e0c 4   7    .rdata  utf8    Kb܁ڱ blocks=Basic Latin,Syriac,Arabic
933  0x0001281e 0x10013e1e 4   6    .rdata  utf8    й4Fa blocks=Cyrillic,Basic Latin
934  0x0001282b 0x10013e2b 4   5    .rdata  ascii   uo\ns
935  0x00012856 0x10013e56 4   5    .rdata  ascii   6]JH
936  0x00012882 0x10013e82 5   6    .rdata  ascii   26dov
937  0x000128d9 0x10013ed9 5   8    .rdata  utf8    䌥($D- blocks=CJK Unified Ideographs Extension A,Basic Latin
938  0x00012915 0x10013f15 4   6    .rdata  utf8    CĈ*# blocks=Basic Latin,Latin Extended-A
939  0x00012938 0x10013f38 4   5    .rdata  ascii   Oh'-
940  0x00012975 0x10013f75 4   6    .rdata  utf8    =8D˧ blocks=Basic Latin,Spacing Modifier Letters
941  0x0001297b 0x10013f7b 6   7    .rdata  ascii   #y/:m(
942  0x00012992 0x10013f92 5   6    .rdata  ascii   2vB;8
943  0x000129b7 0x10013fb7 4   7    .rdata  utf8    D䯿E\ blocks=Basic Latin,CJK Unified Ideographs Extension A
944  0x00012a4a 0x1001404a 4   6    .rdata  utf8    ^wbr
945  0x00012aa3 0x100140a3 4   6    .rdata  utf8    ósy[ blocks=Latin-1 Supplement,Basic Latin
946  0x00012ac9 0x100140c9 5   6    .rdata  ascii   {'UKb
947  0x00012af2 0x100140f2 5   6    .rdata  ascii   6nB#7
948  0x00012b9d 0x1001419d 4   6    .rdata  utf8    S\v,ĺ blocks=Basic Latin,Latin Extended-A
949  0x00012baa 0x100141aa 4   5    .rdata  ascii   vSKa
950  0x00012bbf 0x100141bf 4   5    .rdata  ascii   a4!.
951  0x00012c67 0x10014267 4   5    .rdata  ascii   CF\fv
952  0x00012c8f 0x1001428f 4   5    .rdata  ascii   \f%o5
953  0x00012d76 0x10014376 4   5    .rdata  ascii   ;]RH
954  0x00012db5 0x100143b5 5   6    .rdata  ascii   C7[ZH
955  0x00012dbe 0x100143be 4   6    .rdata  utf8    й4na blocks=Cyrillic,Basic Latin
956  0x00012dd3 0x100143d3 4   5    .rdata  ascii   mjgG
957  0x00012e8d 0x1001448d 5   6    .rdata  ascii   KbZu3
958  0x00012e94 0x10014494 4   5    .rdata  ascii   J~-7
959  0x00012eb2 0x100144b2 5   7    .rdata  utf8    J67z̋ blocks=Basic Latin,Combining Diacritical Marks
960  0x00012f08 0x10014508 4   5    .rdata  ascii   CR<v
961  0x00012f72 0x10014572 6   7    .rdata  ascii   @6nB[8
962  0x00012f9a 0x1001459a 4   5    .rdata  ascii   H\e\f\f
963  0x00012ff7 0x100145f7 6   7    .rdata  ascii   \n]RH\v#
964  0x00013062 0x10014662 4   5    .rdata  ascii   dHgh
965  0x00013088 0x10014688 4   5    .rdata  ascii   Cr^u
966  0x000130f4 0x100146f4 4   5    .rdata  ascii   ojgC
967  0x0001310d 0x1001470d 4   5    .rdata  ascii   Lbri
968  0x0001315f 0x1001475f 4   6    .rdata  utf8    +Qі` blocks=Basic Latin,Cyrillic
969  0x00013171 0x10014771 4   5    .rdata  ascii   O26?
970  0x00013178 0x10014778 4   5    .rdata  ascii   %"\f\
971  0x00013195 0x10014795 4   6    .rdata  utf8    ^D7Ю blocks=Basic Latin,Cyrillic
972  0x000131ad 0x100147ad 4   5    .rdata  ascii   Lbri
973  0x000131ca 0x100147ca 5   6    .rdata  ascii   {O_Kb
974  0x00013242 0x10014842 4   5    .rdata  ascii   !86m
975  0x00013256 0x10014856 4   6    .rdata  utf8    C7:Ư blocks=Basic Latin,Latin Extended-B
976  0x000132f5 0x100148f5 4   6    .rdata  utf8    6D7Ю blocks=Basic Latin,Cyrillic
977  0x00013340 0x10014940 5   7    .rdata  utf8    Q8~Qݤ blocks=Basic Latin,Arabic Supplement
978  0x00013351 0x10014951 5   8    .rdata  utf8    l⩃>Sy blocks=Basic Latin,Supplemental Mathematical Operators
979  0x00013375 0x10014975 4   5    .rdata  ascii   3C7]
980  0x0001337a 0x1001497a 7   8    .rdata  ascii   Hs\t{uC-
981  0x00013393 0x10014993 5   6    .rdata  ascii   p&B[_
982  0x0001340c 0x10014a0c 5   6    .rdata  ascii   ILbri
983  0x0001347b 0x10014a7b 7   8    .rdata  ascii   WE\f2C}`
984  0x000134b9 0x10014ab9 4   5    .rdata  ascii   Oh'9
985  0x000134f2 0x10014af2 4   5    .rdata  ascii   r98u
986  0x0001351d 0x10014b1d 4   5    .rdata  ascii   (@D-
987  0x00013539 0x10014b39 6   7    .rdata  ascii   Oh'eTU
988  0x00013540 0x10014b40 4   5    .rdata  ascii   Q\~A
989  0x00013554 0x10014b54 4   5    .rdata  ascii   ojgS
990  0x0001356c 0x10014b6c 6   7    .rdata  ascii   \rgJ_*O
991  0x00013579 0x10014b79 4   5    .rdata  ascii   Sp'9
992  0x00013595 0x10014b95 4   5    .rdata  ascii   6+\fy
993  0x000135c0 0x10014bc0 4   5    .rdata  ascii   Q,~5
994  0x000135d4 0x10014bd4 4   5    .rdata  ascii   ojgS
995  0x00013605 0x10014c05 4   6    .rdata  utf8    1;ݣw blocks=Basic Latin,Arabic Supplement
996  0x0001364c 0x10014c4c 4   5    .rdata  ascii   5o~Z
997  0x00013654 0x10014c54 4   5    .rdata  ascii   ojgO
998  0x0001368e 0x10014c8e 4   5    .rdata  ascii   J{/O
999  0x000136ac 0x10014cac 4   5    .rdata  ascii   -ovq
1000 0x000136b4 0x10014cb4 5   6    .rdata  ascii   J C7P
1001 0x000136da 0x10014cda 7   8    .rdata  ascii   H/\tK(C-
1002 0x00013713 0x10014d13 4   5    .rdata  ascii   6.Bo
1003 0x0001372b 0x10014d2b 5   7    .rdata  utf8    vm\vר\f blocks=Basic Latin,Hebrew
1004 0x0001373a 0x10014d3a 5   6    .rdata  ascii   $mATU
1005 0x000137a5 0x10014da5 4   6    .rdata  utf8    1;݃w blocks=Basic Latin,Syriac
1006 0x000137d3 0x10014dd3 4   5    .rdata  ascii   6.B{
1007 0x000137e4 0x10014de4 5   7    .rdata  utf8    +1;ݏw blocks=Basic Latin,Syriac
1008 0x000137f3 0x10014df3 4   5    .rdata  ascii   46Bk
1009 0x000137fa 0x10014dfa 5   6    .rdata  ascii   TSsVU
1010 0x0001385f 0x10014e5f 4   6    .rdata  utf8    б4&` blocks=Cyrillic,Basic Latin
1011 0x0001387f 0x10014e7f 4   6    .rdata  utf8    й4v` blocks=Cyrillic,Basic Latin
1012 0x0001390c 0x10014f0c 4   5    .rdata  ascii   uoRr
1013 0x00013939 0x10014f39 4   6    .rdata  utf8    ƱOE0 blocks=Latin Extended-B,Basic Latin
1014 0x00013955 0x10014f55 4   5    .rdata  ascii   }C7T
1015 0x000139e7 0x10014fe7 4   6    .rdata  utf8    F߳kv blocks=Basic Latin,NKo
1016 0x00013a2b 0x1001502b 5   7    .rdata  utf8    ^ݶbr\f blocks=Basic Latin,Arabic Supplement
1017 0x00013a37 0x10015037 7   9    .rdata  utf8    7б3m!TU blocks=Basic Latin,Cyrillic
1018 0x00013a5f 0x1001505f 4   5    .rdata  ascii   C-f#
1019 0x00013a8b 0x1001508b 4   6    .rdata  utf8    ^٧br blocks=Basic Latin,Arabic
1020 0x00013acc 0x100150cc 4   5    .rdata  ascii   5ofZ
1021 0x00013b0a 0x1001510a 4   6    .rdata  utf8    Sz9خ blocks=Basic Latin,Arabic
1022 0x00013b4c 0x1001514c 4   5    .rdata  ascii   5ofZ
1023 0x00013b5e 0x1001515e 5   7    .rdata  utf8    kC-ז` blocks=Basic Latin,Hebrew
1024 0x00013b6d 0x1001516d 5   6    .rdata  ascii   oJo$O
1025 0x00013b8a 0x1001518a 4   6    .rdata  utf8    Sr9خ blocks=Basic Latin,Arabic
1026 0x00013c3f 0x1001523f 4   5    .rdata  ascii   B14~
1027 0x00013c4c 0x1001524c 4   5    .rdata  ascii   5ojZ
1028 0x00013c54 0x10015254 4   5    .rdata  ascii   ojg;
1029 0x00013ccc 0x100152cc 5   6    .rdata  ascii   5ojZ\r
1030 0x00013cd9 0x100152d9 4   6    .rdata  utf8    ƱOE\b blocks=Latin Extended-B,Basic Latin
1031 0x00013cec 0x100152ec 6   7    .rdata  ascii   \rSJ\e(O
1032 0x00013cf3 0x100152f3 4   5    .rdata  ascii   6.BG
1033 0x00013d1e 0x1001531e 4   5    .rdata  ascii   rB,z
1034 0x00013d6b 0x1001536b 4   6    .rdata  utf8    vv׆B blocks=Basic Latin,Hebrew
1035 0x00013d75 0x10015375 4   5    .rdata  ascii   fC7]
1036 0x00013e03 0x10015403 5   6    .rdata  ascii   {WvKb
1037 0x00013e09 0x10015409 7   8    .rdata  ascii   AK26.BK
1038 0x00013e6b 0x1001546b 5   6    .rdata  ascii   86.B_
1039 0x00013e7d 0x1001547d 4   6    .rdata  utf8    ótH[ blocks=Latin-1 Supplement,Basic Latin
1040 0x00013ea5 0x100154a5 6   7    .rdata  ascii   \rkJ#zO
1041 0x00013f17 0x10015517 4   5    .rdata  ascii   \fC-W
1042 0x00013f4d 0x1001554d 4   5    .rdata  ascii   ojgc
1043 0x00013f57 0x10015557 5   6    .rdata  ascii   \fgU`#
1044 0x00013fa3 0x100155a3 4   6    .rdata  utf8     ŕ3` blocks=Basic Latin,Latin Extended-A
1045 0x00013fca 0x100155ca 6   8    .rdata  utf8    OgiV|Ѓ blocks=Basic Latin,Cyrillic
1046 0x00014036 0x10015636 4   5    .rdata  ascii   (\C-
1047 0x00014052 0x10015652 4   5    .rdata  ascii   Sp'I
1048 0x00014065 0x10015665 4   5    .rdata  ascii   eo~r
1049 0x000140d2 0x100156d2 4   5    .rdata  ascii   BSm!
1050 0x00014104 0x10015704 4   6    .rdata  utf8    vv׆b blocks=Basic Latin,Hebrew
1051 0x0001410d 0x1001570d 4   5    .rdata  ascii   vNC7
1052 0x0001413a 0x1001573a 4   5    .rdata  ascii   l~]D
1053 0x000141c3 0x100157c3 5   6    .rdata  ascii   {g\eKb
1054 0x000141db 0x100157db 4   5    .rdata  ascii   !\f'\b
1055 0x00014201 0x10015801 4   6    .rdata  utf8    OГvt blocks=Basic Latin,Cyrillic
1056 0x00014282 0x10015882 7   8    .rdata  ascii   O\b|;3`F
1057 0x000142c3 0x100158c3 4   6    .rdata  utf8    Sz9خ blocks=Basic Latin,Arabic
1058 0x00014305 0x10015905 5   6    .rdata  ascii   5ofZ]
1059 0x00014317 0x10015917 4   6    .rdata  utf8    PC-ז blocks=Basic Latin,Hebrew
1060 0x00014326 0x10015926 5   6    .rdata  ascii   oJ/\tO
1061 0x00014343 0x10015943 4   6    .rdata  utf8    Sr9خ blocks=Basic Latin,Arabic
1062 0x000143e8 0x100159e8 4   5    .rdata  ascii   zi:i
1063 0x0001440a 0x10015a0a 7   8    .rdata  ascii   T<6nB':
1064 0x00014424 0x10015a24 5   6    .rdata  ascii   *\r3er
1065 0x00014446 0x10015a46 6   7    .rdata  ascii   Nbri*q
1066 0x00014458 0x10015a58 4   6    .rdata  utf8    C,ĺH blocks=Basic Latin,Latin Extended-A
1067 0x00014495 0x10015a95 5   6    .rdata  ascii   !lHC-
1068 0x000144e2 0x10015ae2 6   7    .rdata  ascii   K{[/Kb
1069 0x0001452c 0x10015b2c 5   6    .rdata  ascii   6nBS;
1070 0x000145a7 0x10015ba7 4   6    .rdata  utf8    *ܾ7L blocks=Basic Latin,Syriac
1071 0x000145b2 0x10015bb2 4   5    .rdata  ascii   Jt\n!
1072 0x000145df 0x10015bdf 5   10   .rdata  utf8    硓ݓvvφ blocks=CJK Unified Ideographs,Arabic Supplement,Basic Latin,Greek and Coptic
1073 0x0001462e 0x10015c2e 4   6    .rdata  utf8    RG7Ю blocks=Basic Latin,Cyrillic
1074 0x0001468f 0x10015c8f 5   6    .rdata  ascii   C7]RH
1075 0x000146e6 0x10015ce6 4   5    .rdata  ascii   Nbri
1076 0x00014705 0x10015d05 4   5    .rdata  ascii   uo^u
1077 0x0001474a 0x10015d4a 6   7    .rdata  ascii   P46.Bg
1078 0x0001478c 0x10015d8c 4   5    .rdata  ascii   6.Bo
1079 0x00014819 0x10015e19 4   5    .rdata  ascii   Q@~U
1080 0x0001482d 0x10015e2d 4   5    .rdata  ascii   ojgg
1081 0x00014849 0x10015e49 7   8    .rdata  ascii   AS26.Bs
1082 0x0001488d 0x10015e8d 4   5    .rdata  ascii   ojgc
1083 0x000148dd 0x10015edd 4   6    .rdata  utf8    Wj3ݳ blocks=Basic Latin,Arabic Supplement
1084 0x00014907 0x10015f07 4   5    .rdata  ascii   br\f\v
1085 0x0001493c 0x10015f3c 4   5    .rdata  ascii   |U19
1086 0x0001498f 0x10015f8f 6   8    .rdata  utf8    F7Ю.=! blocks=Basic Latin,Cyrillic
1087 0x0001499f 0x10015f9f 4   8    .rdata  utf8    ֓vt blocks=Private Use Area,Hebrew,Basic Latin
1088 0x000149ff 0x10015fff 6   10   .rdata  utf8    ͓vn\vq blocks=Private Use Area,Combining Diacritical Marks,Basic Latin
1089 0x00014a9c 0x1001609c 6   8    .rdata  utf8    `5dsyЕ blocks=Basic Latin,Cyrillic
1090 0x00014aa4 0x100160a4 6   7    .rdata  ascii   ^97brH
1091 0x00014aaf 0x100160af 5   6    .rdata  ascii   C7]RH
1092 0x00014acd 0x100160cd 5   6    .rdata  ascii   mrgOU
1093 0x00014b0d 0x1001610d 4   5    .rdata  ascii   f}G7
1094 0x00014b88 0x10016188 4   6    .rdata  utf8    v3Pͫ blocks=Basic Latin,Combining Diacritical Marks
1095 0x00014bb0 0x100161b0 5   6    .rdata  ascii   T[BHk
1096 0x00014be3 0x100161e3 4   6    .rdata  utf8    ߚ\t3t blocks=NKo,Basic Latin
1097 0x00014ca2 0x100162a2 4   7    .rdata  utf8    ˓vvφ blocks=Spacing Modifier Letters,Basic Latin,Greek and Coptic
1098 0x00014cc1 0x100162c1 4   6    .rdata  utf8    cȓvt blocks=Basic Latin,Latin Extended-B
1099 0x00014cd2 0x100162d2 4   5    .rdata  ascii   E\f<b
1100 0x00014cdb 0x100162db 4   5    .rdata  ascii   fH{m
1101 0x00014d0d 0x1001630d 5   7    .rdata  utf8    o|;6ϯ blocks=Basic Latin,Greek and Coptic
1102 0x00014d33 0x10016333 5   9    .rdata  utf8    WìP컸d blocks=Basic Latin,Latin-1 Supplement,Hangul Syllables
1103 0x00014d4f 0x1001634f 4   6    .rdata  utf8    C7:ű blocks=Basic Latin,Latin Extended-A
1104 0x00014d6e 0x1001636e 4   6    .rdata  utf8    NF7Ю blocks=Basic Latin,Cyrillic
1105 0x00014d85 0x10016385 4   5    .rdata  ascii   \rGdr
1106 0x00014db7 0x100163b7 4   6    .rdata  utf8    2D,ĺ blocks=Basic Latin,Latin Extended-A
1107 0x00014e47 0x10016447 4   8    .rdata  utf8    ﾥ[ʂg blocks=Halfwidth and Fullwidth Forms,Basic Latin,IPA Extensions
1108 0x00014e5c 0x1001645c 4   5    .rdata  ascii   ;V1;
1109 0x00014e8d 0x1001648d 4   5    .rdata  ascii   ojg;
1110 0x00014ead 0x100164ad 5   6    .rdata  ascii   FSC7[
1111 0x00014ecf 0x100164cf 6   7    .rdata  ascii   C7]2HS
1112 0x00014f23 0x10016523 5   6    .rdata  ascii   {K\vKb
1113 0x00014f2a 0x1001652a 6   9    .rdata  utf8    sRC7] blocks=Basic Latin,Private Use Area
1114 0x00014f46 0x10016546 6   7    .rdata  ascii   NbrijX
1115 0x00014f63 0x10016563 5   7    .rdata  utf8    CwҀ]q blocks=Basic Latin,Cyrillic
1116 0x00014f77 0x10016577 4   6    .rdata  utf8    ǭ3j# blocks=Latin Extended-B,Basic Latin
1117 0x00014f88 0x10016588 4   6    .rdata  utf8    2џm5 blocks=Basic Latin,Cyrillic
1118 0x00014fc5 0x100165c5 7   8    .rdata  ascii   mJaq5s~
1119 0x00014fe8 0x100165e8 4   6    .rdata  utf8    2џm5 blocks=Basic Latin,Cyrillic
