[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e0 0x000000e0 4   5            ascii   Rich
2    0x00000100 0x00000100 4   5            ascii   woHY
3    0x000001f0 0x000001f0 4   5            ascii   UPX0
4    0x00000218 0x00000218 4   5            ascii   UPX1
5    0x00000240 0x00000240 5   6            ascii   .rsrc
6    0x000003db 0x000003db 4   5            ascii   3.91
7    0x000003e0 0x000003e0 9   10           ascii   UPX!\r\t\b\b@
352  0x00003fac 0x00447bac 7   8    UPX1    ascii   v_M(Y\br
353  0x00003fd4 0x00447bd4 4   5    UPX1    ascii   j=Yx
354  0x00003fef 0x00447bef 4   5    UPX1    ascii   tDI=
355  0x00003ff4 0x00447bf4 4   5    UPX1    ascii   fwYd
356  0x00004003 0x00447c03 4   5    UPX1    ascii   Se`\a
357  0x00004008 0x00447c08 4   5    UPX1    ascii   AVSP
358  0x0000404f 0x00447c4f 6   8    UPX1    utf8    ի!D~\r5 blocks=Armenian,Basic Latin
359  0x0000407a 0x00447c7a 5   6    UPX1    ascii   -zQ%v
360  0x0000409c 0x00447c9c 5   7    UPX1    utf8    i10Fڹ blocks=Basic Latin,Arabic
361  0x000040f0 0x00447cf0 4   6    UPX1    utf8    tЅbp blocks=Basic Latin,Cyrillic
362  0x000040fb 0x00447cfb 4   5    UPX1    ascii   x'&9
363  0x00004122 0x00447d22 4   5    UPX1    ascii   [_\e%
364  0x00004154 0x00447d54 5   6    UPX1    ascii   y3JT3
365  0x0000417d 0x00447d7d 5   6    UPX1    ascii   ^O|7.
366  0x00004187 0x00447d87 6   8    UPX1    utf8    Fư,CUx blocks=Basic Latin,Latin Extended-B
367  0x0000419b 0x00447d9b 5   6    UPX1    ascii   Vj ^v
368  0x000041a5 0x00447da5 4   5    UPX1    ascii   w\t{'
369  0x000041cc 0x00447dcc 6   8    UPX1    utf8    /"!;މl blocks=Basic Latin,Thaana
370  0x000041d6 0x00447dd6 4   5    UPX1    ascii   X)}+
371  0x0000421f 0x00447e1f 5   6    UPX1    ascii   3\f0kO
372  0x0000426f 0x00447e6f 4   5    UPX1    ascii   ~T~h
373  0x000042af 0x00447eaf 4   5    UPX1    ascii   uS0"
374  0x000042cd 0x00447ecd 4   5    UPX1    ascii   {\fN6
375  0x000042da 0x00447eda 5   6    UPX1    ascii   \a1W\r\t
376  0x000042e9 0x00447ee9 4   5    UPX1    ascii   B@I\b
377  0x00004300 0x00447f00 6   7    UPX1    ascii   #qA^Ve
378  0x0000437c 0x00447f7c 4   5    UPX1    ascii   ^\~$
379  0x00004398 0x00447f98 4   5    UPX1    ascii   cP74
380  0x000043a5 0x00447fa5 5   7    UPX1    utf8    ÁHOY_ blocks=Latin-1 Supplement,Basic Latin
381  0x00004472 0x00448072 5   6    UPX1    ascii    t'-r
382  0x00004481 0x00448081 4   6    UPX1    utf8    \rD\rڍ blocks=Basic Latin,Arabic
383  0x00004487 0x00448087 4   5    UPX1    ascii   DJWa
384  0x0000449a 0x0044809a 5   7    UPX1    utf8    $@RP=
385  0x000044ed 0x004480ed 4   5    UPX1    ascii   :}b#
386  0x0000450f 0x0044810f 4   5    UPX1    ascii   \na0&
387  0x000045a1 0x004481a1 6   12   UPX1    utf8    Fg뜯듟ٳ! blocks=Basic Latin,Hangul Syllables,Arabic
388  0x000045bb 0x004481bb 4   5    UPX1    ascii   ,4<>
389  0x000045db 0x004481db 5   7    UPX1    utf8    \vŅZ"5 blocks=Basic Latin,Latin Extended-A
390  0x000045e2 0x004481e2 4   5    UPX1    ascii   \vc=4
391  0x00004645 0x00448245 5   6    UPX1    ascii   $ftuT
392  0x0000466b 0x0044826b 4   5    UPX1    ascii   cEHm
393  0x000046b8 0x004482b8 4   5    UPX1    ascii   `\fp'
394  0x00004702 0x00448302 6   7    UPX1    ascii   )CD7\b[
395  0x00004710 0x00448310 4   5    UPX1    ascii   iZ%u
396  0x0000471a 0x0044831a 4   6    UPX1    utf8    NVۀ; blocks=Basic Latin,Arabic
397  0x00004738 0x00448338 6   7    UPX1    ascii   Genuu_
398  0x00004740 0x00448340 6   7    UPX1    ascii   ineIuV
399  0x0000474c 0x0044834c 5   6    UPX1    ascii   teluM
400  0x00004763 0x00448363 4   5    UPX1    ascii   t#=`
401  0x00004797 0x00448397 6   7    UPX1    ascii   u2t&:a
402  0x00004882 0x00448482 5   6    UPX1    ascii   u\t+TY
403  0x0000488e 0x0044848e 4   5    UPX1    ascii   px%,
404  0x000048e8 0x004484e8 4   5    UPX1    ascii   _f%`
405  0x000048ed 0x004484ed 5   8    UPX1    utf8    G0!ۍ̎ blocks=Basic Latin,Arabic,Combining Diacritical Marks
406  0x000048fd 0x004484fd 4   5    UPX1    ascii   Xr _
407  0x00004942 0x00448542 4   5    UPX1    ascii   N^{l
408  0x0000495e 0x0044855e 4   5    UPX1    ascii   \bx,P
409  0x00004970 0x00448570 4   7    UPX1    utf8    f쟢?  blocks=Basic Latin,Hangul Syllables
410  0x000049a1 0x004485a1 4   5    UPX1    ascii   x)~!
411  0x000049a7 0x004485a7 5   7    UPX1    utf8    ݧ=#D@ blocks=Arabic Supplement,Basic Latin
412  0x00004a17 0x00448617 4   5    UPX1    ascii   $|tm
413  0x00004a2e 0x0044862e 5   6    UPX1    ascii   \^.||
414  0x00004a35 0x00448635 5   6    UPX1    ascii   +9@*^
415  0x00004a5a 0x0044865a 8   9    UPX1    ascii   Npt"\fli%
416  0x00004a63 0x00448663 5   6    UPX1    ascii   )V/pl
417  0x00004a6d 0x0044866d 5   6    UPX1    ascii   0M~ow
418  0x00004a7f 0x0044867f 4   6    UPX1    utf8    ~QJՋ blocks=Basic Latin,Armenian
419  0x00004aa8 0x004486a8 4   5    UPX1    ascii   \eVc(
420  0x00004ab3 0x004486b3 12  13   UPX1    ascii   %t(l]\aVS, \b,
421  0x00004add 0x004486dd 4   5    UPX1    ascii   t&vt
422  0x00004ae2 0x004486e2 4   5    UPX1    ascii   \b\rPH
423  0x00004aec 0x004486ec 6   7    UPX1    ascii   I^md\r`
424  0x00004af4 0x004486f4 4   5    UPX1    ascii   ##\X
425  0x00004b94 0x00448794 4   5    UPX1    ascii   WCP`
426  0x00004bca 0x004487ca 4   5    UPX1    ascii   [ \W
427  0x00004c9d 0x0044889d 4   5    UPX1    ascii   ;5t\v
428  0x00004ca2 0x004488a2 4   5    UPX1    ascii   zW6p
429  0x00004cba 0x004488ba 4   5    UPX1    ascii   lU0U
430  0x00004ce9 0x004488e9 5   6    UPX1    ascii    ";\tx
431  0x00004d0f 0x0044890f 4   6    UPX1    utf8    !0ߍ\e blocks=Basic Latin,NKo
432  0x00004db4 0x004489b4 4   5    UPX1    ascii   1({3
433  0x00004dc4 0x004489c4 4   5    UPX1    ascii   4"2S
434  0x00004dd7 0x004489d7 4   5    UPX1    ascii   u\fC\b
435  0x00004de9 0x004489e9 5   7    UPX1    utf8    Yœ/W~ blocks=Basic Latin,Latin Extended-A
436  0x00004e88 0x00448a88 4   5    UPX1    ascii   ~\bu]
437  0x00004e92 0x00448a92 8   10   UPX1    utf8    %9Аt\v|\tt blocks=Basic Latin,Cyrillic
438  0x00004e9d 0x00448a9d 4   6    UPX1    utf8    %+S.
439  0x00004ef4 0x00448af4 4   5    UPX1    ascii   P\nS\b
440  0x00004f0c 0x00448b0c 4   5    UPX1    ascii   @A@A
441  0x00004f33 0x00448b33 4   5    UPX1    ascii   \f=/w
442  0x00004f82 0x00448b82 5   7    UPX1    utf8     P{̜' blocks=Basic Latin,Combining Diacritical Marks
443  0x00004f90 0x00448b90 4   5    UPX1    ascii   *nV 
444  0x00004f97 0x00448b97 4   5    UPX1    ascii   V#E\f
445  0x00004fa3 0x00448ba3 4   6    UPX1    utf8    [ɢ\b{ blocks=Basic Latin,IPA Extensions
446  0x00004fae 0x00448bae 6   7    UPX1    ascii   9{t*\8
447  0x00004fce 0x00448bce 4   5    UPX1    ascii   ^mw<
448  0x0000500c 0x00448c0c 5   6    UPX1    ascii   w"TF\r
449  0x00005088 0x00448c88 6   7    UPX1    ascii   wZsPM\b
450  0x000050c1 0x00448cc1 5   6    UPX1    ascii   eQo|=
451  0x000050e1 0x00448ce1 5   7    UPX1    utf8    TҘ_uT blocks=Basic Latin,Cyrillic
452  0x000051b2 0x00448db2 4   5    UPX1    ascii   ,K\n\
453  0x000051e3 0x00448de3 5   6    UPX1    ascii   <Xk!e
454  0x0000520e 0x00448e0e 4   5    UPX1    ascii   Bw6#
455  0x0000522a 0x00448e2a 5   6    UPX1    ascii   Yh`\f,
456  0x00005244 0x00448e44 5   6    UPX1    ascii    \bt%2
457  0x00005275 0x00448e75 5   6    UPX1    ascii   \aoDM0
458  0x000052c9 0x00448ec9 9   11   UPX1    utf8    R٣ItE\bht8 blocks=Basic Latin,Arabic
459  0x000052d5 0x00448ed5 9   10   UPX1    ascii   `64GlX\bwL
460  0x000052e1 0x00448ee1 5   7    UPX1    utf8    woAʶQ blocks=Basic Latin,Spacing Modifier Letters
461  0x000052fe 0x00448efe 5   6    UPX1    ascii   <6utz
462  0x0000530f 0x00448f0f 4   5    UPX1    ascii   <3/2
463  0x00005317 0x00448f17 6   7    UPX1    ascii   :f/djW
464  0x00005326 0x00448f26 6   7    UPX1    ascii   oGu?x9
465  0x0000534b 0x00448f4b 6   7    UPX1    ascii   +\)fj\n
466  0x00005367 0x00448f67 5   6    UPX1    ascii   U\aok8
467  0x00005371 0x00448f71 4   5    UPX1    ascii   {G`A
468  0x0000537c 0x00448f7c 5   8    UPX1    utf8    žմWxf blocks=Latin Extended-A,Armenian,Basic Latin
469  0x000053e3 0x00448fe3 5   8    UPX1    utf8    .ʋʋ7e blocks=Basic Latin,IPA Extensions
470  0x000054a3 0x004490a3 5   6    UPX1    ascii   KkiPd
471  0x000054ac 0x004490ac 4   5    UPX1    ascii   nn\bt
472  0x000054d8 0x004490d8 5   7    UPX1    utf8    f)0щ\a blocks=Basic Latin,Cyrillic
473  0x00005535 0x00449135 5   7    UPX1    utf8    ]6W͊s blocks=Basic Latin,Combining Diacritical Marks
474  0x0000554e 0x0044914e 4   7    UPX1    utf8    \aㅀiR blocks=Basic Latin,Hangul Compatibility Jamo
475  0x000055ad 0x004491ad 4   5    UPX1    ascii   j^6E
476  0x000055ce 0x004491ce 4   5    UPX1    ascii   Wf|F
477  0x000055d3 0x004491d3 4   5    UPX1    ascii   Qn00
478  0x000055f4 0x004491f4 5   6    UPX1    ascii   \t=t;E
479  0x000055fa 0x004491fa 4   5    UPX1    ascii   \b!\nl
480  0x00005644 0x00449244 5   7    UPX1    utf8    *T\rVډ blocks=Basic Latin,Arabic
481  0x00005681 0x00449281 5   8    UPX1    utf8    D^5N밋 blocks=Basic Latin,Hangul Syllables
482  0x0000569a 0x0044929a 4   5    UPX1    ascii   0t-N
483  0x000056f9 0x004492f9 4   5    UPX1    ascii   uCt\r
484  0x00005727 0x00449327 5   6    UPX1    ascii   pt}dy
485  0x00005730 0x00449330 4   5    UPX1    ascii   q+T@
486  0x00005746 0x00449346 7   8    UPX1    ascii   5u?97t7
487  0x00005792 0x00449392 5   6    UPX1    ascii   N<t\nD
488  0x000057bc 0x004493bc 7   8    UPX1    ascii   [hI\ez-J
489  0x000057d9 0x004493d9 5   7    UPX1    utf8    E\bR-ك blocks=Basic Latin,Arabic
490  0x0000582c 0x0044942c 5   6    UPX1    ascii   S]~@$
491  0x0000584b 0x0044944b 7   8    UPX1    ascii   5\b4t?7n
492  0x0000586b 0x0044946b 4   5    UPX1    ascii   75#a
493  0x00005871 0x00449471 4   6    UPX1    utf8    )&rB
494  0x000058a7 0x004494a7 4   5    UPX1    ascii   P\a={
495  0x000058b0 0x004494b0 9   12   UPX1    utf8    *ЩУ/t\f'\vW blocks=Basic Latin,Cyrillic
496  0x000058d3 0x004494d3 4   5    UPX1    ascii   *2H!
497  0x000058f7 0x004494f7 4   5    UPX1    ascii   hp\e\b
498  0x00005929 0x00449529 4   5    UPX1    ascii   =\b(T
499  0x00005939 0x00449539 6   9    UPX1    utf8    &\t낭d8X blocks=Basic Latin,Hangul Syllables
500  0x000059d5 0x004495d5 5   7    UPX1    utf8    Rv\rtӤ blocks=Basic Latin,Cyrillic
501  0x000059e6 0x004495e6 4   5    UPX1    ascii   \e\b0*
502  0x00005abc 0x004496bc 7   8    UPX1    ascii   <xt\b<X\f
503  0x00005acf 0x004496cf 7   9    UPX1    utf8    \něOuBv9 blocks=Basic Latin,Latin Extended-A
504  0x00005b2c 0x0044972c 4   5    UPX1    ascii   ]&;E
505  0x00005b47 0x00449747 4   6    UPX1    utf8    =͞6N blocks=Basic Latin,Combining Diacritical Marks
506  0x00005b7c 0x0044977c 5   6    UPX1    ascii   v#)XS
507  0x00005b9a 0x0044979a 4   5    UPX1    ascii   >0"t
508  0x00005ba5 0x004497a5 4   6    UPX1    utf8    u\vԀ} blocks=Basic Latin,Cyrillic Supplement
509  0x00005bf3 0x004497f3 4   5    UPX1    ascii   @tuF
510  0x00005c0c 0x0044980c 4   5    UPX1    ascii   g0~a
511  0x00005c37 0x00449837 4   5    UPX1    ascii   \f$7^
512  0x00005c40 0x00449840 6   7    UPX1    ascii   !QT#Pz
513  0x00005c60 0x00449860 4   5    UPX1    ascii   *"8H
514  0x00005c8d 0x0044988d 7   8    UPX1    ascii   at/\brt#
515  0x00005c96 0x00449896 4   5    UPX1    ascii   jkwt
516  0x00005cb7 0x004498b7 7   9    UPX1    utf8    Af2Ǿa-' blocks=Basic Latin,Latin Extended-B
517  0x00005cd4 0x004498d4 7   8    UPX1    ascii   i\vtRHtC
518  0x00005ce2 0x004498e2 4   5    UPX1    ascii   -\b\nt
519  0x00005d02 0x00449902 5   6    UPX1    ascii   7@o9\e
520  0x00005d2f 0x0044992f 4   5    UPX1    ascii   t;+'
521  0x00005d43 0x00449943 5   6    UPX1    ascii   9<@x7
522  0x00005d9e 0x0044999e 4   5    UPX1    ascii   =2as
523  0x00005da5 0x004499a5 4   5    UPX1    ascii   Vr<x
524  0x00005de7 0x004499e7 4   5    UPX1    ascii   p3B1
525  0x00005df2 0x004499f2 5   6    UPX1    ascii   4ZHb\b
526  0x00005e04 0x00449a04 4   6    UPX1    utf8    ֳpAC blocks=Hebrew,Basic Latin
527  0x00005e0a 0x00449a0a 5   6    UPX1    ascii   T7J0M
528  0x00005e10 0x00449a10 5   6    UPX1    ascii   D2URP
529  0x00005e17 0x00449a17 4   5    UPX1    ascii   2DZF
530  0x00005e50 0x00449a50 4   5    UPX1    ascii   :{\rX
531  0x00005e6e 0x00449a6e 4   5    UPX1    ascii   ~GmI
532  0x00005e8e 0x00449a8e 4   5    UPX1    ascii   B{[p
533  0x00005eac 0x00449aac 4   5    UPX1    ascii   (Qxh
534  0x00005ed8 0x00449ad8 6   7    UPX1    ascii   SR-4l*
535  0x00005eec 0x00449aec 6   8    UPX1    utf8    2Pӿ\b{\r blocks=Basic Latin,Cyrillic
536  0x00005f3c 0x00449b3c 7   8    UPX1    ascii   tcV7[v\b
537  0x00006018 0x00449c18 4   7    UPX1    utf8    .J8푅 blocks=Basic Latin,Hangul Syllables
538  0x0000607a 0x00449c7a 4   5    UPX1    ascii   gW\ec
539  0x000060e3 0x00449ce3 7   9    UPX1    utf8    ߊL\f~Qej blocks=NKo,Basic Latin
540  0x000060ef 0x00449cef 6   7    UPX1    ascii   Vz%8xm
541  0x00006107 0x00449d07 4   5    UPX1    ascii   0QPc
542  0x0000614b 0x00449d4b 4   7    UPX1    utf8    ѹGĦ" blocks=Cyrillic,Basic Latin,Latin Extended-A
543  0x000061ec 0x00449dec 4   5    UPX1    ascii   0-sD
544  0x000061fe 0x00449dfe 4   5    UPX1    ascii   /yu\v
545  0x00006227 0x00449e27 5   7    UPX1    utf8    +ا$S# blocks=Basic Latin,Arabic
546  0x00006241 0x00449e41 6   8    UPX1    utf8    a8Âcy; blocks=Basic Latin,Latin-1 Supplement
547  0x000062e6 0x00449ee6 4   5    UPX1    ascii   50k4
548  0x000062f5 0x00449ef5 5   6    UPX1    ascii   VVhU\r
549  0x00006373 0x00449f73 4   5    UPX1    ascii   SjRv
550  0x00006392 0x00449f92 4   5    UPX1    ascii   ?VU\r
551  0x0000639c 0x00449f9c 4   6    UPX1    utf8    ʛ l& blocks=IPA Extensions,Basic Latin
552  0x000063be 0x00449fbe 4   6    UPX1    utf8    'u\t˷ blocks=Basic Latin,Spacing Modifier Letters
553  0x00006426 0x0044a026 5   6    UPX1    ascii   >G,Oj
554  0x00006451 0x0044a051 8   9    UPX1    ascii   M|k\azC;0
555  0x000064a0 0x0044a0a0 4   5    UPX1    ascii   kdb,
556  0x000064ad 0x0044a0ad 5   7    UPX1    utf8    ѕxy2P blocks=Cyrillic,Basic Latin
557  0x000064c1 0x0044a0c1 5   6    UPX1    ascii   Y/b$)
558  0x000064cc 0x0044a0cc 4   5    UPX1    ascii   <R!N
559  0x000064ee 0x0044a0ee 4   5    UPX1    ascii   \vRV@
560  0x000064fb 0x0044a0fb 6   7    UPX1    ascii   ULxgY;
561  0x00006531 0x0044a131 4   6    UPX1    utf8     \nشX blocks=Basic Latin,Arabic
562  0x0000653d 0x0044a13d 4   5    UPX1    ascii    \n\bt
563  0x0000655a 0x0044a15a 4   5    UPX1    ascii   d#MD
564  0x0000657b 0x0044a17b 7   9    UPX1    utf8    \'Ԏ!M\aE blocks=Basic Latin,Cyrillic Supplement
565  0x00006584 0x0044a184 4   5    UPX1    ascii   LDRf
566  0x000065b7 0x0044a1b7 5   6    UPX1    ascii   ]&o\n\v
567  0x000065c6 0x0044a1c6 6   7    UPX1    ascii   QC]Y>v
568  0x00006611 0x0044a211 4   5    UPX1    ascii   3ruj
569  0x00006625 0x0044a225 4   5    UPX1    ascii   \t"uI
570  0x0000663b 0x0044a23b 4   5    UPX1    ascii   d\fME
571  0x00006660 0x0044a260 5   6    UPX1    ascii   P\bq`I
572  0x0000666f 0x0044a26f 5   6    UPX1    ascii   ar,#q
573  0x000066db 0x0044a2db 4   7    UPX1    utf8    ~☬DU blocks=Basic Latin,Miscellaneous Symbols
574  0x00006701 0x0044a301 5   6    UPX1    ascii   9B\fv?
575  0x0000672a 0x0044a32a 6   8    UPX1    utf8    $tJ*\fF
576  0x0000674a 0x0044a34a 4   5    UPX1    ascii   ,[Y\f
577  0x0000674f 0x0044a34f 4   6    UPX1    utf8    }-\r^
578  0x0000676b 0x0044a36b 7   9    UPX1    utf8    !́>yH\f2 blocks=Basic Latin,Combining Diacritical Marks
579  0x0000679c 0x0044a39c 4   5    UPX1    ascii   XtLF
580  0x000067c4 0x0044a3c4 5   6    UPX1    ascii   8Px} 
581  0x000067ef 0x0044a3ef 6   8    UPX1    utf8    \eS&ښR( blocks=Basic Latin,Arabic
582  0x00006814 0x0044a414 4   6    UPX1    utf8    hSȧ9 blocks=Basic Latin,Latin Extended-B
583  0x000068c6 0x0044a4c6 4   5    UPX1    ascii   MtOo
584  0x000068cd 0x0044a4cd 4   5    UPX1    ascii   L*LI
585  0x00006904 0x0044a504 5   6    UPX1    ascii   P3Ui:
586  0x0000691a 0x0044a51a 6   9    UPX1    utf8    EPfꍀHv blocks=Basic Latin,Yi Syllables
587  0x00006946 0x0044a546 8   12   UPX1    utf8    J⬬b3\vݐ&F blocks=Basic Latin,Miscellaneous Symbols and Arrows,Arabic Supplement
588  0x00006967 0x0044a567 8   10   UPX1    utf8    -_*ښz/\bU blocks=Basic Latin,Arabic
589  0x0000699f 0x0044a59f 4   6    UPX1    utf8    \aG6څ blocks=Basic Latin,Arabic
590  0x000069ab 0x0044a5ab 8   9    UPX1    ascii   A``+\tp\ft
591  0x000069ee 0x0044a5ee 4   5    UPX1    ascii   \bVuz
592  0x000069fd 0x0044a5fd 4   5    UPX1    ascii   8][\r
593  0x00006a07 0x0044a607 4   5    UPX1    ascii   YPu8
594  0x00006a14 0x0044a614 5   7    UPX1    utf8    .Ky!T
595  0x00006a21 0x0044a621 4   5    UPX1    ascii   :`\v4
596  0x00006a4c 0x0044a64c 4   5    UPX1    ascii   cUZ}
597  0x00006a6f 0x0044a66f 5   6    UPX1    ascii   1jMOC
598  0x00006a8e 0x0044a68e 4   5    UPX1    ascii   R{ K
599  0x00006aaa 0x0044a6aa 4   5    UPX1    ascii   NZ;F
600  0x00006aaf 0x0044a6af 4   5    UPX1    ascii   |c\vM
601  0x00006ac4 0x0044a6c4 5   6    UPX1    ascii   [c\t;V
602  0x00006ad5 0x0044a6d5 4   5    UPX1    ascii   Mu8@
603  0x00006af1 0x0044a6f1 5   6    UPX1    ascii   1;t{:
604  0x00006b25 0x0044a725 4   5    UPX1    ascii   [~5.
605  0x00006b4e 0x0044a74e 4   5    UPX1    ascii   J;>|
606  0x00006b91 0x0044a791 4   5    UPX1    ascii    }y\f
607  0x00006bb7 0x0044a7b7 4   5    UPX1    ascii   /DhP
608  0x00006bcd 0x0044a7cd 6   7    UPX1    ascii   \f-C4Y8
609  0x00006bd4 0x0044a7d4 9   13   UPX1    utf8    (g"0a8Y\b blocks=Basic Latin,Private Use Area
610  0x00006be1 0x0044a7e1 4   5    UPX1    ascii   XJA#
611  0x00006bff 0x0044a7ff 5   6    UPX1    ascii   \nA,<L
612  0x00006c1a 0x0044a81a 4   5    UPX1    ascii   \v\n>:
613  0x00006c6a 0x0044a86a 4   6    UPX1    utf8    ȴ:q* blocks=Latin Extended-B,Basic Latin
614  0x00006cc1 0x0044a8c1 9   10   UPX1    ascii   svp\bvkX0=
615  0x00006cf2 0x0044a8f2 5   6    UPX1    ascii   P\b'PD
616  0x00006d59 0x0044a959 4   5    UPX1    ascii   :T<4
617  0x00006d6e 0x0044a96e 4   5    UPX1    ascii   n@\fu
618  0x00006d85 0x0044a985 4   5    UPX1    ascii   r,9z
619  0x00006d8f 0x0044a98f 4   5    UPX1    ascii   %6\v_
620  0x00006da8 0x0044a9a8 5   6    UPX1    ascii   e/4$L
621  0x00006ea6 0x0044aaa6 4   5    UPX1    ascii   Aj\n\n
622  0x00006ee3 0x0044aae3 4   6    UPX1    utf8    ݀@^7 blocks=Syriac,Basic Latin
623  0x00006eed 0x0044aaed 4   5    UPX1    ascii   CPm1
624  0x00006f0e 0x0044ab0e 5   6    UPX1    ascii   \eqp\f;
625  0x00006f1c 0x0044ab1c 6   7    UPX1    ascii   D\nB>(;
626  0x00006f4d 0x0044ab4d 4   5    UPX1    ascii   lMT6
627  0x00006f53 0x0044ab53 4   6    UPX1    utf8    ú'P3 blocks=Latin-1 Supplement,Basic Latin
628  0x00006f5d 0x0044ab5d 4   5    UPX1    ascii   @$Y\e
629  0x00006f96 0x0044ab96 5   6    UPX1    ascii   9g/\eX
630  0x00006fb4 0x0044abb4 4   5    UPX1    ascii   (r#q
631  0x00006ff0 0x0044abf0 5   6    UPX1    ascii   \b^uH\b
632  0x00006fff 0x0044abff 4   6    UPX1    utf8    \t_q͡ blocks=Basic Latin,Combining Diacritical Marks
633  0x00007025 0x0044ac25 6   7    UPX1    ascii   N2t#Ht
634  0x00007048 0x0044ac48 5   7    UPX1    utf8    VPLu$
635  0x0000706f 0x0044ac6f 5   6    UPX1    ascii   g`\f+T
636  0x00007082 0x0044ac82 4   5    UPX1    ascii   #/\ba
637  0x000070fd 0x0044acfd 4   5    UPX1    ascii   k \1
638  0x0000710b 0x0044ad0b 4   6    UPX1    utf8    o\r~± blocks=Basic Latin,Latin-1 Supplement
639  0x00007146 0x0044ad46 10  11   UPX1    ascii   d\r2\r9~u&h3
640  0x00007152 0x0044ad52 4   5    UPX1    ascii   xAsj
641  0x0000715a 0x0044ad5a 4   5    UPX1    ascii   `6\a\v
642  0x00007183 0x0044ad83 4   5    UPX1    ascii   *y\r^
643  0x0000719a 0x0044ad9a 5   6    UPX1    ascii   p_[.F
644  0x000071a7 0x0044ada7 7   8    UPX1    ascii   jP0TA#Q
645  0x000071ca 0x0044adca 4   5    UPX1    ascii   pDT.
646  0x000071ed 0x0044aded 7   8    UPX1    ascii   $[xW0mi
647  0x00007232 0x0044ae32 5   6    UPX1    ascii   @\ebtI
648  0x0000725c 0x0044ae5c 7   8    UPX1    ascii   >O9=(tG
649  0x00007294 0x0044ae94 4   5    UPX1    ascii   ` |0
650  0x000072af 0x0044aeaf 4   5    UPX1    ascii   W1\f@
651  0x000072b5 0x0044aeb5 4   5    UPX1    ascii   n;'\f
652  0x000072d5 0x0044aed5 5   6    UPX1    ascii   <ax~%
653  0x000072f6 0x0044aef6 7   8    UPX1    ascii   t\t 0@PO
654  0x0000730b 0x0044af0b 6   7    UPX1    ascii    VfztL
655  0x00007343 0x0044af43 4   6    UPX1    utf8    Z/Jԋ blocks=Basic Latin,Cyrillic Supplement
656  0x000073d8 0x0044afd8 4   5    UPX1    ascii   @s V
657  0x000073f5 0x0044aff5 6   7    UPX1    ascii   \f\f Bk3
658  0x000073ff 0x0044afff 5   7    UPX1    utf8    rlRiҫ blocks=Basic Latin,Cyrillic
659  0x00007414 0x0044b014 4   5    UPX1    ascii   lVtX
660  0x0000745a 0x0044b05a 4   5    UPX1    ascii   q)Y<
661  0x0000747c 0x0044b07c 4   5    UPX1    ascii   aDrY
662  0x0000748b 0x0044b08b 4   6    UPX1    utf8    ʺ\f\b  blocks=Spacing Modifier Letters,Basic Latin
663  0x000074c9 0x0044b0c9 4   5    UPX1    ascii    N\ei
664  0x0000752d 0x0044b12d 4   5    UPX1    ascii   O:})
665  0x00007535 0x0044b135 4   5    UPX1    ascii   xmB<
666  0x00007570 0x0044b170 5   6    UPX1    ascii   j\vj +
667  0x00007582 0x0044b182 4   5    UPX1    ascii   wu%4
668  0x0000758a 0x0044b18a 5   6    UPX1    ascii   !=qTj
669  0x00007599 0x0044b199 6   7    UPX1    ascii   [hg\Wl
670  0x000075a1 0x0044b1a1 4   5    UPX1    ascii   9wE\f
671  0x000075a6 0x0044b1a6 4   5    UPX1    ascii   I<`I
672  0x000075b3 0x0044b1b3 4   5    UPX1    ascii   ,CW?
673  0x000075de 0x0044b1de 6   7    UPX1    ascii   \b\bj\b"2
674  0x00007629 0x0044b229 5   6    UPX1    ascii   EH\f\b\b
675  0x0000763f 0x0044b23f 4   5    UPX1    ascii   5"J\v
676  0x00007644 0x0044b244 5   6    UPX1    ascii   3\f)]N
677  0x0000768c 0x0044b28c 4   5    UPX1    ascii   \1\b-
678  0x00007694 0x0044b294 4   5    UPX1    ascii    ft,
679  0x000076a6 0x0044b2a6 4   5    UPX1    ascii   ;`m]
680  0x000076b9 0x0044b2b9 4   5    UPX1    ascii   A H!
681  0x000076c9 0x0044b2c9 4   5    UPX1    ascii   MD``
682  0x000076ef 0x0044b2ef 4   5    UPX1    ascii   Py*O
683  0x000076f8 0x0044b2f8 4   5    UPX1    ascii   /8Bo
684  0x00007701 0x0044b301 5   6    UPX1    ascii   Rp/Ht
685  0x0000770c 0x0044b30c 4   5    UPX1    ascii   \vHu(
686  0x0000776d 0x0044b36d 5   6    UPX1    ascii   -G72Q
687  0x00007780 0x0044b380 4   5    UPX1    ascii   F@jK
688  0x000077b0 0x0044b3b0 4   5    UPX1    ascii   Sxr~
689  0x000077cd 0x0044b3cd 5   6    UPX1    ascii   74 V'
690  0x000077eb 0x0044b3eb 5   7    UPX1    utf8    bƩ,u| blocks=Basic Latin,Latin Extended-B
691  0x00007863 0x0044b463 4   5    UPX1    ascii   X^w8
692  0x0000788e 0x0044b48e 4   6    UPX1    utf8    \fÜj2 blocks=Basic Latin,Latin-1 Supplement
693  0x00007894 0x0044b494 6   7    UPX1    ascii   A9Ad%\b
694  0x0000789b 0x0044b49b 4   5    UPX1    ascii   oUhq
